"time	away	score	home"
"3:20	 	25-33	Oskar Michelsen Defensive Rebound."
"3:12	 	25-33	Tyler Kalinoski missed Jumper."
"3:12	Eric Paschall Defensive Rebound.	25-33	 "
"3:04	Mandell Thomas missed Three Point Jumper.	25-33	 "
"3:04	 	25-33	Tyler Kalinoski Defensive Rebound."
"2:42	 	25-33	Brian Sullivan missed Three Point Jumper."
"2:42	Christian Sengfelder Defensive Rebound.	25-33	 "
"2:37	 	25-33	Foul on Peyton Aldridge."
"2:37	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"2:20	Christian Sengfelder Turnover.	25-33	 "
"2:04	 	25-35	Jack Gibbs made Layup."
"1:41	 	25-35	Foul on Peyton Aldridge."
"1:29	Christian Sengfelder missed Three Point Jumper.	25-35	 "
"1:29	 	25-35	Brian Sullivan Defensive Rebound."
"1:04	 	25-38	Jack Gibbs made Three Point Jumper. Assisted by Jordan Barham."
"0:27	Christian Sengfelder missed Three Point Jumper.	25-38	 "
"0:27	 	25-38	Davidson Defensive Rebound."
"0:03	 	25-38	Brian Sullivan missed Three Point Jumper."
"0:03	 	25-38	Tyler Kalinoski Offensive Rebound."
"0:01	 	25-38	Tyler Kalinoski missed Jumper."
"0:01	Fordham Defensive Rebound.	25-38	 "
"0:00	End of 1st half	End of 1st half	End of 1st half"
"19:51	 	25-38	Foul on Tyler Kalinoski."
"19:48	Bryan Smith missed Layup.	25-38	 "
"19:48	 	25-38	Tyler Kalinoski Defensive Rebound."
"19:42	 	25-38	Tyler Kalinoski missed Jumper."
"19:42	Christian Sengfelder Block.	25-38	 "
"19:40	Mandell Thomas Defensive Rebound.	25-38	 "
"19:27	Eric Paschall made Layup.	27-38	 "
"19:19	 	27-38	Jack Gibbs missed Three Point Jumper."
"19:19	Mandell Thomas Defensive Rebound.	27-38	 "
"19:03	 	27-38	Foul on Tyler Kalinoski."
"19:03	Eric Paschall made Free Throw.	28-38	 "
"19:03	Eric Paschall made Free Throw.	29-38	 "
"18:56	Foul on Bryan Smith.	29-38	 "
"18:56	 	29-39	Jack Gibbs made Free Throw."
"18:56	 	29-39	Jack Gibbs missed Free Throw."
"18:56	Eric Paschall Defensive Rebound.	29-39	 "
"18:37	Eric Paschall missed Layup.	29-39	 "
"18:37	 	29-39	Brian Sullivan Defensive Rebound."
"18:22	 	29-41	Tyler Kalinoski made Layup. Assisted by Jack Gibbs."
"17:59	Christian Sengfelder Turnover.	29-41	 "
"17:59	 	29-41	Jordan Barham Steal."
"17:52	 	29-41	Jack Gibbs missed Layup."
"17:52	Ryan Rhoomes Defensive Rebound.	29-41	 "
"17:25	Mandell Thomas Turnover.	29-41	 "
"17:24	 	29-41	Tyler Kalinoski Steal."
"17:24	Foul on Christian Sengfelder.	29-41	 "
"17:10	 	29-44	Brian Sullivan made Three Point Jumper. Assisted by Tyler Kalinoski."
"16:45	 	29-44	Foul on Brian Sullivan."
"16:35	Mandell Thomas missed Three Point Jumper.	29-44	 "
"16:35	 	29-44	Peyton Aldridge Defensive Rebound."
"16:16	 	29-46	Peyton Aldridge made Layup."
"16:09	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"15:58	 	29-46	Foul on Andrew McAuliffe."
"15:58	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout"
"15:53	Nemanja Zarkovic made Three Point Jumper. Assisted by Bryan Smith.	32-46	 "
"15:32	 	32-49	Brian Sullivan made Three Point Jumper. Assisted by Jordan Barham."
"15:20	Mandell Thomas Turnover.	32-49	 "
"15:05	 	32-49	Jordan Barham missed Three Point Jumper."
"15:05	Bryan Smith Defensive Rebound.	32-49	 "
"15:01	 	32-49	Foul on Oskar Michelsen."
"14:52	Nemanja Zarkovic made Layup.	34-49	 "
"14:42	 	34-49	Brian Sullivan missed Layup."
"14:42	Fordham Defensive Rebound.	34-49	 "
"14:27	Nemanja Zarkovic Turnover.	34-49	 "
"14:22	 	34-49	Andrew McAuliffe Steal."
"14:14	 	34-52	Jack Gibbs made Three Point Jumper. Assisted by Jordan Barham."
"13:42	Nemanja Zarkovic missed Jumper.	34-52	 "
"13:42	 	34-52	Jordan Barham Defensive Rebound."
"13:23	 	34-52	Jack Gibbs missed Jumper."
"13:23	Christian Sengfelder Defensive Rebound.	34-52	 "
"13:09	Bryan Smith made Layup.	36-52	 "
"13:06	 	36-52	Foul on Jack Gibbs."
"13:06	Bryan Smith made Free Throw.	37-52	 "
"13:00	 	37-52	Brian Sullivan missed Three Point Jumper."
"13:00	Bryan Smith Defensive Rebound.	37-52	 "
"12:48	Christian Sengfelder made Layup. Assisted by Eric Paschall.	39-52	 "
"12:46	 	39-52	Foul on Andrew McAuliffe."
"12:46	Christian Sengfelder missed Free Throw.	39-52	 "
"12:46	 	39-52	Jordan Barham Defensive Rebound."
"12:28	Foul on Nemanja Zarkovic.	39-52	 "
"12:17	 	39-55	Brian Sullivan made Three Point Jumper. Assisted by Tyler Kalinoski."
"11:56	Christian Sengfelder missed Jumper.	39-55	 "
"11:56	 	39-55	Davidson Defensive Rebound."
"11:52	Davidson  Timeout	Davidson  Timeout	Davidson  Timeout"
"11:21	 	39-55	Jordan Barham Turnover."
"11:21	 	39-55	Foul on Jordan Barham."
"11:07	Bryan Smith made Three Point Jumper. Assisted by Mandell Thomas.	42-55	 "
"10:53	 	42-57	Jordan Barham made Layup."
"10:42	Eric Paschall made Dunk.	44-57	 "
"10:27	 	44-57	Oskar Michelsen missed Three Point Jumper."
"10:27	Mandell Thomas Defensive Rebound.	44-57	 "
