time	away	score	home
19:40	 	0-0	Nemanja Djurisic missed Jumper.
19:40	Jamel Fuentes Block.	0-0	 
19:38	D'Shon Taylor Defensive Rebound.	0-0	 
19:33	Jeffrey Short made Jumper.	2-0	 
19:18	 	2-2	Marcus Thornton made Layup. Assisted by Kenny Gaines.
18:59	D'Shon Taylor missed Three Point Jumper.	2-2	 
18:59	 	2-2	Kenny Gaines Defensive Rebound.
18:38	 	2-2	Marcus Thornton missed Jumper.
18:38	RaShid Gaston Defensive Rebound.	2-2	 
18:27	Paulius Vinogradovas missed Jumper.	2-2	 
18:27	 	2-2	Juwan Parker Defensive Rebound.
18:24	Foul on RaShid Gaston.	2-2	 
18:17	 	2-2	Charles Mann Turnover.
18:04	Paulius Vinogradovas missed Jumper.	2-2	 
18:04	 	2-2	Marcus Thornton Defensive Rebound.
17:56	 	2-5	Kenny Gaines made Three Point Jumper. Assisted by Charles Mann.
17:24	 	2-5	Foul on Marcus Thornton.
17:13	Malik Thomas missed Three Point Jumper.	2-5	 
17:13	 	2-5	Kenny Gaines Defensive Rebound.
16:58	Foul on Jamel Fuentes.	2-5	 
16:58	 	2-6	Charles Mann made Free Throw.
16:58	 	2-7	Charles Mann made Free Throw.
16:39	Jamel Fuentes Turnover.	2-7	 
16:39	 	2-7	Kenny Gaines Steal.
16:24	 	2-7	Juwan Parker missed Jumper.
16:24	Jeffrey Short Block.	2-7	 
16:22	D'Shon Taylor Defensive Rebound.	2-7	 
16:12	Jeffrey Short Turnover.	2-7	 
16:11	 	2-7	Juwan Parker Steal.
16:08	 	2-7	Kenny Gaines Turnover.
15:50	RaShid Gaston missed Layup.	2-7	 
15:50	 	2-7	Marcus Thornton Block.
15:48	RaShid Gaston Offensive Rebound.	2-7	 
15:46	RaShid Gaston made Two Point Tip Shot.	4-7	 
15:34	 	4-7	Nemanja Djurisic missed Layup.
15:34	RaShid Gaston Block.	4-7	 
15:31	 	4-7	Nemanja Djurisic Offensive Rebound.
15:30	Foul on Jamel Fuentes.	4-7	 
15:30	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:15	 	4-9	Yante Maten made Jumper. Assisted by Nemanja Djurisic.
14:56	Jamel Fuentes missed Jumper.	4-9	 
14:56	Norfolk St Offensive Rebound.	4-9	 
14:42	RaShid Gaston missed Jumper.	4-9	 
14:42	 	4-9	Charles Mann Defensive Rebound.
14:33	 	4-11	Kenny Paul Geno made Layup. Assisted by Charles Mann.
14:05	Malik Thomas made Layup.	6-11	 
13:43	 	6-11	Nemanja Djurisic missed Jumper.
13:43	Jordan Butler Block.	6-11	 
13:41	 	6-11	Yante Maten Offensive Rebound.
13:39	 	6-11	Yante Maten missed Two Point Tip Shot.
13:39	Malik Thomas Defensive Rebound.	6-11	 
13:27	Malik Thomas missed Three Point Jumper.	6-11	 
13:27	 	6-11	Charles Mann Defensive Rebound.
13:24	Foul on RaShid Gaston.	6-11	 
13:11	 	6-13	J.J. Frazier made Jumper.
12:43	Malik Gray missed Jumper.	6-13	 
12:43	 	6-13	Charles Mann Defensive Rebound.
12:14	 	6-13	Charles Mann missed Three Point Jumper.
12:14	 	6-13	Houston Kessler Offensive Rebound.
12:11	Foul on Malik Gray.	6-13	 
12:11	 	6-13	Juwan Parker missed Jumper.
12:11	Jordan Butler Block.	6-13	 
12:09	Jordan Butler Defensive Rebound.	6-13	 
11:49	D'Shon Taylor missed Jumper.	6-13	 
11:49	 	6-13	Charles Mann Defensive Rebound.
11:42	Foul on D'Shon Taylor.	6-13	 
11:42	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:32	 	6-13	Kenny Gaines Turnover.
11:27	Malik Thomas Steal.	6-13	 
11:14	D'Shon Taylor missed Three Point Jumper.	6-13	 
11:14	Jordan Butler Offensive Rebound.	6-13	 
11:09	Jordan Butler missed Layup.	6-13	 
11:09	 	6-13	Houston Kessler Block.
11:06	 	6-13	Juwan Parker Defensive Rebound.
11:03	 	6-13	Charles Mann missed Jumper.
11:03	D'Shon Taylor Defensive Rebound.	6-13	 
11:00	 	6-13	Foul on Houston Kessler.
10:51	 	6-13	Foul on Houston Kessler.
10:48	Malik Thomas Turnover.	6-13	 
10:41	 	6-13	Marcus Thornton missed Jumper.
10:41	Jordan Butler Block.	6-13	 
10:39	Malik Thomas Defensive Rebound.	6-13	 
10:19	Jordan Butler made Layup. Assisted by Jeffrey Short.	8-13	 
9:58	 	8-13	Charles Mann missed Jumper.
9:58	 	8-13	Charles Mann Offensive Rebound.
9:55	 	8-15	Charles Mann made Two Point Tip Shot.
9:55	Foul on Jordan Butler.	8-15	 
9:55	 	8-15	Charles Mann missed Free Throw.
9:55	Jordan Butler Defensive Rebound.	8-15	 
9:32	Foul on D'Shon Taylor.	8-15	 
9:32	D'Shon Taylor Turnover.	8-15	 
9:17	 	8-15	Nemanja Djurisic missed Three Point Jumper.
9:17	D'Shon Taylor Defensive Rebound.	8-15	 
8:58	Jeffrey Short made Three Point Jumper.	11-15	 
8:32	 	11-15	Nemanja Djurisic missed Jumper.
8:32	Malik Thomas Defensive Rebound.	11-15	 
8:24	Malik Thomas missed Three Point Jumper.	11-15	 
8:24	 	11-15	Charles Mann Defensive Rebound.
8:18	 	11-18	J.J. Frazier made Three Point Jumper. Assisted by Charles Mann.
7:43	 	11-18	Foul on J.J. Frazier.
7:43	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:43	Jeffrey Short made Free Throw.	12-18	 
7:43	Jeffrey Short made Free Throw.	13-18	 
7:43	Jeffrey Short made Free Throw.	14-18	 
7:32	 	14-18	Georgia  Turnover.
7:13	Jeffrey Short missed Three Point Jumper.	14-18	 
7:13	Norfolk St Offensive Rebound.	14-18	 
7:03	Malik Gray made Three Point Jumper. Assisted by Jeffrey Short.	17-18	 
6:40	 	17-18	J.J. Frazier missed Three Point Jumper.
6:40	 	17-18	Yante Maten Offensive Rebound.
6:36	 	17-20	Yante Maten made Two Point Tip Shot.
6:28	Jeffrey Short Turnover.	17-20	 
6:27	 	17-20	Kenny Paul Geno Steal.
6:24	 	17-22	J.J. Frazier made Layup. Assisted by Kenny Paul Geno.
6:24	Foul on Malik Thomas.	17-22	 
6:24	 	17-23	J.J. Frazier made Free Throw.
6:09	Jeffrey Short missed Jumper.	17-23	 
6:09	 	17-23	Taylor Echols Defensive Rebound.
5:47	Foul on Jordan Butler.	17-23	 
5:47	 	17-24	Marcus Thornton made Free Throw.
5:47	 	17-25	Marcus Thornton made Free Throw.
5:20	 	17-25	Foul on Marcus Thornton.
5:20	Malik Thomas made Free Throw.	18-25	 
