time	away	score	home
20:00	Jump Ball won by Georgia	0-0	 
19:47	Marcus Thornton missed Layup.	0-0	 
19:47	 	0-0	Sebastian Saiz Defensive Rebound.
19:31	 	0-0	Stefan Moody missed Three Point Jumper.
19:31	Marcus Thornton Defensive Rebound.	0-0	 
19:11	Marcus Thornton made Three Point Jumper. Assisted by Nemanja Djurisic.	3-0	 
18:55	 	3-0	Sebastian Saiz missed Jumper.
18:55	Marcus Thornton Defensive Rebound.	3-0	 
18:44	Nemanja Djurisic missed Layup.	3-0	 
18:44	 	3-0	Jarvis Summers Defensive Rebound.
18:32	 	3-0	Martavious Newby missed Three Point Jumper.
18:32	 	3-0	Martavious Newby Offensive Rebound.
18:26	 	3-0	Martavious Newby missed Layup.
18:26	Georgia Defensive Rebound.	3-0	 
18:11	Nemanja Djurisic missed Three Point Jumper.	3-0	 
18:11	Marcus Thornton Offensive Rebound.	3-0	 
18:05	Kenny Gaines missed Layup.	3-0	 
18:05	 	3-0	Sebastian Saiz Defensive Rebound.
17:34	 	3-0	M.J. Rhett missed Layup.
17:34	Marcus Thornton Defensive Rebound.	3-0	 
17:18	Marcus Thornton missed Jumper.	3-0	 
17:18	 	3-0	M.J. Rhett Defensive Rebound.
16:48	 	3-2	Jarvis Summers made Jumper.
16:34	Nemanja Djurisic missed Three Point Jumper.	3-2	 
16:34	 	3-2	Dwight Coleby Defensive Rebound.
16:25	 	3-2	Dwight Coleby missed Jumper.
16:25	 	3-2	LaDarius White Offensive Rebound.
16:19	 	3-2	LaDarius White missed Layup.
16:19	Marcus Thornton Defensive Rebound.	3-2	 
16:17	 	3-2	Foul on Stefan Moody.
16:02	Kenny Gaines missed Three Point Jumper.	3-2	 
16:02	 	3-2	Sebastian Saiz Defensive Rebound.
16:01	Foul on Cameron Forte.	3-2	 
15:52	 	3-4	Stefan Moody made Jumper.
15:23	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:16	Kenny Gaines made Three Point Jumper. Assisted by Cameron Forte.	6-4	 
14:56	Foul on J.J. Frazier.	6-4	 
14:42	 	6-4	Anthony Perez missed Jumper.
14:42	 	6-4	Dwight Coleby Offensive Rebound.
14:34	 	6-6	LaDarius White made Jumper.
14:12	Cameron Forte made Layup. Assisted by J.J. Frazier.	8-6	 
13:56	 	8-6	Stefan Moody Turnover.
13:41	Cameron Forte Turnover.	8-6	 
