time	away	score	home
19:38	Foul on Marcus Bartley.	0-0	 
19:38	 	0-0	Jeremiah Jones missed Free Throw.
19:38	 	0-0	Duquesne Deadball Team Rebound.
19:38	 	0-1	Jeremiah Jones made Free Throw.
19:15	Milik Yarbrough made Jumper.	2-1	 
18:59	 	2-1	Derrick Colter missed Three Point Jumper.
18:59	Marcus Bartley Defensive Rebound.	2-1	 
18:34	Milik Yarbrough missed Jumper.	2-1	 
18:34	 	2-1	Darius Lewis Defensive Rebound.
18:19	Foul on Austin Gillmann.	2-1	 
18:13	 	2-3	Dominique McKoy made Jumper.
17:51	Achraf Yacoubou missed Layup.	2-3	 
17:51	 	2-3	Dominique McKoy Defensive Rebound.
17:45	 	2-3	Micah Mason missed Three Point Jumper.
17:45	 	2-3	Duquesne Offensive Rebound.
17:39	 	2-5	Darius Lewis made Dunk. Assisted by Micah Mason.
17:27	 	2-5	Foul on Micah Mason.
17:27	Davell Roby missed Free Throw.	2-5	 
17:27	Saint Louis Deadball Team Rebound.	2-5	 
17:27	Davell Roby missed Free Throw.	2-5	 
17:27	Saint Louis Deadball Team Rebound.	2-5	 
17:27	Davell Roby made Free Throw.	3-5	 
17:22	 	3-5	Jeremiah Jones missed Three Point Jumper.
17:22	Davell Roby Defensive Rebound.	3-5	 
17:03	Achraf Yacoubou missed Layup.	3-5	 
17:03	 	3-5	Duquesne Defensive Rebound.
16:53	 	3-5	Jeremiah Jones missed Layup.
16:53	 	3-5	Duquesne Offensive Rebound.
16:44	 	3-5	Jeremiah Jones missed Three Point Jumper.
16:44	John Manning Defensive Rebound.	3-5	 
16:30	Marcus Bartley made Three Point Jumper. Assisted by Davell Roby.	6-5	 
16:13	 	6-5	Darius Lewis missed Layup.
16:13	 	6-5	Jeremiah Jones Offensive Rebound.
16:11	 	6-5	Jeremiah Jones missed Two Point Tip Shot.
16:11	 	6-5	Darius Lewis Offensive Rebound.
16:08	 	6-7	Darius Lewis made Layup.
15:49	John Manning missed Layup.	6-7	 
15:49	 	6-7	Jeremiah Jones Defensive Rebound.
15:38	 	6-10	Jeremiah Jones made Three Point Jumper. Assisted by Micah Mason.
15:25	Milik Yarbrough Turnover.	6-10	 
15:24	 	6-10	Micah Mason Steal.
15:21	 	6-12	Derrick Colter made Layup. Assisted by Micah Mason.
14:57	Davell Roby Turnover.	6-12	 
14:56	 	6-12	Micah Mason Steal.
14:55	 	6-14	Micah Mason made Layup.
14:49	Saint Louis  Timeout	Saint Louis  Timeout	Saint Louis  Timeout
14:15	Reggie Agbeko Turnover.	6-14	 
14:15	 	6-14	Micah Mason Steal.
14:15	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
13:50	 	6-14	Jeremiah Jones missed Three Point Jumper.
13:50	 	6-14	Jordan Robinson Offensive Rebound.
13:48	 	6-16	Jordan Robinson made Layup.
13:23	Achraf Yacoubou missed Three Point Jumper.	6-16	 
13:23	 	6-16	Jeremiah Jones Defensive Rebound.
13:13	 	6-19	Micah Mason made Three Point Jumper. Assisted by Jeremiah Jones.
12:44	Miles Reynolds made Jumper.	8-19	 
12:31	 	8-19	Derrick Colter missed Three Point Jumper.
