time	away	score	home
19:34	 	0-0	Alex Olah missed Jumper.
19:34	Branden Dawson Block.	0-0	 
19:31	Branden Dawson Defensive Rebound.	0-0	 
19:26	Bryn Forbes missed Three Point Jumper.	0-0	 
19:25	Michigan St Offensive Rebound.	0-0	 
19:06	Denzel Valentine missed Jumper.	0-0	 
19:06	 	0-0	Alex Olah Defensive Rebound.
18:44	Foul on Gavin Schilling.	0-0	 
18:44	 	0-1	Bryant McIntosh made Free Throw.
18:44	 	0-2	Bryant McIntosh made Free Throw.
18:14	Lourawls Nairn Jr. Turnover.	0-2	 
17:58	 	0-2	Tre Demps missed Jumper.
17:58	Branden Dawson Defensive Rebound.	0-2	 
17:52	Denzel Valentine made Three Point Jumper. Assisted by Branden Dawson.	3-2	 
17:35	 	3-2	Bryant McIntosh Turnover.
17:35	Denzel Valentine Steal.	3-2	 
17:26	Bryn Forbes made Jumper. Assisted by Denzel Valentine.	5-2	 
17:07	 	5-2	Alex Olah Turnover.
16:59	Denzel Valentine missed Three Point Jumper.	5-2	 
16:59	Branden Dawson Offensive Rebound.	5-2	 
16:47	 	5-2	Foul on Sanjay Lumpkin.
16:30	Matt Costello missed Jumper.	5-2	 
16:30	Branden Dawson Offensive Rebound.	5-2	 
16:24	Branden Dawson missed Jumper.	5-2	 
16:24	 	5-2	Vic Law Defensive Rebound.
16:19	 	5-2	Sanjay Lumpkin Turnover.
16:18	Travis Trice Steal.	5-2	 
16:13	Travis Trice missed Jumper.	5-2	 
16:13	 	5-2	Alex Olah Defensive Rebound.
15:45	 	5-2	Alex Olah missed Three Point Jumper.
15:45	Denzel Valentine Defensive Rebound.	5-2	 
15:32	 	5-2	Foul on Sanjay Lumpkin.
15:32	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:26	Denzel Valentine missed Three Point Jumper.	5-2	 
15:26	 	5-2	Northwestern Defensive Rebound.
14:47	 	5-4	Tre Demps made Jumper.
14:37	 	7-4	Foul on Gavin Skelly.
14:37	Branden Dawson made Free Throw.	8-4	 
14:37	Branden Dawson made Jumper. Assisted by Travis Trice.	7-4	 
14:13	 	8-4	Alex Olah missed Jumper.
14:13	Matt Costello Block.	8-4	 
14:13	 	8-4	Northwestern Offensive Rebound.
14:05	 	8-4	Tre Demps missed Layup.
14:05	Branden Dawson Block.	8-4	 
14:02	Matt Costello Defensive Rebound.	8-4	 
13:56	Matt Costello made Layup. Assisted by Denzel Valentine.	10-4	 
13:38	 	10-6	Tre Demps made Layup.
13:27	Denzel Valentine missed Three Point Jumper.	10-6	 
13:27	Matt Costello Offensive Rebound.	10-6	 
13:18	Travis Trice made Three Point Jumper. Assisted by Alvin Ellis III.	13-6	 
12:56	Foul on Travis Trice.	13-6	 
12:56	 	13-7	Bryant McIntosh made Free Throw.
12:56	 	13-8	Bryant McIntosh made Free Throw.
12:38	Branden Dawson Turnover.	13-8	 
12:37	 	13-8	Vic Law Steal.
12:13	 	13-8	Vic Law missed Jumper.
12:13	Branden Dawson Block.	13-8	 
12:10	Travis Trice Defensive Rebound.	13-8	 
11:58	 	13-8	Foul on Scottie Lindsey.
11:58	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:48	Bryn Forbes missed Three Point Jumper.	13-8	 
11:48	Denzel Valentine Offensive Rebound.	13-8	 
11:43	Denzel Valentine Turnover.	13-8	 
11:42	 	13-8	Scottie Lindsey Steal.
11:39	 	13-10	Tre Demps made Layup.
11:13	Bryn Forbes made Three Point Jumper. Assisted by Denzel Valentine.	16-10	 
10:51	 	16-10	Scottie Lindsey missed Layup.
10:51	 	16-10	Jeremiah Kreisberg Offensive Rebound.
10:47	 	16-13	Tre Demps made Three Point Jumper. Assisted by Jeremiah Kreisberg.
10:32	Travis Trice missed Three Point Jumper.	16-13	 
10:32	Marvin Clark Jr. Offensive Rebound.	16-13	 
10:05	Marvin Clark Jr. made Three Point Jumper. Assisted by Gavin Schilling.	19-13	 
9:26	 	19-13	Tre Demps Turnover.
9:12	Bryn Forbes missed Three Point Jumper.	19-13	 
9:12	Bryn Forbes Offensive Rebound.	19-13	 
9:03	Bryn Forbes made Three Point Jumper. Assisted by Denzel Valentine.	22-13	 
9:01	Northwestern  Timeout	Northwestern  Timeout	Northwestern  Timeout
8:49	 	22-13	Scottie Lindsey missed Three Point Jumper.
8:49	 	22-13	Alex Olah Offensive Rebound.
8:43	 	22-13	Alex Olah missed Layup.
8:43	Branden Dawson Defensive Rebound.	22-13	 
8:36	Bryn Forbes made Three Point Jumper. Assisted by Denzel Valentine.	25-13	 
8:15	 	25-13	Scottie Lindsey missed Three Point Jumper.
8:15	Branden Dawson Defensive Rebound.	25-13	 
8:07	Denzel Valentine made Three Point Jumper. Assisted by Lourawls Nairn Jr..	28-13	 
8:04	Northwestern  Timeout	Northwestern  Timeout	Northwestern  Timeout
7:43	 	28-13	Vic Law Turnover.
7:41	Matt Costello Steal.	28-13	 
7:35	Bryn Forbes missed Three Point Jumper.	28-13	 
7:35	 	28-13	Northwestern Defensive Rebound.
7:31	Foul on Branden Dawson.	28-13	 
7:31	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:21	 	28-13	Sanjay Lumpkin missed Layup.
7:20	Matt Costello Block.	28-13	 
7:19	Lourawls Nairn Jr. Defensive Rebound.	28-13	 
6:47	Branden Dawson made Jumper.	30-13	 
6:10	 	30-13	Foul on Alex Olah.
6:10	 	30-13	Alex Olah Turnover.
5:39	Alvin Ellis III missed Three Point Jumper.	30-13	 
5:39	Branden Dawson Offensive Rebound.	30-13	 
5:19	Marvin Clark Jr. made Three Point Jumper. Assisted by Bryn Forbes.	33-13	 
4:58	 	33-13	Bryant McIntosh missed Three Point Jumper.
4:58	 	33-13	Sanjay Lumpkin Offensive Rebound.
4:53	 	33-13	Dave Sobolewski missed Three Point Jumper.
4:53	Michigan St Defensive Rebound.	33-13	 
4:50	 	33-13	Foul on Alex Olah.
4:37	Branden Dawson missed Jumper.	33-13	 
4:37	Gavin Schilling Offensive Rebound.	33-13	 
4:32	Travis Trice made Three Point Jumper. Assisted by Denzel Valentine.	36-13	 
4:10	 	36-13	Scottie Lindsey missed Three Point Jumper.
4:10	Michigan St Defensive Rebound.	36-13	 
3:44	Gavin Schilling missed Jumper.	36-13	 
3:44	 	36-13	Jeremiah Kreisberg Defensive Rebound.
3:30	 	36-13	Sanjay Lumpkin missed Three Point Jumper.
3:30	Gavin Schilling Defensive Rebound.	36-13	 
3:13	Travis Trice Turnover.	36-13	 
3:13	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
2:40	 	36-13	Bryant McIntosh missed Three Point Jumper.
2:39	 	36-13	Northwestern Offensive Rebound.
2:36	 	36-13	Northwestern  Turnover.
2:16	Travis Trice Turnover.	36-13	 
2:15	 	36-13	Jeremiah Kreisberg Steal.
2:10	 	36-13	Johnnie Vassar missed Three Point Jumper.
2:10	 	36-13	Jeremiah Kreisberg Offensive Rebound.
2:06	 	36-13	Jeremiah Kreisberg Turnover.
