time	away	score	home
20:00	 	0-0	Jump Ball won by Michigan St
19:42	 	0-0	Denzel Valentine missed Jumper.
19:42	 	0-0	Branden Dawson Offensive Rebound.
19:38	 	0-0	Branden Dawson Turnover.
19:38	Troy Williams Steal.	0-0	 
19:07	Troy Williams Turnover.	0-0	 
18:57	Foul on Hanner Mosquera-Perea.	0-0	 
18:57	 	0-1	Denzel Valentine made Free Throw.
18:57	 	0-1	Denzel Valentine missed Free Throw.
18:57	 	0-1	Michigan St Offensive Rebound.
18:53	 	0-1	Bryn Forbes missed Three Point Jumper.
18:53	Robert Johnson Defensive Rebound.	0-1	 
18:41	James Blackmon Jr. missed Three Point Jumper.	0-1	 
18:41	 	0-1	Gavin Schilling Defensive Rebound.
18:36	Foul on Hanner Mosquera-Perea.	0-1	 
18:23	 	0-1	Branden Dawson missed Jumper.
18:23	James Blackmon Jr. Defensive Rebound.	0-1	 
18:06	Emmitt Holt made Layup. Assisted by Yogi Ferrell.	2-1	 
17:50	Foul on Emmitt Holt.	2-1	 
17:50	 	2-1	Gavin Schilling missed Free Throw.
17:50	 	2-1	Michigan St Deadball Team Rebound.
17:50	 	2-2	Gavin Schilling made Free Throw.
17:22	Emmitt Holt Turnover.	2-2	 
17:22	 	2-2	Branden Dawson Steal.
17:15	 	2-4	Lourawls Nairn Jr. made Jumper. Assisted by Denzel Valentine.
16:48	Troy Williams missed Jumper.	2-4	 
16:48	 	2-4	Branden Dawson Block.
16:48	Robert Johnson Offensive Rebound.	2-4	 
16:42	Robert Johnson missed Three Point Jumper.	2-4	 
16:42	 	2-4	Denzel Valentine Defensive Rebound.
16:37	 	2-4	Denzel Valentine missed Jumper.
16:37	Troy Williams Defensive Rebound.	2-4	 
16:25	James Blackmon Jr. missed Jumper.	2-4	 
16:25	 	2-4	Branden Dawson Defensive Rebound.
15:56	 	2-4	Branden Dawson missed Jumper.
15:56	 	2-4	Gavin Schilling Offensive Rebound.
15:53	 	2-6	Gavin Schilling made Layup.
15:25	Indiana  Timeout	Indiana  Timeout	Indiana  Timeout
15:23	Yogi Ferrell missed Three Point Jumper.	2-6	 
15:23	 	2-6	Branden Dawson Defensive Rebound.
15:16	 	2-9	Bryn Forbes made Three Point Jumper. Assisted by Lourawls Nairn Jr..
15:03	Robert Johnson missed Jumper.	2-9	 
15:03	 	2-9	Matt Costello Defensive Rebound.
14:34	 	2-11	Branden Dawson made Layup. Assisted by Matt Costello.
14:12	James Blackmon Jr. missed Layup.	2-11	 
14:12	 	2-11	Matt Costello Block.
14:12	Indiana Offensive Rebound.	2-11	 
14:10	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:00	Nick Zeisloft missed Three Point Jumper.	2-11	 
14:00	 	2-11	Travis Trice Defensive Rebound.
13:34	 	2-13	Matt Costello made Jumper. Assisted by Bryn Forbes.
13:17	Max Hoetzel missed Jumper.	2-13	 
13:17	James Blackmon Jr. Offensive Rebound.	2-13	 
13:13	Nick Zeisloft missed Three Point Jumper.	2-13	 
13:13	 	2-13	Matt Costello Defensive Rebound.
12:55	 	2-13	Lourawls Nairn Jr. missed Jumper.
12:55	Yogi Ferrell Defensive Rebound.	2-13	 
12:46	Yogi Ferrell made Layup.	4-13	 
12:39	 	4-13	Travis Trice missed Layup.
12:39	Max Hoetzel Defensive Rebound.	4-13	 
12:31	James Blackmon Jr. missed Three Point Jumper.	4-13	 
12:31	 	4-13	Matt Costello Defensive Rebound.
12:25	 	4-13	Bryn Forbes missed Three Point Jumper.
12:25	Max Hoetzel Defensive Rebound.	4-13	 
12:00	Yogi Ferrell missed Three Point Jumper.	4-13	 
12:00	 	4-13	Matt Costello Defensive Rebound.
11:41	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:23	 	4-13	Travis Trice missed Three Point Jumper.
11:23	 	4-13	Marvin Clark Jr. Offensive Rebound.
11:18	 	4-13	Denzel Valentine missed Three Point Jumper.
11:18	 	4-13	Marvin Clark Jr. Offensive Rebound.
11:12	 	4-15	Denzel Valentine made Layup. Assisted by Marvin Clark Jr..
10:54	Stanford Robinson missed Jumper.	4-15	 
10:54	 	4-15	Gavin Schilling Defensive Rebound.
10:46	 	4-15	Denzel Valentine missed Jumper.
10:46	Hanner Mosquera-Perea Block.	4-15	 
10:46	Hanner Mosquera-Perea Defensive Rebound.	4-15	 
10:41	Nick Zeisloft Turnover.	4-15	 
10:41	 	4-15	Alvin Ellis III Steal.
10:17	 	4-17	Marvin Clark Jr. made Jumper. Assisted by Travis Trice.
9:37	Stanford Robinson missed Layup.	4-17	 
9:37	 	4-17	Denzel Valentine Defensive Rebound.
9:30	 	4-19	Gavin Schilling made Dunk. Assisted by Travis Trice.
9:28	Indiana  Timeout	Indiana  Timeout	Indiana  Timeout
9:01	Yogi Ferrell made Three Point Jumper.	7-19	 
8:36	 	7-19	Marvin Clark Jr. missed Jumper.
8:36	Collin Hartman Defensive Rebound.	7-19	 
8:22	 	7-19	Foul on Marvin Clark Jr..
8:22	Collin Hartman missed Free Throw.	7-19	 
8:22	Indiana Deadball Team Rebound.	7-19	 
8:22	Collin Hartman made Free Throw.	8-19	 
8:22	Collin Hartman made Free Throw.	9-19	 
8:17	 	9-19	Gavin Schilling missed Layup.
