time	away	score	home
19:36	 	0-0	Alonzo Nelson-Ododa missed Jumper.
19:36	John Brown Block.	0-0	 
19:36	John Brown Defensive Rebound.	0-0	 
19:07	Devante Wallace Turnover.	0-0	 
19:05	 	0-0	ShawnDre' Jones Steal.
19:02	 	0-3	Kendall Anthony made Three Point Jumper. Assisted by ShawnDre' Jones.
18:24	Brian Richardson missed Three Point Jumper.	0-3	 
18:24	 	0-3	Alonzo Nelson-Ododa Defensive Rebound.
18:16	 	0-5	ShawnDre' Jones made Layup.
17:56	Tarique Thompson made Jumper. Assisted by Haiishen McIntyre.	2-5	 
17:35	 	2-5	Trey Davis missed Jumper.
17:35	John Brown Defensive Rebound.	2-5	 
17:09	Tarique Thompson missed Jumper.	2-5	 
17:09	 	2-5	Alonzo Nelson-Ododa Block.
17:08	 	2-5	Alonzo Nelson-Ododa Defensive Rebound.
16:55	 	2-8	ShawnDre' Jones made Three Point Jumper. Assisted by Kendall Anthony.
16:27	John Brown missed Jumper.	2-8	 
16:27	 	2-8	Deion Taylor Defensive Rebound.
16:21	 	2-8	Kendall Anthony Turnover.
16:21	Haiishen McIntyre Steal.	2-8	 
16:15	Haiishen McIntyre missed Layup.	2-8	 
16:15	Brian Richardson Offensive Rebound.	2-8	 
16:13	Brian Richardson made Two Point Tip Shot.	4-8	 
15:51	 	4-10	Kendall Anthony made Layup.
15:12	High Point  Turnover.	4-10	 
15:12	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:44	 	4-12	ShawnDre' Jones made Jumper.
14:18	John Brown made Layup. Assisted by Brian Richardson.	6-12	 
14:01	 	6-15	Kendall Anthony made Three Point Jumper.
13:35	Devante Wallace missed Three Point Jumper.	6-15	 
13:35	 	6-15	Alonzo Nelson-Ododa Defensive Rebound.
13:20	 	6-17	Terry Allen made Jumper. Assisted by Trey Davis.
13:04	 	6-17	Foul on Josh Jones.
13:04	John Brown missed Free Throw.	6-17	 
13:04	High Point Deadball Team Rebound.	6-17	 
13:04	John Brown made Free Throw.	7-17	 
12:51	 	7-19	Trey Davis made Jumper.
12:13	Austin White missed Jumper.	7-19	 
12:13	 	7-19	Terry Allen Defensive Rebound.
12:05	 	7-19	Trey Davis Turnover.
12:05	 	7-19	Foul on Trey Davis.
11:47	Adam Weary missed Jumper.	7-19	 
11:47	 	7-19	Khwan Fore Defensive Rebound.
11:42	 	7-19	Khwan Fore missed Jumper.
11:42	Tarique Thompson Defensive Rebound.	7-19	 
11:32	Austin White missed Three Point Jumper.	7-19	 
11:32	 	7-19	Josh Jones Defensive Rebound.
11:29	Foul on Devante Wallace.	7-19	 
11:29	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:15	 	7-21	T.J. Cline made Jumper. Assisted by Khwan Fore.
10:53	Brian Richardson missed Three Point Jumper.	7-21	 
10:53	Tarique Thompson Offensive Rebound.	7-21	 
10:30	Brian Richardson made Jumper. Assisted by Adam Weary.	9-21	 
10:13	 	9-21	ShawnDre' Jones missed Jumper.
10:13	 	9-21	T.J. Cline Offensive Rebound.
10:10	 	9-23	T.J. Cline made Jumper.
9:46	Brian Richardson missed Jumper.	9-23	 
9:46	 	9-23	Terry Allen Defensive Rebound.
9:39	 	9-23	Josh Jones missed Three Point Jumper.
9:39	Adam Weary Defensive Rebound.	9-23	 
9:30	Adam Weary Turnover.	9-23	 
9:02	 	9-23	Khwan Fore missed Three Point Jumper.
9:02	 	9-23	Deion Taylor Offensive Rebound.
8:53	 	9-26	Josh Jones made Three Point Jumper. Assisted by T.J. Cline.
8:34	Brian Richardson missed Three Point Jumper.	9-26	 
8:34	 	9-26	Deion Taylor Defensive Rebound.
8:07	 	9-26	Deion Taylor Turnover.
8:07	 	9-26	Foul on Deion Taylor.
7:48	Lorenzo Cugini missed Jumper.	9-26	 
7:48	John Brown Offensive Rebound.	9-26	 
7:43	John Brown missed Jumper.	9-26	 
7:43	 	9-26	T.J. Cline Defensive Rebound.
7:36	Foul on Adam Weary.	9-26	 
7:36	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:36	 	9-27	Kendall Anthony made Free Throw.
7:36	 	9-28	Kendall Anthony made Free Throw.
7:00	Lorenzo Cugini made Three Point Jumper. Assisted by Devante Wallace.	12-28	 
6:40	 	12-31	Kendall Anthony made Three Point Jumper. Assisted by Trey Davis.
6:19	Devante Wallace missed Three Point Jumper.	12-31	 
6:19	 	12-31	Alonzo Nelson-Ododa Defensive Rebound.
6:11	 	12-34	Kendall Anthony made Three Point Jumper.
6:09	High Point  Timeout	High Point  Timeout	High Point  Timeout
5:39	Anthony Lindauer missed Three Point Jumper.	12-34	 
5:39	 	12-34	Deion Taylor Defensive Rebound.
5:27	 	12-34	Kendall Anthony Turnover.
4:58	Adam Weary made Jumper.	14-34	 
4:58	 	14-34	Foul on Trey Davis.
4:58	Adam Weary made Free Throw.	15-34	 
4:35	 	15-37	Alonzo Nelson-Ododa made Three Point Jumper. Assisted by ShawnDre' Jones.
4:03	Anthony Lindauer made Three Point Jumper. Assisted by Lorenzo Cugini.	18-37	 
3:48	Foul on John Brown.	18-37	 
3:48	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:48	Richmond  Timeout	Richmond  Timeout	Richmond  Timeout
3:32	Foul on Lorenzo Cugini.	18-37	 
3:32	 	18-38	Alonzo Nelson-Ododa made Free Throw.
3:32	 	18-39	Alonzo Nelson-Ododa made Free Throw.
3:16	John Brown made Layup. Assisted by Devante Wallace.	20-39	 
2:42	 	20-41	T.J. Cline made Jumper.
2:19	 	20-41	Foul on Deion Taylor.
2:16	John Brown missed Jumper.	20-41	 
2:16	 	20-41	Terry Allen Defensive Rebound.
2:08	 	20-43	Kendall Anthony made Jumper.
1:42	John Brown Turnover.	20-43	 
1:25	 	20-45	Terry Allen made Jumper.
1:07	 	20-45	Foul on ShawnDre' Jones.
1:07	John Brown made Free Throw.	21-45	 
1:07	John Brown missed Free Throw.	21-45	 
1:07	 	21-45	T.J. Cline Defensive Rebound.
0:41	 	21-45	ShawnDre' Jones missed Three Point Jumper.
0:41	Adam Weary Defensive Rebound.	21-45	 
0:10	Adam Weary missed Jumper.	21-45	 
0:10	 	21-45	T.J. Cline Defensive Rebound.
0:01	 	21-45	ShawnDre' Jones missed Three Point Jumper.
0:01	High Point Defensive Rebound.	21-45	 
0:00	End of 1st half	End of 1st half	End of 1st half
19:48	Lorenzo Cugini made Three Point Jumper. Assisted by Brian Richardson.	24-45	 
19:21	Foul on John Brown.	24-45	 
19:21	 	24-46	Alonzo Nelson-Ododa made Free Throw.
19:21	 	24-47	Alonzo Nelson-Ododa made Free Throw.
19:00	 	24-47	Foul on Alonzo Nelson-Ododa.
18:59	Lorenzo Cugini made Three Point Jumper. Assisted by Adam Weary.	27-47	 
18:26	 	27-47	Deion Taylor missed Jumper.
18:26	 	27-47	Deion Taylor Offensive Rebound.
18:06	Foul on Brian Richardson.	27-47	 
18:04	 	27-50	ShawnDre' Jones made Three Point Jumper. Assisted by Kendall Anthony.
17:36	Brian Richardson made Three Point Jumper. Assisted by Adam Weary.	30-50	 
17:05	 	30-50	Kendall Anthony missed Three Point Jumper.
17:05	Devante Wallace Defensive Rebound.	30-50	 
16:58	 	30-50	Foul on Deion Taylor.
16:56	John Brown missed Jumper.	30-50	 
16:56	Lorenzo Cugini Offensive Rebound.	30-50	 
