time|away|score|home
19:25|Javonte Green Turnover.|0-0| 
19:25|Foul on Javonte Green.|0-0| 
19:01| |0-3|Malik Muller made Three Point Jumper. Assisted by Devin Wilson.
18:35|Rashun Davis missed Three Point Jumper.|0-3| 
18:35| |0-3|Justin Bibbs Defensive Rebound.
18:24| |0-5|Justin Bibbs made Layup.
17:55|Rashun Davis made Layup.|2-5| 
17:25| |2-5|Shane Henry missed Layup.
17:25|Brandon Holcomb Block.|2-5| 
17:23|Rashun Davis Defensive Rebound.|2-5| 
17:06|R.J. Price made Three Point Jumper. Assisted by Javonte Green.|5-5| 
16:51| |5-5|Ahmed Hill Turnover.
16:50|Rashun Davis Steal.|5-5| 
16:44|R.J. Price made Three Point Jumper. Assisted by Rashun Davis.|8-5| 
16:33| |8-5|Devin Wilson missed Layup.
16:33|Javonte Green Defensive Rebound.|8-5| 
16:19|Javonte Green missed Layup.|8-5| 
16:19| |8-5|Shane Henry Defensive Rebound.
16:14| |8-5|Malik Muller missed Three Point Jumper.
16:14|Kyle Noreen Defensive Rebound.|8-5| 
15:53|R.J. Price missed Three Point Jumper.|8-5| 
15:53|Brandon Holcomb Offensive Rebound.|8-5| 
15:46|Brandon Holcomb made Two Point Tip Shot.|10-5| 
15:33| |10-5|Shane Henry missed Jumper.
15:33|Javonte Green Defensive Rebound.|10-5| 
15:12|R.J. Price made Three Point Jumper. Assisted by Rashun Davis.|13-5| 
14:47| |13-7|Malik Muller made Layup. Assisted by Ahmed Hill.
14:24|Brandon Holcomb missed Layup.|13-7| 
14:24| |13-7|Justin Bibbs Defensive Rebound.
14:17| |13-9|Shane Henry made Layup. Assisted by Ahmed Hill.
14:12|Radford  Timeout|Radford  Timeout|Radford  Timeout
13:38| |13-9|Foul on Justin Bibbs.
13:38| Official TV Timeout| Official TV Timeout| Official TV Timeout
13:33|Ya Ya Anderson made Three Point Jumper.|16-9| 
13:15|Foul on Ya Ya Anderson.|16-9| 
13:13|Foul on Kion Brown.|16-9| 
13:10| |16-9|Justin Bibbs missed Jumper.
13:10| |16-9|Jalen Hudson Offensive Rebound.
13:00| |16-9|Adam Smith missed Three Point Jumper.
13:00|Jalen Carethers Defensive Rebound.|16-9| 
12:47| |16-9|Foul on Justin Bibbs.
12:35|Jalen Carethers Turnover.|16-9| 
12:32| |16-9|Jalen Hudson Steal.
12:29| |16-9|Ahmed Hill missed Layup.
12:29| |16-9|Joey van Zegeren Offensive Rebound.
12:26| |16-11|Joey van Zegeren made Layup.
12:16|Rashun Davis missed Jumper.|16-11| 
12:16|Brandon Holcomb Offensive Rebound.|16-11| 
11:58|Jalen Carethers made Jumper. Assisted by Rashun Davis.|18-11| 
11:47| |18-11|Joey van Zegeren missed Dunk.
11:46|Jalen Carethers Block.|18-11| 
11:45|Rashun Davis Defensive Rebound.|18-11| 
11:45| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:45|Technical Foul on Jalen Carethers.|18-11| 
11:45|Foul on Jalen Carethers.|18-11| 
11:45| |18-12|Adam Smith made Free Throw.
11:45| |18-13|Adam Smith made Free Throw.
11:21|Kion Brown Turnover.|18-13| 
11:21| |18-13|Devin Wilson Steal.
11:10| |18-13|Adam Smith Turnover.
10:57|Rashun Davis Turnover.|18-13| 
10:50| |18-13|Jalen Hudson missed Layup.
10:50| |18-13|Joey van Zegeren Offensive Rebound.
10:48| |18-13|Joey van Zegeren missed Two Point Tip Shot.
10:48| |18-13|Joey van Zegeren Offensive Rebound.
10:46| |18-13|Joey van Zegeren missed Layup.
