time|away|score|home
20:00|Jump Ball won by Arkansas|0-0| 
19:42|Bobby Portis missed Three Point Jumper.|0-0| 
19:42| |0-0|Jaron Blossomgame Defensive Rebound.
19:18| |0-0|Donte Grantham missed Jumper.
19:18| |0-0|Donte Grantham Offensive Rebound.
19:18| |0-2|Donte Grantham made Two Point Tip Shot.
18:57|Bobby Portis Turnover.|0-2| 
18:36| |0-2|Landry Nnoko missed Jumper.
18:36| |0-2|Jaron Blossomgame Offensive Rebound.
18:36| |0-4|Jaron Blossomgame made Two Point Tip Shot.
18:13|Michael Qualls made Three Point Jumper. Assisted by Bobby Portis.|3-4| 
17:46| |3-4|Jaron Blossomgame missed Three Point Jumper.
17:46|Michael Qualls Defensive Rebound.|3-4| 
17:37|Rashad Madden missed Three Point Jumper.|3-4| 
17:37| |3-4|Landry Nnoko Defensive Rebound.
17:22|Foul on Bobby Portis.|3-4| 
16:58| |3-4|Landry Nnoko Turnover.
16:42|Bobby Portis made Jumper.|5-4| 
16:29| |5-6|Landry Nnoko made Jumper. Assisted by Damarcus Harrison.
16:14|Alandise Harris made Jumper.|7-6| 
15:49| |7-8|Donte Grantham made Dunk. Assisted by Damarcus Harrison.
15:41|Rashad Madden missed Three Point Jumper.|7-8| 
15:41| |7-8|Damarcus Harrison Defensive Rebound.
15:29| |7-10|Landry Nnoko made Jumper. Assisted by Damarcus Harrison.
15:09|Anthlon Bell made Three Point Jumper. Assisted by Bobby Portis.|10-10| 
14:55| |10-10|Donte Grantham missed Three Point Jumper.
14:55|Bobby Portis Defensive Rebound.|10-10| 
14:35|Michael Qualls missed Three Point Jumper.|10-10| 
14:35| |10-10|Jaron Blossomgame Defensive Rebound.
14:23| |10-12|Jaron Blossomgame made Jumper.
14:12|Anthlon Bell missed Three Point Jumper.|10-12| 
14:12| |10-12|Damarcus Harrison Defensive Rebound.
13:55| |10-12|Jaron Blossomgame Turnover.
13:55|Michael Qualls Steal.|10-12| 
13:48|Michael Qualls missed Jumper.|10-12| 
13:48| |10-12|Clemson Defensive Rebound.
13:48| Official TV Timeout| Official TV Timeout| Official TV Timeout
13:26| |10-12|Rod Hall missed Layup.
13:26| |10-12|Rod Hall Offensive Rebound.
13:22|Foul on Manuale Watkins.|10-12| 
12:55| |10-12|Jaron Blossomgame Turnover.
12:55|Michael Qualls Steal.|10-12| 
12:50|Bobby Portis made Dunk. Assisted by Michael Qualls.|12-12| 
12:22| |12-12|Jump Ball won by Clemson
12:14| |12-12|Foul on Rod Hall.
12:14| |12-12|Rod Hall Turnover.
11:38|Anton Beard Turnover.|12-12| 
11:38| |12-12|Austin Ajukwa Steal.
11:33|Foul on Anton Beard.|12-12| 
11:33| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:11| |12-14|Jordan Roper made Jumper.
10:46| |12-14|Foul on Sidy Djitte.
10:46|Moses Kingsley made Free Throw.|13-14| 
10:46|Moses Kingsley made Free Throw.|14-14| 
10:17| |14-14|Jordan Roper missed Jumper.
10:17|Jacorey Williams Defensive Rebound.|14-14| 
9:59|Jacorey Williams missed Jumper.|14-14| 
9:59| |14-14|Sidy Djitte Defensive Rebound.
9:54|Foul on Manuale Watkins.|14-14| 
9:54| |14-15|Jordan Roper made Free Throw.
9:54| |14-16|Jordan Roper made Free Throw.
9:33|Jacorey Williams Turnover.|14-16| 
9:06| |14-19|Donte Grantham made Three Point Jumper. Assisted by Landry Nnoko.
8:53|Anton Beard missed Jumper.|14-19| 
8:53|Arkansas Offensive Rebound.|14-19| 
8:39|Jabril Durham Turnover.|14-19| 
8:22| |14-19|Gabe DeVoe missed Three Point Jumper.
8:22| |14-19|Jaron Blossomgame Offensive Rebound.
8:15| |14-21|Jaron Blossomgame made Layup.
8:03|Moses Kingsley made Dunk. Assisted by Rashad Madden.|16-21| 
7:46| |16-23|Donte Grantham made Layup.
7:40|Michael Qualls missed Three Point Jumper.|16-23| 
7:40| |16-23|Rod Hall Defensive Rebound.
7:29| |16-23|Gabe DeVoe missed Layup.
7:29|Michael Qualls Block.|16-23| 
7:29| |16-23|Clemson Offensive Rebound.
7:26| Official TV Timeout| Official TV Timeout| Official TV Timeout
6:52| |16-23|Landry Nnoko missed Jumper.
6:52|Alandise Harris Defensive Rebound.|16-23| 
6:46|Anthlon Bell missed Three Point Jumper.|16-23| 
6:46| |16-23|Jaron Blossomgame Defensive Rebound.
6:22| |16-23|Landry Nnoko missed Jumper.
6:22|Bobby Portis Defensive Rebound.|16-23| 
6:06|Michael Qualls missed Jumper.|16-23| 
6:06|Bobby Portis Offensive Rebound.|16-23| 
5:49|Bobby Portis made Jumper.|18-23| 
5:27| |18-23|Damarcus Harrison missed Three Point Jumper.
5:27| |18-23|Damarcus Harrison Offensive Rebound.
5:19| |18-23|Donte Grantham missed Three Point Jumper.
5:19|Michael Qualls Defensive Rebound.|18-23| 
5:00|Anthlon Bell made Layup. Assisted by Alandise Harris.|20-23| 
4:27|Foul on Rashad Madden.|20-23| 
4:13| |20-26|Donte Grantham made Three Point Jumper. Assisted by Jordan Roper.
3:55| |20-26|Foul on Landry Nnoko.
3:55| Official TV Timeout| Official TV Timeout| Official TV Timeout
3:44|Foul on Rashad Madden.|20-26| 
3:44|Rashad Madden Turnover.|20-26| 
3:21| |20-26|Jordan Roper missed Three Point Jumper.
3:21|Arkansas Defensive Rebound.|20-26| 
2:52| |20-26|Foul on Jordan Roper.
2:52|Alandise Harris missed Free Throw.|20-26| 
2:52|Arkansas Deadball Team Rebound.|20-26| 
2:52|Alandise Harris missed Free Throw.|20-26| 
2:52| |20-26|Josh Smith Defensive Rebound.
2:35| |20-26|Josh Smith Turnover.
2:35|Bobby Portis Steal.|20-26| 
2:12|Michael Qualls missed Jumper.|20-26| 
2:12| |20-26|Josh Smith Defensive Rebound.
2:01| |20-29|Rod Hall made Three Point Jumper. Assisted by Landry Nnoko.
1:34|Michael Qualls missed Layup.|20-29| 
1:34|Michael Qualls Offensive Rebound.|20-29| 
1:30| |20-29|Foul on Landry Nnoko.
1:30|Michael Qualls made Free Throw.|21-29| 
1:30|Michael Qualls made Free Throw.|22-29| 
1:15| |22-29|Rod Hall missed Layup.
1:15| |22-29|Sidy Djitte Offensive Rebound.
1:12| |22-29|Sidy Djitte missed Layup.
1:12|Michael Qualls Defensive Rebound.|22-29| 
1:02|Michael Qualls made Layup.|24-29| 
1:02| |24-29|Foul on Sidy Djitte.
1:02|Michael Qualls made Free Throw.|25-29| 
0:35| |25-29|Jordan Roper missed Jumper.
0:35| |25-29|Sidy Djitte Offensive Rebound.
0:28| |25-29|Donte Grantham missed Three Point Jumper.
0:28|Bobby Portis Defensive Rebound.|25-29| 
0:04|Michael Qualls missed Three Point Jumper.|25-29| 
0:04| |25-29|Rod Hall Defensive Rebound.
0:00|End of 1st half|End of 1st half|End of 1st half
20:00|Jump Ball won by Arkansas|25-29| 
19:51|Bobby Portis missed Jumper.|25-29| 
19:51|Bobby Portis Offensive Rebound.|25-29| 
19:51|Bobby Portis made Two Point Tip Shot.|27-29| 
19:23| |27-29|Jaron Blossomgame missed Three Point Jumper.
19:23| |27-29|Clemson Offensive Rebound.
19:03| |27-32|Damarcus Harrison made Three Point Jumper. Assisted by Rod Hall.
18:48|Bobby Portis made Layup. Assisted by Anthlon Bell.|29-32| 
18:22| |29-32|Damarcus Harrison Turnover.
18:22|Bobby Portis Steal.|29-32| 
18:18|Bobby Portis made Dunk.|31-32| 
17:55| |31-34|Donte Grantham made Jumper.
17:32|Bobby Portis Turnover.|31-34| 
17:32| |31-34|Rod Hall Steal.
17:27| |31-36|Jaron Blossomgame made Layup. Assisted by Rod Hall.
17:16|Bobby Portis missed Jumper.|31-36| 
17:16|Rashad Madden Offensive Rebound.|31-36| 
17:11|Alandise Harris made Three Point Jumper. Assisted by Rashad Madden.|34-36| 
16:32| |34-36|Austin Ajukwa missed Three Point Jumper.
16:32| |34-36|Sidy Djitte Offensive Rebound.
16:11| |34-36|Foul on Jaron Blossomgame.
16:11| |34-36|Jaron Blossomgame Turnover.
15:58| Official TV Timeout| Official TV Timeout| Official TV Timeout
15:50|Bobby Portis missed Layup.|34-36| 
15:50| |34-36|Landry Nnoko Block.
15:50| |34-36|Clemson Defensive Rebound.
15:45| |34-36|Josh Smith missed Jumper.
15:45|Arkansas Defensive Rebound.|34-36| 
15:23|Anthlon Bell missed Three Point Jumper.|34-36| 
15:23| |34-36|Landry Nnoko Defensive Rebound.
14:50| |34-36|Foul on Damarcus Harrison.
14:50| |34-36|Damarcus Harrison Turnover.
14:33|Michael Qualls made Layup.|36-36| 
14:33| |36-36|Foul on Austin Ajukwa.
14:33|Michael Qualls made Free Throw.|37-36| 
14:16| |37-36|Landry Nnoko missed Jumper.
14:16|Manuale Watkins Defensive Rebound.|37-36| 
14:06|Michael Qualls made Layup.|39-36| 
13:56|Clemson  Timeout|Clemson  Timeout|Clemson  Timeout
13:40| |39-36|Jaron Blossomgame missed Layup.
13:40|Rashad Madden Defensive Rebound.|39-36| 
13:27| |39-36|Foul on Landry Nnoko.
13:22|Manuale Watkins Turnover.|39-36| 
13:22| |39-36|Rod Hall Steal.
13:22|Foul on Jabril Durham.|39-36| 
13:22| |39-36|Jaron Blossomgame missed Free Throw.
13:22| |39-36|Clemson Deadball Team Rebound.
13:22| |39-37|Jaron Blossomgame made Free Throw.
13:16|Jacorey Williams Turnover.|39-37| 
13:04| |39-37|Jaron Blossomgame Turnover.
13:04|Moses Kingsley Steal.|39-37| 
12:52| |39-37|Foul on Damarcus Harrison.
12:52|Jacorey Williams made Free Throw.|40-37| 
12:52|Jacorey Williams made Free Throw.|41-37| 
12:52|Foul on Moses Kingsley.|41-37| 
12:40| |41-37|Donte Grantham Turnover.
12:13|Jacorey Williams made Jumper.|43-37| 
11:48| |43-37|Donte Grantham missed Jumper.
11:48| |43-37|Donte Grantham Offensive Rebound.
11:40| |43-37|Donte Grantham missed Three Point Jumper.
11:40| |43-37|Donte Grantham Offensive Rebound.
11:31| |43-37|Jump Ball won by Clemson
11:31| Official TV Timeout| Official TV Timeout| Official TV Timeout
11:26|Clemson  Timeout|Clemson  Timeout|Clemson  Timeout
11:17| |43-37|Jaron Blossomgame Turnover.
11:17| |43-37|Foul on Jaron Blossomgame.
11:06|Jabril Durham made Layup.|45-37| 
10:56|Foul on Manuale Watkins.|45-37| 
10:47|Foul on Jabril Durham.|45-37| 
10:40|Foul on Jabril Durham.|45-37| 
10:40| |45-38|Jaron Blossomgame made Free Throw.
10:40| |45-39|Jaron Blossomgame made Free Throw.
10:21|Jacorey Williams missed Jumper.|45-39| 
