time|away|score|home
20:00| |0-0|Jump Ball won by Penn State
19:45| |0-0|Shep Garner missed Three Point Jumper.
19:45|Malik Muller Defensive Rebound.|0-0| 
19:31|Ahmed Hill made Layup. Assisted by Malik Muller.|2-0| 
19:22| |2-0|Brandon Taylor Turnover.
19:22|Shane Henry Steal.|2-0| 
19:10|Justin Bibbs made Three Point Jumper.|5-0| 
18:50| |5-0|Shep Garner Turnover.
18:50|Devin Wilson Steal.|5-0| 
18:32|Shane Henry missed Jumper.|5-0| 
18:32| |5-0|Brandon Taylor Defensive Rebound.
18:23| |5-0|D.J. Newbill missed Three Point Jumper.
18:23|Shane Henry Defensive Rebound.|5-0| 
18:13|Shane Henry missed Jumper.|5-0| 
18:13| |5-0|Ross Travis Defensive Rebound.
18:01| |5-3|Brandon Taylor made Three Point Jumper. Assisted by Shep Garner.
17:32|Malik Muller missed Three Point Jumper.|5-3| 
17:32| |5-3|Jordan Dickerson Defensive Rebound.
17:13| |5-3|Foul on Ross Travis.
17:13| |5-3|Ross Travis Turnover.
16:59|Joey van Zegeren made Jumper.|7-3| 
16:25|Foul on Devin Wilson.|7-3| 
16:25| |7-4|Brandon Taylor made Free Throw.
16:25| |7-5|Brandon Taylor made Free Throw.
16:25| |7-5|Brandon Taylor missed Free Throw.
16:25|Ahmed Hill Defensive Rebound.|7-5| 
16:11| |7-5|Foul on Donovon Jack.
16:11|Joey van Zegeren missed Free Throw.|7-5| 
16:11|Virginia Tech Deadball Team Rebound.|7-5| 
16:11|Joey van Zegeren missed Free Throw.|7-5| 
16:11| |7-5|Brandon Taylor Defensive Rebound.
16:04| |7-5|D.J. Newbill missed Jumper.
16:04|Justin Bibbs Defensive Rebound.|7-5| 
15:54|Justin Bibbs missed Jumper.|7-5| 
15:54|Joey van Zegeren Offensive Rebound.|7-5| 
15:49|Joey van Zegeren made Layup.|9-5| 
15:31| |9-7|Donovon Jack made Layup. Assisted by Shep Garner.
15:04|Ahmed Hill missed Jumper.|9-7| 
15:04|Joey van Zegeren Offensive Rebound.|9-7| 
15:04|Joey van Zegeren made Two Point Tip Shot.|11-7| 
14:33| |11-7|Foul on Brandon Taylor.
14:33| |11-7|Brandon Taylor Turnover.
14:33| Official TV Timeout| Official TV Timeout| Official TV Timeout
14:17|Joey van Zegeren missed Jumper.|11-7| 
14:17| |11-7|Brandon Taylor Defensive Rebound.
14:04| |11-7|Brandon Taylor missed Three Point Jumper.
14:04|Joey van Zegeren Defensive Rebound.|11-7| 
13:41|Joey van Zegeren made Dunk. Assisted by Justin Bibbs.|13-7| 
13:17|Foul on Adam Smith.|13-7| 
12:59| |13-10|Ross Travis made Three Point Jumper. Assisted by John Johnson.
12:50|Adam Smith missed Three Point Jumper.|13-10| 
12:50| |13-10|D.J. Newbill Defensive Rebound.
12:37| |13-10|D.J. Newbill Turnover.
12:24| |13-10|Foul on Jordan Dickerson.
12:24|Joey van Zegeren missed Free Throw.|13-10| 
12:24|Virginia Tech Deadball Team Rebound.|13-10| 
12:24|Joey van Zegeren missed Free Throw.|13-10| 
12:24| |13-10|Jordan Dickerson Defensive Rebound.
12:00| |13-10|Jordan Dickerson Turnover.
11:43|Devin Wilson missed Three Point Jumper.|13-10| 
11:43| |13-10|Ross Travis Defensive Rebound.
11:29| |13-10|Geno Thorpe Turnover.
11:29|Malik Muller Steal.|13-10| 
11:23|Malik Muller missed Layup.|13-10| 
11:23|Devin Wilson Offensive Rebound.|13-10| 
11:23|Devin Wilson made Two Point Tip Shot.|15-10| 
10:56| |15-10|Ross Travis missed Jumper.
10:56|Joey van Zegeren Defensive Rebound.|15-10| 
10:45|Adam Smith made Jumper.|17-10| 
10:36|Penn State  Timeout|Penn State  Timeout|Penn State  Timeout
10:20| |17-12|Ross Travis made Layup.
10:20|Foul on Will Johnston.|17-12| 
10:20| Official TV Timeout| Official TV Timeout| Official TV Timeout
10:20| |17-12|Ross Travis missed Free Throw.
10:20|Justin Bibbs Defensive Rebound.|17-12| 
10:11|Devin Wilson missed Layup.|17-12| 
10:11| |17-12|Donovon Jack Defensive Rebound.
9:52| |17-15|Shep Garner made Three Point Jumper.
9:33|Malik Muller missed Jumper.|17-15| 
9:33|Virginia Tech Offensive Rebound.|17-15| 
9:27|Joey van Zegeren missed Jumper.|17-15| 
9:27| |17-15|Donovon Jack Defensive Rebound.
9:05| |17-15|Ross Travis Turnover.
9:05|Joey van Zegeren Steal.|17-15| 
8:59|Adam Smith missed Layup.|17-15| 
8:59| |17-15|D.J. Newbill Defensive Rebound.
8:49| |17-15|Brandon Taylor missed Jumper.
8:49|Virginia Tech Deadball Team Rebound.|17-15| 
8:47| |17-15|Foul on Ross Travis.
8:29|Joey van Zegeren made Dunk. Assisted by Jalen Hudson.|19-15| 
8:12| |19-15|Donovon Jack missed Three Point Jumper.
8:12| |19-15|Geno Thorpe Offensive Rebound.
8:05|Foul on Joey van Zegeren.|19-15| 
8:05| |19-16|Geno Thorpe made Free Throw.
8:05| |19-17|Geno Thorpe made Free Throw.
