time	away	score	home
20:00	 	0-0	Jump Ball won by Creighton
19:50	 	0-0	Toby Hegner missed Three Point Jumper.
19:50	Ryan Spangler Defensive Rebound.	0-0	 
19:33	Buddy Hield made Three Point Jumper. Assisted by TaShawn Thomas.	3-0	 
19:04	 	3-0	Will Artino missed Layup.
19:04	Jordan Woodard Defensive Rebound.	3-0	 
18:47	Buddy Hield made Layup.	5-0	 
18:27	 	5-0	Ricky Kreklow Turnover.
18:15	Buddy Hield made Jumper. Assisted by Isaiah Cousins.	7-0	 
17:56	Foul on TaShawn Thomas.	7-0	 
17:56	 	7-1	Ricky Kreklow made Free Throw.
17:56	 	7-2	Ricky Kreklow made Free Throw.
17:41	Buddy Hield missed Three Point Jumper.	7-2	 
17:41	 	7-2	Austin Chatman Defensive Rebound.
17:26	 	7-2	Isaiah Zierden missed Three Point Jumper.
17:26	Oklahoma Defensive Rebound.	7-2	 
17:13	Ryan Spangler made Three Point Jumper. Assisted by Buddy Hield.	10-2	 
16:50	 	10-2	Austin Chatman missed Three Point Jumper.
16:50	Oklahoma Defensive Rebound.	10-2	 
16:30	D.J. Bennett missed Jumper.	10-2	 
16:30	 	10-2	Devin Brooks Defensive Rebound.
16:08	 	10-2	Austin Chatman missed Three Point Jumper.
16:08	Oklahoma Defensive Rebound.	10-2	 
15:51	 	10-2	Foul on Ricky Kreklow.
15:51	Official TV Timeout	Official TV Timeout	Official TV Timeout
15:51	Jordan Woodard Turnover.	10-2	 
15:51	 	10-2	Isaiah Zierden Steal.
15:47	Foul on Buddy Hield.	10-2	 
15:47	 	10-3	Devin Brooks made Free Throw.
15:47	 	10-4	Devin Brooks made Free Throw.
15:37	Foul on D.J. Bennett.	10-4	 
15:37	D.J. Bennett Turnover.	10-4	 
15:29	 	10-4	Isaiah Zierden missed Three Point Jumper.
15:29	 	10-4	Devin Brooks Offensive Rebound.
15:29	 	10-4	Devin Brooks missed Layup.
15:29	Ryan Spangler Defensive Rebound.	10-4	 
15:19	Jordan Woodard Turnover.	10-4	 
15:06	Foul on Jordan Woodard.	10-4	 
15:01	 	10-4	Devin Brooks Turnover.
15:01	Dinjiyl Walker Steal.	10-4	 
14:57	Buddy Hield missed Three Point Jumper.	10-4	 
14:57	 	10-4	Austin Chatman Defensive Rebound.
14:51	 	10-6	Ricky Kreklow made Layup. Assisted by Austin Chatman.
14:36	Ryan Spangler made Three Point Jumper. Assisted by Buddy Hield.	13-6	 
14:19	 	13-6	Ricky Kreklow missed Three Point Jumper.
14:19	Oklahoma Defensive Rebound.	13-6	 
13:54	Dinjiyl Walker missed Jumper.	13-6	 
13:54	 	13-6	Toby Hegner Defensive Rebound.
13:47	 	13-6	James Milliken missed Three Point Jumper.
13:47	Ryan Spangler Defensive Rebound.	13-6	 
13:31	 	13-6	Foul on Devin Brooks.
13:20	Frank Booker missed Three Point Jumper.	13-6	 
13:20	Frank Booker Offensive Rebound.	13-6	 
13:02	Isaiah Cousins made Layup.	15-6	 
12:51	Foul on Isaiah Cousins.	15-6	 
12:51	 	15-7	Austin Chatman made Free Throw.
12:51	 	15-8	Austin Chatman made Free Throw.
12:34	TaShawn Thomas missed Jumper.	15-8	 
12:34	 	15-8	Geoffrey Groselle Block.
12:34	 	15-8	Toby Hegner Defensive Rebound.
12:25	Foul on Dinjiyl Walker.	15-8	 
12:25	 	15-9	Austin Chatman made Free Throw.
12:25	 	15-9	Austin Chatman missed Free Throw.
12:25	Isaiah Cousins Defensive Rebound.	15-9	 
12:06	TaShawn Thomas made Jumper. Assisted by Dinjiyl Walker.	17-9	 
11:51	 	17-9	Toby Hegner missed Three Point Jumper.
11:51	Frank Booker Defensive Rebound.	17-9	 
11:41	 	17-9	Foul on James Milliken.
11:41	Official TV Timeout	Official TV Timeout	Official TV Timeout
11:41	Khadeem Lattin missed Free Throw.	17-9	 
11:41	Oklahoma Deadball Team Rebound.	17-9	 
11:41	Khadeem Lattin missed Free Throw.	17-9	 
11:41	 	17-9	Toby Hegner Defensive Rebound.
11:27	 	17-12	Toby Hegner made Three Point Jumper. Assisted by Austin Chatman.
11:09	Dinjiyl Walker missed Jumper.	17-12	 
11:09	Khadeem Lattin Offensive Rebound.	17-12	 
11:09	Khadeem Lattin missed Dunk.	17-12	 
11:09	Dinjiyl Walker Offensive Rebound.	17-12	 
10:59	 	17-12	Foul on Will Artino.
10:59	Frank Booker made Free Throw.	18-12	 
10:59	Frank Booker made Free Throw.	19-12	 
10:41	 	19-12	James Milliken missed Jumper.
10:41	Ryan Spangler Defensive Rebound.	19-12	 
10:23	Isaiah Cousins missed Three Point Jumper.	19-12	 
10:23	 	19-12	Will Artino Defensive Rebound.
10:13	 	19-12	Austin Chatman missed Jumper.
10:13	Ryan Spangler Defensive Rebound.	19-12	 
10:00	Isaiah Cousins Turnover.	19-12	 
10:00	 	19-12	Isaiah Zierden Steal.
9:56	Foul on Isaiah Cousins.	19-12	 
9:56	 	19-13	Isaiah Zierden made Free Throw.
9:56	 	19-14	Isaiah Zierden made Free Throw.
9:43	Frank Booker missed Three Point Jumper.	19-14	 
9:43	 	19-14	Toby Hegner Defensive Rebound.
9:30	Foul on Ryan Spangler.	19-14	 
9:30	 	19-14	Will Artino missed Free Throw.
9:30	Buddy Hield Defensive Rebound.	19-14	 
9:15	TaShawn Thomas made Dunk. Assisted by Jordan Woodard.	21-14	 
8:50	 	21-14	Will Artino Turnover.
8:34	TaShawn Thomas made Layup.	23-14	 
8:16	Foul on Jordan Woodard.	23-14	 
8:16	 	23-14	Will Artino missed Free Throw.
8:16	 	23-14	Creighton Deadball Team Rebound.
8:16	 	23-15	Will Artino made Free Throw.
7:50	Jordan Woodard missed Jumper.	23-15	 
7:50	 	23-15	Ricky Kreklow Defensive Rebound.
7:32	 	23-18	Austin Chatman made Three Point Jumper. Assisted by Devin Brooks.
7:19	Buddy Hield missed Jumper.	23-18	 
7:19	Ryan Spangler Offensive Rebound.	23-18	 
7:16	Jordan Woodard made Layup. Assisted by Ryan Spangler.	25-18	 
6:55	 	25-18	Ricky Kreklow Turnover.
6:55	Frank Booker Steal.	25-18	 
6:51	Frank Booker missed Layup.	25-18	 
6:51	Buddy Hield Offensive Rebound.	25-18	 
6:45	Buddy Hield missed Layup.	25-18	 
6:45	 	25-18	Zach Hanson Defensive Rebound.
6:38	 	25-18	Foul on Ricky Kreklow.
6:38	 	25-18	Ricky Kreklow Turnover.
6:38	Official TV Timeout	Official TV Timeout	Official TV Timeout
6:27	Dinjiyl Walker made Three Point Jumper. Assisted by TaShawn Thomas.	28-18	 
6:10	 	28-20	Devin Brooks made Layup.
5:45	TaShawn Thomas missed Jumper.	28-20	 
5:45	 	28-20	Austin Chatman Defensive Rebound.
5:17	 	28-20	Toby Hegner missed Three Point Jumper.
5:17	Buddy Hield Defensive Rebound.	28-20	 
5:07	Dinjiyl Walker missed Jumper.	28-20	 
5:07	 	28-20	Austin Chatman Defensive Rebound.
4:53	 	28-20	Austin Chatman missed Jumper.
4:53	TaShawn Thomas Defensive Rebound.	28-20	 
4:48	Frank Booker made Three Point Jumper. Assisted by TaShawn Thomas.	31-20	 
4:43	Creighton  Timeout	Creighton  Timeout	Creighton  Timeout
4:27	 	31-20	Devin Brooks missed Three Point Jumper.
4:27	Buddy Hield Defensive Rebound.	31-20	 
3:57	Frank Booker Turnover.	31-20	 
3:57	Official TV Timeout	Official TV Timeout	Official TV Timeout
3:40	 	31-20	James Milliken Turnover.
3:40	Buddy Hield Steal.	31-20	 
3:33	 	31-20	Foul on Toby Hegner.
3:33	Buddy Hield made Free Throw.	32-20	 
3:33	Buddy Hield made Free Throw.	33-20	 
3:03	 	33-20	James Milliken missed Three Point Jumper.
3:03	Buddy Hield Defensive Rebound.	33-20	 
2:45	TaShawn Thomas missed Jumper.	33-20	 
2:45	 	33-20	Will Artino Defensive Rebound.
2:32	 	33-20	Austin Chatman missed Jumper.
2:32	Ryan Spangler Defensive Rebound.	33-20	 
2:10	Buddy Hield missed Jumper.	33-20	 
2:10	 	33-20	Will Artino Defensive Rebound.
1:45	 	33-22	James Milliken made Jumper.
1:18	Oklahoma  Timeout	Oklahoma  Timeout	Oklahoma  Timeout
1:16	Ryan Spangler made Layup. Assisted by Buddy Hield.	35-22	 
0:51	 	35-24	Will Artino made Layup. Assisted by Austin Chatman.
0:18	Buddy Hield missed Jumper.	35-24	 
0:18	 	35-24	Devin Brooks Defensive Rebound.
0:07	 	35-24	Isaiah Zierden missed Three Point Jumper.
0:07	 	35-24	Austin Chatman Offensive Rebound.
0:00	 	35-24	Austin Chatman missed Jumper.
0:00	End of 1st half	End of 1st half	End of 1st half
0:00	Ryan Spangler Defensive Rebound.	35-24	 
20:00	Jump Ball won by Oklahoma	35-24	 
19:42	TaShawn Thomas made Jumper.	37-24	 
19:20	 	37-24	Devin Brooks missed Layup.
19:20	Jordan Woodard Defensive Rebound.	37-24	 
19:13	TaShawn Thomas made Dunk. Assisted by Jordan Woodard.	39-24	 
18:59	 	39-24	Will Artino missed Jumper.
18:59	Isaiah Cousins Defensive Rebound.	39-24	 
18:40	Ryan Spangler made Three Point Jumper. Assisted by Jordan Woodard.	42-24	 
18:30	Creighton  Timeout	Creighton  Timeout	Creighton  Timeout
18:26	Foul on Isaiah Cousins.	42-24	 
18:13	 	42-27	Toby Hegner made Three Point Jumper. Assisted by Devin Brooks.
17:50	TaShawn Thomas made Jumper. Assisted by Buddy Hield.	44-27	 
17:35	 	44-27	Austin Chatman Turnover.
17:28	TaShawn Thomas missed Jumper.	44-27	 
17:28	Ryan Spangler Offensive Rebound.	44-27	 
17:28	Ryan Spangler missed Two Point Tip Shot.	44-27	 
17:28	 	44-27	Toby Hegner Defensive Rebound.
17:17	 	44-30	Isaiah Zierden made Three Point Jumper. Assisted by Will Artino.
16:41	Ryan Spangler missed Three Point Jumper.	44-30	 
16:41	 	44-30	Devin Brooks Defensive Rebound.
16:34	 	44-33	Austin Chatman made Three Point Jumper. Assisted by Devin Brooks.
16:10	Buddy Hield missed Layup.	44-33	 
16:10	 	44-33	Will Artino Block.
16:10	Oklahoma Offensive Rebound.	44-33	 
16:01	Buddy Hield missed Three Point Jumper.	44-33	 
16:01	 	44-33	Devin Brooks Defensive Rebound.
15:51	 	44-33	Devin Brooks Turnover.
15:51	Buddy Hield Steal.	44-33	 
15:45	Ryan Spangler missed Layup.	44-33	 
15:45	 	44-33	Austin Chatman Defensive Rebound.
15:41	Foul on Buddy Hield.	44-33	 
15:41	Official TV Timeout	Official TV Timeout	Official TV Timeout
15:33	 	44-33	Toby Hegner missed Jumper.
15:33	 	44-33	Zach Hanson Offensive Rebound.
15:26	 	44-35	Zach Hanson made Layup.
15:26	Foul on TaShawn Thomas.	44-35	 
15:26	 	44-36	Zach Hanson made Free Throw.
15:13	TaShawn Thomas Turnover.	44-36	 
14:58	 	44-38	Devin Brooks made Layup.
