time	away	score	home
19:41	 	0-0	Ahmad Starks missed Three Point Jumper.
19:41	Khalil Davis Defensive Rebound.	0-0	 
19:24	Ed Dyson made Layup. Assisted by Chris Freeman.	2-0	 
19:00	 	2-3	Rayvonte Rice made Three Point Jumper. Assisted by Nnanna Egwu.
18:33	Chris Freeman missed Jumper.	2-3	 
18:33	 	2-3	Nnanna Egwu Defensive Rebound.
18:27	 	2-3	Foul on Rayvonte Rice.
18:27	 	2-3	Rayvonte Rice Turnover.
18:05	Chris Horton Turnover.	2-3	 
18:03	 	2-3	Rayvonte Rice Steal.
18:00	 	2-3	Aaron Cosby missed Layup.
18:00	 	2-3	Rayvonte Rice Offensive Rebound.
17:57	 	2-5	Rayvonte Rice made Jumper.
17:47	 	2-5	Foul on Ahmad Starks.
17:43	Zavion Williams made Layup.	4-5	 
17:41	Illinois  Timeout	Illinois  Timeout	Illinois  Timeout
17:26	 	4-5	Aaron Cosby missed Three Point Jumper.
17:26	 	4-5	Malcolm Hill Offensive Rebound.
17:12	 	4-5	Malcolm Hill missed Three Point Jumper.
17:12	Zavion Williams Defensive Rebound.	4-5	 
16:59	Chris Freeman made Layup. Assisted by Chris Horton.	6-5	 
16:45	 	6-5	Ahmad Starks missed Jumper.
16:45	Chris Freeman Block.	6-5	 
16:45	 	6-5	Illinois Offensive Rebound.
16:43	 	6-5	Ahmad Starks missed Three Point Jumper.
16:43	Ed Dyson Defensive Rebound.	6-5	 
16:32	Zavion Williams missed Jumper.	6-5	 
16:32	 	6-5	Rayvonte Rice Defensive Rebound.
16:25	 	6-5	Aaron Cosby missed Three Point Jumper.
16:25	Khalil Davis Defensive Rebound.	6-5	 
16:12	Chris Horton missed Jumper.	6-5	 
16:12	Austin Peay Offensive Rebound.	6-5	 
15:55	 	6-5	Foul on Leron Black.
15:55	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:37	Khalil Davis made Jumper.	8-5	 
15:05	 	8-5	Leron Black missed Jumper.
15:05	 	8-5	Malcolm Hill Offensive Rebound.
15:03	Foul on Chris Horton.	8-5	 
15:03	 	8-5	Malcolm Hill missed Free Throw.
15:03	 	8-5	Illinois Deadball Team Rebound.
15:03	 	8-6	Malcolm Hill made Free Throw.
14:39	Khalil Davis Turnover.	8-6	 
14:25	Foul on Khalil Davis.	8-6	 
14:20	 	8-9	Nnanna Egwu made Three Point Jumper. Assisted by Kendrick Nunn.
13:52	Zavion Williams missed Three Point Jumper.	8-9	 
13:52	 	8-9	Nnanna Egwu Defensive Rebound.
13:47	 	8-12	Rayvonte Rice made Three Point Jumper. Assisted by Jaylon Tate.
13:31	 	8-12	Foul on Nnanna Egwu.
13:31	Chris Horton made Free Throw.	9-12	 
13:31	Chris Horton made Free Throw.	10-12	 
13:19	 	10-14	Leron Black made Layup. Assisted by Jaylon Tate.
13:19	Foul on Assane Diop.	10-14	 
13:19	 	10-14	Leron Black missed Free Throw.
13:19	Assane Diop Defensive Rebound.	10-14	 
12:56	Ed Dyson made Three Point Jumper. Assisted by Zavion Williams.	13-14	 
12:36	 	13-14	Nnanna Egwu missed Jumper.
12:36	Assane Diop Defensive Rebound.	13-14	 
12:17	Josh Robinson missed Three Point Jumper.	13-14	 
12:17	 	13-14	Rayvonte Rice Defensive Rebound.
12:08	 	13-14	Rayvonte Rice Turnover.
11:49	Chris Horton Turnover.	13-14	 
11:49	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:38	 	13-16	Nnanna Egwu made Dunk. Assisted by Malcolm Hill.
11:16	Assane Diop missed Jumper.	13-16	 
11:16	 	13-16	Ahmad Starks Defensive Rebound.
