time	away	score	home
19:49	Justin Drummond missed Jumper.	0-0	 
19:49	Nathan Boothe Offensive Rebound.	0-0	 
19:43	Nathan Boothe made Two Point Tip Shot.	2-0	 
19:25	 	2-0	Dwayne Benjamin missed Jumper.
19:25	J.D. Weatherspoon Defensive Rebound.	2-0	 
19:07	Julius Brown made Three Point Jumper. Assisted by Justin Drummond.	5-0	 
18:44	 	5-3	Dillon Brooks made Three Point Jumper. Assisted by Elgin Cook.
18:24	Jonathan Williams Turnover.	5-3	 
18:22	 	5-3	Dillon Brooks Steal.
18:19	 	5-5	Joseph Young made Layup. Assisted by Ahmaad Rorie.
18:02	Justin Drummond missed Jumper.	5-5	 
18:02	Justin Drummond Offensive Rebound.	5-5	 
17:59	Justin Drummond missed Two Point Tip Shot.	5-5	 
17:59	 	5-5	Elgin Cook Defensive Rebound.
17:52	 	5-5	Elgin Cook missed Three Point Jumper.
17:52	Jonathan Williams Defensive Rebound.	5-5	 
17:43	Jonathan Williams Turnover.	5-5	 
17:30	 	5-5	Elgin Cook missed Jumper.
17:30	 	5-5	Joseph Young Offensive Rebound.
17:26	 	5-5	Joseph Young missed Jumper.
17:26	Justin Drummond Block.	5-5	 
17:24	 	5-5	Ahmaad Rorie Offensive Rebound.
17:15	Foul on Nathan Boothe.	5-5	 
17:15	 	5-6	Elgin Cook made Free Throw.
17:15	 	5-7	Elgin Cook made Free Throw.
16:47	Julius Brown missed Jumper.	5-7	 
16:47	 	5-7	Elgin Cook Defensive Rebound.
16:27	Foul on Justin Drummond.	5-7	 
16:26	 	5-7	Ahmaad Rorie Turnover.
16:25	Julius Brown Steal.	5-7	 
16:16	J.D. Weatherspoon Turnover.	5-7	 
15:56	 	5-7	Dillon Brooks missed Three Point Jumper.
15:56	J.D. Weatherspoon Defensive Rebound.	5-7	 
15:44	Jonathan Williams made Three Point Jumper.	8-7	 
15:32	 	8-7	Joseph Young missed Layup.
15:32	Nathan Boothe Defensive Rebound.	8-7	 
15:23	Justin Drummond missed Three Point Jumper.	8-7	 
15:23	 	8-7	Elgin Cook Defensive Rebound.
15:14	 	8-7	Dwayne Benjamin missed Jumper.
15:14	 	8-7	Dwayne Benjamin Offensive Rebound.
15:11	 	8-9	Dwayne Benjamin made Two Point Tip Shot.
14:53	 	8-9	Foul on Ahmaad Rorie.
14:53	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:37	Julius Brown made Three Point Jumper.	11-9	 
14:24	 	11-9	Joseph Young Turnover.
14:08	 	11-9	Foul on Jalil Abdul-Bassit.
14:01	Julius Brown made Three Point Jumper.	14-9	 
13:34	 	14-12	Casey Benson made Three Point Jumper. Assisted by Dillon Brooks.
13:04	J.D. Weatherspoon missed Layup.	14-12	 
13:04	 	14-12	Jalil Abdul-Bassit Block.
13:02	 	14-12	Casey Benson Defensive Rebound.
12:52	 	14-14	Dillon Brooks made Layup.
12:35	Julius Brown Turnover.	14-14	 
12:34	 	14-14	Casey Benson Steal.
12:32	 	14-16	Joseph Young made Layup. Assisted by Casey Benson.
12:32	Foul on Jordan Lauf.	14-16	 
12:29	 	14-17	Joseph Young made Free Throw.
12:02	Justin Drummond missed Jumper.	14-17	 
12:02	 	14-17	Jordan Bell Defensive Rebound.
11:58	 	14-17	Jordan Bell Turnover.
11:57	Justin Drummond Steal.	14-17	 
11:34	Jordan Lauf made Three Point Jumper. Assisted by Zach Garber.	17-17	 
11:15	 	17-17	Jalil Abdul-Bassit missed Three Point Jumper.
11:15	 	17-17	Jordan Bell Offensive Rebound.
11:09	 	17-17	Ahmaad Rorie missed Three Point Jumper.
11:09	Justin Drummond Defensive Rebound.	17-17	 
10:55	Justin Drummond missed Layup.	17-17	 
10:55	 	17-17	Elgin Cook Defensive Rebound.
10:49	Foul on Zach Garber.	17-17	 
10:49	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:49	 	17-18	Ahmaad Rorie made Free Throw.
10:49	 	17-19	Ahmaad Rorie made Free Throw.
10:19	Nathan Boothe missed Layup.	17-19	 
10:19	 	17-19	Elgin Cook Defensive Rebound.
10:18	 	17-19	Elgin Cook Turnover.
10:14	Jonathan Williams made Jumper. Assisted by J.D. Weatherspoon.	19-19	 
10:01	 	19-19	Joseph Young Turnover.
10:01	J.D. Weatherspoon Steal.	19-19	 
