time	away	score	home
20:00	 	0-0	Jump Ball won by Marquette
19:39	 	0-0	Steve Taylor Jr. missed Jumper.
19:39	Kevin Punter Defensive Rebound.	0-0	 
19:23	Armani Moore made Jumper.	2-0	 
19:09	 	2-0	Juan Anderson Turnover.
18:58	Kevin Punter missed Jumper.	2-0	 
18:58	 	2-0	Juan Anderson Defensive Rebound.
18:45	 	2-0	Juan Anderson missed Layup.
18:45	Armani Moore Defensive Rebound.	2-0	 
18:36	Robert Hubbs III made Layup.	4-0	 
18:24	Foul on Robert Hubbs III.	4-0	 
18:21	 	4-0	Deonte Burton Turnover.
18:21	Willie Carmichael III Steal.	4-0	 
18:08	Armani Moore made Layup. Assisted by Josh Richardson.	6-0	 
18:08	Marquette  Timeout	Marquette  Timeout	Marquette  Timeout
17:51	 	6-0	Duane Wilson missed Three Point Jumper.
17:51	Willie Carmichael III Defensive Rebound.	6-0	 
17:22	Robert Hubbs III made Three Point Jumper. Assisted by Armani Moore.	9-0	 
17:10	Foul on Kevin Punter.	9-0	 
17:00	 	9-2	Matt Carlino made Layup.
16:39	Armani Moore Turnover.	9-2	 
16:39	 	9-2	Deonte Burton Steal.
16:19	 	9-2	Duane Wilson missed Three Point Jumper.
16:19	Dominic Woodson Defensive Rebound.	9-2	 
15:59	Dominic Woodson Turnover.	9-2	 
15:55	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:51	 	9-2	Jajuan Johnson missed Three Point Jumper.
15:51	Detrick Mostella Defensive Rebound.	9-2	 
15:32	Detrick Mostella missed Layup.	9-2	 
15:32	 	9-2	Marquette Defensive Rebound.
15:20	 	9-4	Derrick Wilson made Layup.
14:51	Armani Moore missed Jumper.	9-4	 
14:51	Armani Moore Offensive Rebound.	9-4	 
14:45	Armani Moore made Layup.	11-4	 
14:26	Foul on Dominic Woodson.	11-4	 
14:10	Foul on Jabari McGhee.	11-4	 
14:07	 	11-6	Matt Carlino made Layup. Assisted by Derrick Wilson.
13:47	Derek Reese made Layup.	13-6	 
13:34	 	13-6	Matt Carlino missed Three Point Jumper.
13:26	 	13-6	Steve Taylor Jr. Offensive Rebound.
13:26	 	13-6	Juan Anderson Turnover.
13:26	Josh Richardson Steal.	13-6	 
13:19	Josh Richardson missed Jumper.	13-6	 
13:19	Jabari McGhee Offensive Rebound.	13-6	 
12:51	Kevin Punter made Jumper.	15-6	 
12:36	 	15-6	Juan Anderson missed Jumper.
