time	away	score	home
19:42	 	0-2	DaVonte Lacy made Jumper.
19:25	Camyn Boone made Layup. Assisted by Austin Ruder.	2-2	 
18:43	 	2-4	Junior Longrus made Layup.
18:19	Loomis Gerring made Jumper. Assisted by Austin Ruder.	4-4	 
18:04	 	4-4	Ny Redding Turnover.
18:03	Camyn Boone Steal.	4-4	 
17:40	Loomis Gerring Turnover.	4-4	 
17:40	 	4-7	Ny Redding made Three Point Jumper. Assisted by Ike Iroegbu.
17:07	Dorrian Williams missed Jumper.	4-7	 
17:07	 	4-7	Ike Iroegbu Defensive Rebound.
17:00	 	4-7	DaVonte Lacy missed Three Point Jumper.
17:00	Chris Kendrix Defensive Rebound.	4-7	 
16:51	Chris Kendrix missed Three Point Jumper.	4-7	 
16:51	Camyn Boone Offensive Rebound.	4-7	 
16:48	 	4-7	Foul on Junior Longrus.
16:48	Camyn Boone made Layup.	6-7	 
16:23	 	6-7	Ike Iroegbu missed Three Point Jumper.
16:23	Missouri St Deadball Team Rebound.	6-7	 
16:17	 	6-7	Foul on Josh Hawkinson.
15:57	Loomis Gerring missed Layup.	6-7	 
15:57	 	6-7	Junior Longrus Defensive Rebound.
15:42	 	6-7	DaVonte Lacy missed Jumper.
15:42	 	6-7	Washington St Offensive Rebound.
15:39	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:05	Missouri St  Turnover.	6-7	 
14:44	Loomis Gerring made Layup. Assisted by Marcus Marshall.	8-7	 
14:37	 	8-7	Jordan Railey missed Layup.
14:37	Dorrian Williams Defensive Rebound.	8-7	 
14:30	Marcus Marshall made Three Point Jumper. Assisted by Loomis Gerring.	11-7	 
14:27	Washington St  Timeout	Washington St  Timeout	Washington St  Timeout
14:13	 	11-7	Dexter Kernich-Drew missed Three Point Jumper.
14:13	Marcus Marshall Defensive Rebound.	11-7	 
13:29	Shawn Roundtree Turnover.	11-7	 
13:25	Foul on Marcus Marshall.	11-7	 
13:25	 	11-8	Ny Redding made Free Throw.
13:25	 	11-9	Ny Redding made Free Throw.
13:22	 	11-9	Foul on Dexter Kernich-Drew.
13:13	Loomis Gerring made Three Point Jumper. Assisted by Marcus Marshall.	14-9	 
12:54	 	14-9	Dexter Kernich-Drew missed Jumper.
12:54	Marcus Marshall Defensive Rebound.	14-9	 
12:47	Austin Ruder missed Three Point Jumper.	14-9	 
12:47	 	14-9	Dexter Kernich-Drew Defensive Rebound.
12:38	 	14-9	Dexter Kernich-Drew missed Three Point Jumper.
12:38	Missouri St Deadball Team Rebound.	14-9	 
12:36	 	14-9	Foul on Jordan Railey.
12:24	Marcus Marshall made Three Point Jumper.	17-9	 
11:52	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:41	 	17-11	Ny Redding made Jumper.
11:22	Marcus Marshall made Jumper. Assisted by Shawn Roundtree.	19-11	 
11:12	 	19-11	Ike Iroegbu Turnover.
11:12	Dorrian Williams Steal.	19-11	 
11:03	 	19-11	Foul on Ny Redding.
11:03	Chris Kendrix missed Free Throw.	19-11	 
11:03	Missouri St Deadball Team Rebound.	19-11	 
11:03	Chris Kendrix made Free Throw.	20-11	 
10:49	 	20-13	Josh Hawkinson made Jumper. Assisted by Junior Longrus.
10:20	Austin Ruder missed Three Point Jumper.	20-13	 
10:20	 	20-13	Washington St Defensive Rebound.
9:48	 	20-16	Ny Redding made Three Point Jumper.
9:09	 	20-16	Foul on Junior Longrus.
9:09	Camyn Boone missed Free Throw.	20-16	 
9:09	Missouri St Deadball Team Rebound.	20-16	 
9:09	Camyn Boone made Free Throw.	21-16	 
9:00	Foul on Camyn Boone.	21-16	 
9:00	 	21-17	Aaron Cheatum made Free Throw.
9:00	 	21-17	Aaron Cheatum missed Free Throw.
9:00	Camyn Boone Defensive Rebound.	21-17	 
8:46	Dorrian Williams missed Jumper.	21-17	 
8:46	 	21-17	Ny Redding Defensive Rebound.
8:37	 	21-17	Ny Redding missed Jumper.
8:37	Camyn Boone Defensive Rebound.	21-17	 
8:30	Austin Ruder made Three Point Jumper. Assisted by Dorrian Williams.	24-17	 
8:22	 	24-19	DaVonte Lacy made Layup. Assisted by Ny Redding.
8:22	Foul on Austin Ruder.	24-19	 
8:22	 	24-20	DaVonte Lacy made Free Throw.
8:02	 	24-20	Foul on Aaron Cheatum.
8:02	Camyn Boone made Free Throw.	25-20	 
8:02	Camyn Boone made Free Throw.	26-20	 
7:57	 	26-20	Ny Redding Turnover.
7:57	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:40	Loomis Gerring missed Jumper.	26-20	 
7:40	 	26-20	Washington St Defensive Rebound.
7:30	 	26-20	Que Johnson missed Three Point Jumper.
7:30	Austin Ruder Defensive Rebound.	26-20	 
7:24	Austin Ruder made Three Point Jumper. Assisted by Dorrian Williams.	29-20	 
7:11	 	29-20	Josh Hawkinson missed Jumper.
7:11	 	29-20	Aaron Cheatum Offensive Rebound.
6:57	 	29-22	Josh Hawkinson made Jumper. Assisted by Ny Redding.
6:35	Marcus Marshall made Jumper.	31-22	 
6:12	 	31-22	DaVonte Lacy missed Three Point Jumper.
6:12	Loomis Gerring Defensive Rebound.	31-22	 
5:56	Marcus Marshall made Layup.	33-22	 
5:56	Washington St  Timeout	Washington St  Timeout	Washington St  Timeout
5:39	 	33-22	DaVonte Lacy missed Three Point Jumper.
5:39	 	33-22	Que Johnson Offensive Rebound.
5:30	 	33-22	Que Johnson missed Three Point Jumper.
5:30	Austin Ruder Defensive Rebound.	33-22	 
5:13	Dorrian Williams missed Three Point Jumper.	33-22	 
5:13	 	33-22	Dexter Kernich-Drew Defensive Rebound.
5:03	Foul on Dorrian Williams.	33-22	 
4:42	 	33-22	Josh Hawkinson missed Jumper.
4:42	Missouri St Defensive Rebound.	33-22	 
4:10	 	33-22	Foul on Josh Hawkinson.
4:10	Tyler McCullough made Free Throw.	34-22	 
4:10	Tyler McCullough missed Free Throw.	34-22	 
4:10	 	34-22	Josh Hawkinson Defensive Rebound.
3:54	 	34-22	Dexter Kernich-Drew missed Jumper.
3:54	Christian Kirk Defensive Rebound.	34-22	 
3:43	Foul on Marcus Marshall.	34-22	 
3:43	Marcus Marshall Turnover.	34-22	 
