time	away	score	home
19:48	 	0-2	Jerrell Wright made Layup. Assisted by Steve Zack.
19:29	Antwoine Anderson Turnover.	0-2	 
19:28	 	0-2	Amar Stukes Steal.
19:25	 	0-4	Amar Stukes made Layup.
19:03	Christian Sengfelder missed Three Point Jumper.	0-4	 
19:03	Christian Sengfelder Offensive Rebound.	0-4	 
18:38	Eric Paschall missed Three Point Jumper.	0-4	 
18:38	 	0-4	Jordan Price Defensive Rebound.
18:31	 	0-6	Jordan Price made Layup.
18:11	Bryan Smith Turnover.	0-6	 
18:09	 	0-6	Jordan Price Steal.
18:02	 	0-8	Jerrell Wright made Layup. Assisted by Jordan Price.
17:59	Foul on Ryan Rhoomes.	0-8	 
17:59	 	0-9	Jerrell Wright made Free Throw.
17:53	Nemanja Zarkovic Turnover.	0-9	 
17:37	 	0-11	Jerrell Wright made Jumper. Assisted by Cleon Roberts.
17:33	Fordham  Timeout	Fordham  Timeout	Fordham  Timeout
17:25	Bryan Smith Turnover.	0-11	 
17:23	 	0-11	Cleon Roberts Steal.
17:21	 	0-11	Jordan Price Turnover.
17:04	Nemanja Zarkovic Turnover.	0-11	 
16:52	 	0-11	Steve Zack missed Jumper.
16:52	Ryan Rhoomes Defensive Rebound.	0-11	 
16:33	Mandell Thomas missed Jumper.	0-11	 
16:33	Christian Sengfelder Offensive Rebound.	0-11	 
16:30	Christian Sengfelder missed Layup.	0-11	 
16:30	 	0-11	Steve Zack Defensive Rebound.
16:23	 	0-14	Jordan Price made Three Point Jumper. Assisted by Amar Stukes.
16:00	Christian Sengfelder made Layup. Assisted by Mandell Thomas.	2-14	 
15:41	Foul on Mandell Thomas.	2-14	 
15:41	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:33	 	2-17	Jordan Price made Three Point Jumper.
15:15	Eric Paschall missed Three Point Jumper.	2-17	 
15:15	 	2-17	Cleon Roberts Defensive Rebound.
14:54	 	2-17	Cleon Roberts missed Three Point Jumper.
14:54	Mandell Thomas Defensive Rebound.	2-17	 
14:45	Eric Paschall missed Layup.	2-17	 
14:45	 	2-17	Steve Zack Defensive Rebound.
14:40	 	2-17	Cleon Roberts missed Three Point Jumper.
14:40	 	2-17	La Salle Offensive Rebound.
14:33	 	2-17	Jordan Price Turnover.
14:31	Antwoine Anderson Steal.	2-17	 
14:26	Eric Paschall missed Three Point Jumper.	2-17	 
14:26	 	2-17	Jordan Price Defensive Rebound.
14:13	Foul on Mandell Thomas.	2-17	 
13:56	 	2-17	Jerrell Wright missed Jumper.
13:56	Ryan Rhoomes Defensive Rebound.	2-17	 
13:39	Eric Paschall made Dunk. Assisted by Bryan Smith.	4-17	 
13:16	 	4-17	Jordan Price missed Three Point Jumper.
13:16	Ryan Rhoomes Defensive Rebound.	4-17	 
12:58	Ryan Rhoomes missed Jumper.	4-17	 
12:58	 	4-17	La Salle Defensive Rebound.
12:38	 	4-20	Cleon Roberts made Three Point Jumper. Assisted by Jerrell Wright.
12:14	Christian Sengfelder made Three Point Jumper. Assisted by Eric Paschall.	7-20	 
11:56	 	7-20	Johnnie Shuler missed Three Point Jumper.
11:56	 	7-20	Steve Zack Offensive Rebound.
11:50	 	7-20	Cleon Roberts missed Jumper.
11:50	Fordham Defensive Rebound.	7-20	 
11:48	 	7-20	Foul on Jerrell Wright.
11:48	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:19	Christian Sengfelder missed Three Point Jumper.	7-20	 
11:19	 	7-20	Khalid Lewis Defensive Rebound.
11:13	Foul on Bryan Smith.	7-20	 
11:13	 	7-21	Khalid Lewis made Free Throw.
11:13	 	7-21	Khalid Lewis missed Free Throw.
11:13	Dekeba Battee-Aston Defensive Rebound.	7-21	 
10:53	 	7-21	Foul on Amar Stukes.
10:50	Foul on Eric Paschall.	7-21	 
10:50	Eric Paschall Turnover.	7-21	 
10:34	 	7-21	Jerrell Wright missed Layup.
10:34	Eric Paschall Defensive Rebound.	7-21	 
10:20	Antwoine Anderson Turnover.	7-21	 
10:19	 	7-21	Khalid Lewis Steal.
10:13	 	7-23	Jordan Price made Layup.
9:52	Mandell Thomas missed Jumper.	7-23	 
9:52	 	7-23	Jordan Price Defensive Rebound.
9:44	 	7-23	Foul on Jordan Price.
9:44	 	7-23	Jordan Price Turnover.
9:32	 	7-23	Foul on Steve Zack.
9:28	Eric Paschall made Jumper.	9-23	 
9:07	 	9-23	Amar Stukes Turnover.
8:49	Eric Paschall made Dunk.	11-23	 
8:24	 	11-23	Cleon Roberts missed Layup.
8:24	Bryan Smith Defensive Rebound.	11-23	 
8:17	Bryan Smith missed Layup.	11-23	 
8:17	Ryan Rhoomes Offensive Rebound.	11-23	 
8:13	Ryan Rhoomes made Layup.	13-23	 
8:09	La Salle  Timeout	La Salle  Timeout	La Salle  Timeout
7:44	 	13-23	Jordan Price Turnover.
7:44	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:21	Bryan Smith missed Three Point Jumper.	13-23	 
7:21	Mandell Thomas Offensive Rebound.	13-23	 
7:16	Mandell Thomas missed Jumper.	13-23	 
7:16	 	13-23	Cleon Roberts Defensive Rebound.
7:09	Foul on Antwoine Anderson.	13-23	 
7:02	 	13-23	Steve Zack missed Jumper.
7:02	Fordham Deadball Team Rebound.	13-23	 
6:24	Fordham  Turnover.	13-23	 
6:06	 	13-23	Jordan Price Turnover.
5:39	 	13-23	Foul on Steve Zack.
5:39	Eric Paschall made Free Throw.	14-23	 
5:39	Eric Paschall made Free Throw.	15-23	 
5:39	Eric Paschall made Free Throw.	16-23	 
5:22	 	16-23	Cleon Roberts Turnover.
5:01	Eric Paschall missed Dunk.	16-23	 
5:01	 	16-23	La Salle Defensive Rebound.
4:38	 	16-25	Jerrell Wright made Jumper.
