time	away	score	home
20:00	Jump Ball won by Vanderbilt	0-0	 
19:48	Wade Baldwin IV missed Layup.	0-0	 
19:48	 	0-0	Kourtney Roberson Defensive Rebound.
19:35	 	0-2	Jalen Jones made Layup. Assisted by Alex Caruso.
19:09	Luke Kornet missed Layup.	0-2	 
19:09	Damian Jones Offensive Rebound.	0-2	 
19:05	Damian Jones missed Layup.	0-2	 
19:05	 	0-2	Kourtney Roberson Defensive Rebound.
18:59	 	0-2	Foul on Alex Caruso.
18:59	 	0-2	Alex Caruso Turnover.
18:36	Damian Jones missed Jumper.	0-2	 
18:36	 	0-2	Alex Caruso Defensive Rebound.
18:23	 	0-2	Kourtney Roberson missed Layup.
18:23	Damian Jones Block.	0-2	 
18:23	 	0-2	Jump Ball won by Texas A&M;
18:23	 	0-2	Kourtney Roberson Offensive Rebound.
18:10	 	0-4	Jordan Green made Dunk.
17:50	Damian Jones Turnover.	0-4	 
17:50	 	0-4	Alex Caruso Steal.
17:43	 	0-4	Jalen Jones missed Jumper.
17:43	Jeff Roberson Defensive Rebound.	0-4	 
17:43	Jeff Roberson Turnover.	0-4	 
17:43	 	0-4	Kourtney Roberson Steal.
17:12	Foul on Wade Baldwin IV.	0-4	 
17:12	 	0-5	Jalen Jones made Free Throw.
17:12	 	0-6	Jalen Jones made Free Throw.
16:52	Damian Jones missed Jumper.	0-6	 
16:52	 	0-6	Alex Caruso Defensive Rebound.
16:46	 	0-9	Peyton Allen made Three Point Jumper. Assisted by Alex Caruso.
16:43	Vanderbilt  Timeout	Vanderbilt  Timeout	Vanderbilt  Timeout
16:16	James Siakam missed Layup.	0-9	 
16:16	Jeff Roberson Offensive Rebound.	0-9	 
16:16	Jeff Roberson missed Two Point Tip Shot.	0-9	 
16:16	 	0-9	Jalen Jones Defensive Rebound.
15:41	 	0-11	Alex Caruso made Layup.
15:24	Jeff Roberson missed Jumper.	0-11	 
15:24	 	0-11	Kourtney Roberson Defensive Rebound.
15:12	Jump Ball won by Vanderbilt	0-11	 
15:12	 	0-11	Jalen Jones Turnover.
15:12	James Siakam Steal.	0-11	 
15:12	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:03	Riley LaChance Turnover.	0-11	 
15:03	 	0-11	Jalen Jones Steal.
14:58	 	0-13	Jordan Green made Dunk. Assisted by Jalen Jones.
14:43	James Siakam made Dunk. Assisted by Matthew Fisher-Davis.	2-13	 
14:15	 	2-13	Jalen Jones missed Jumper.
14:15	Riley LaChance Defensive Rebound.	2-13	 
13:51	Matthew Fisher-Davis made Three Point Jumper. Assisted by Riley LaChance.	5-13	 
13:19	Foul on Shelton Mitchell.	5-13	 
13:09	 	5-13	Tonny Trocha-Morelos missed Jumper.
13:09	James Siakam Defensive Rebound.	5-13	 
12:57	Matthew Fisher-Davis Turnover.	5-13	 
12:34	Foul on James Siakam.	5-13	 
12:34	 	5-13	Tonny Trocha-Morelos missed Free Throw.
12:34	 	5-13	Texas A&M; Deadball Team Rebound.
12:34	 	5-14	Tonny Trocha-Morelos made Free Throw.
12:21	Matthew Fisher-Davis missed Three Point Jumper.	5-14	 
12:21	 	5-14	Alex Caruso Defensive Rebound.
12:14	 	5-16	Tonny Trocha-Morelos made Dunk. Assisted by Alex Caruso.
11:43	 	5-16	Foul on Tonny Trocha-Morelos.
11:43	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:32	Jeff Roberson made Layup. Assisted by James Siakam.	7-16	 
11:25	 	7-16	Danuel House missed Three Point Jumper.
11:25	 	7-16	Alex Caruso Offensive Rebound.
11:18	 	7-18	Kourtney Roberson made Layup. Assisted by Alex Caruso.
10:55	Damian Jones missed Jumper.	7-18	 
10:55	 	7-18	Kourtney Roberson Defensive Rebound.
10:48	 	7-20	Alex Caruso made Dunk. Assisted by Alex Robinson.
10:23	Foul on Damian Jones.	7-20	 
10:23	Damian Jones Turnover.	7-20	 
10:01	 	7-22	Danuel House made Layup.
9:42	Damian Jones missed Layup.	7-22	 
