time	away	score	home
20:00	Jump Ball won by Pittsburgh	0-0	 
19:38	James Robinson missed Jumper.	0-0	 
19:38	Derrick Randall Offensive Rebound.	0-0	 
19:32	Derrick Randall Turnover.	0-0	 
19:32	 	0-0	Hanner Mosquera-Perea Steal.
19:22	 	0-0	Troy Williams missed Jumper.
19:22	Derrick Randall Defensive Rebound.	0-0	 
19:09	Jamel Artis missed Jumper.	0-0	 
19:09	Michael Young Offensive Rebound.	0-0	 
19:05	 	0-0	Foul on Hanner Mosquera-Perea.
19:05	Michael Young made Free Throw.	1-0	 
19:05	Michael Young made Free Throw.	2-0	 
18:52	Foul on Jamel Artis.	2-0	 
18:52	 	2-1	Robert Johnson made Free Throw.
18:52	 	2-2	Robert Johnson made Free Throw.
18:27	 	2-2	Foul on James Blackmon Jr..
18:25	Jamel Artis missed Three Point Jumper.	2-2	 
18:25	Derrick Randall Offensive Rebound.	2-2	 
18:18	Derrick Randall made Layup.	4-2	 
18:16	Foul on James Robinson.	4-2	 
18:08	 	4-2	Foul on Yogi Ferrell.
18:08	 	4-2	Yogi Ferrell Turnover.
17:54	Chris Jones Turnover.	4-2	 
17:54	 	4-2	Troy Williams Steal.
17:48	 	4-2	Troy Williams missed Jumper.
17:48	James Robinson Defensive Rebound.	4-2	 
17:39	Chris Jones missed Jumper.	4-2	 
17:39	 	4-2	Hanner Mosquera-Perea Block.
17:39	Derrick Randall Offensive Rebound.	4-2	 
17:35	Derrick Randall missed Jumper.	4-2	 
17:35	 	4-2	Troy Williams Defensive Rebound.
17:09	 	4-5	Yogi Ferrell made Three Point Jumper.
16:38	Foul on Michael Young.	4-5	 
16:38	Michael Young Turnover.	4-5	 
16:26	Foul on Chris Jones.	4-5	 
16:19	 	4-5	James Blackmon Jr. missed Jumper.
16:19	 	4-5	Hanner Mosquera-Perea Offensive Rebound.
16:12	 	4-7	Hanner Mosquera-Perea made Dunk.
15:52	 	4-7	Foul on Hanner Mosquera-Perea.
15:52	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:52	Chris Jones missed Free Throw.	4-7	 
15:52	Pittsburgh Deadball Team Rebound.	4-7	 
15:52	Chris Jones made Free Throw.	5-7	 
15:41	 	5-9	Troy Williams made Dunk. Assisted by Robert Johnson.
15:19	Chris Jones made Jumper.	7-9	 
15:10	 	7-9	Troy Williams missed Jumper.
15:10	Derrick Randall Defensive Rebound.	7-9	 
14:59	Josh Newkirk missed Jumper.	7-9	 
14:59	 	7-9	Troy Williams Defensive Rebound.
14:54	Foul on Cameron Johnson.	7-9	 
14:30	 	7-11	Robert Johnson made Jumper.
13:53	Cameron Johnson missed Three Point Jumper.	7-11	 
13:53	 	7-11	Emmitt Holt Defensive Rebound.
13:39	 	7-11	Troy Williams Turnover.
13:39	Josh Newkirk Steal.	7-11	 
13:33	Josh Newkirk made Layup.	9-11	 
13:20	 	9-11	Yogi Ferrell Turnover.
13:20	Chris Jones Steal.	9-11	 
13:16	 	9-11	Foul on Robert Johnson.
12:53	Michael Young missed Jumper.	9-11	 
12:53	 	9-11	Emmitt Holt Block.
12:53	 	9-11	James Blackmon Jr. Defensive Rebound.
12:47	 	9-11	James Blackmon Jr. missed Jumper.
12:47	Josh Newkirk Defensive Rebound.	9-11	 
12:40	Chris Jones made Jumper.	11-11	 
12:26	 	11-13	Collin Hartman made Layup.
12:03	Josh Newkirk made Jumper.	13-13	 
11:40	 	13-15	Emmitt Holt made Layup. Assisted by Stanford Robinson.
11:21	Michael Young missed Jumper.	13-15	 
11:21	 	13-15	James Blackmon Jr. Defensive Rebound.
11:12	Foul on Michael Young.	13-15	 
11:12	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:12	 	13-15	James Blackmon Jr. missed Free Throw.
11:12	 	13-15	Indiana Deadball Team Rebound.
11:12	 	13-16	James Blackmon Jr. made Free Throw.
10:57	Ryan Luther missed Three Point Jumper.	13-16	 
10:57	Jamel Artis Offensive Rebound.	13-16	 
10:43	Josh Newkirk missed Jumper.	13-16	 
10:43	Derrick Randall Offensive Rebound.	13-16	 
10:43	 	13-16	Foul on Nick Zeisloft.
10:33	Ryan Luther missed Jumper.	13-16	 
10:33	 	13-16	Nick Zeisloft Defensive Rebound.
10:24	 	13-19	Nick Zeisloft made Three Point Jumper. Assisted by Stanford Robinson.
10:05	Josh Newkirk made Three Point Jumper. Assisted by James Robinson.	16-19	 
9:56	 	16-19	Stanford Robinson missed Jumper.
9:56	Derrick Randall Defensive Rebound.	16-19	 
9:46	Ryan Luther made Jumper. Assisted by Josh Newkirk.	18-19	 
9:27	 	18-22	James Blackmon Jr. made Three Point Jumper.
9:07	James Robinson missed Three Point Jumper.	18-22	 
9:07	 	18-22	Stanford Robinson Defensive Rebound.
8:58	 	18-22	Stanford Robinson missed Jumper.
8:58	James Robinson Defensive Rebound.	18-22	 
8:50	Josh Newkirk made Layup. Assisted by Ryan Luther.	20-22	 
8:38	 	20-22	Nick Zeisloft missed Three Point Jumper.
8:38	 	20-22	Emmitt Holt Offensive Rebound.
8:33	 	20-24	Emmitt Holt made Jumper.
8:33	Foul on Ryan Luther.	20-24	 
8:33	 	20-25	Emmitt Holt made Free Throw.
7:57	James Robinson Turnover.	20-25	 
7:57	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:46	 	20-28	Max Hoetzel made Three Point Jumper. Assisted by Robert Johnson.
7:16	James Robinson missed Jumper.	20-28	 
7:16	 	20-28	Ryan Burton Defensive Rebound.
6:45	 	20-30	Troy Williams made Jumper. Assisted by Yogi Ferrell.
6:42	Pittsburgh  Timeout	Pittsburgh  Timeout	Pittsburgh  Timeout
6:18	Josh Newkirk made Three Point Jumper. Assisted by James Robinson.	23-30	 
6:05	Foul on Derrick Randall.	23-30	 
6:05	 	23-30	Troy Williams missed Free Throw.
6:05	Derrick Randall Defensive Rebound.	23-30	 
5:33	Chris Jones missed Three Point Jumper.	23-30	 
5:33	Derrick Randall Offensive Rebound.	23-30	 
5:27	 	23-30	Foul on Ryan Burton.
5:27	Derrick Randall missed Free Throw.	23-30	 
5:27	 	23-30	Troy Williams Defensive Rebound.
5:20	 	23-32	Troy Williams made Jumper. Assisted by Robert Johnson.
4:51	James Robinson missed Jumper.	23-32	 
4:51	 	23-32	Emmitt Holt Block.
4:51	James Robinson Offensive Rebound.	23-32	 
4:50	James Robinson Turnover.	23-32	 
4:38	Foul on Derrick Randall.	23-32	 
4:38	 	23-33	Emmitt Holt made Free Throw.
4:38	 	23-33	Emmitt Holt missed Free Throw.
4:38	Jamel Artis Defensive Rebound.	23-33	 
4:17	James Robinson missed Jumper.	23-33	 
4:17	James Robinson Offensive Rebound.	23-33	 
3:56	Ryan Luther Turnover.	23-33	 
3:56	 	23-33	Robert Johnson Steal.
3:50	 	23-36	Collin Hartman made Three Point Jumper. Assisted by Robert Johnson.
3:46	Pittsburgh  Timeout	Pittsburgh  Timeout	Pittsburgh  Timeout
3:32	Jamel Artis missed Three Point Jumper.	23-36	 
3:32	Chris Jones Offensive Rebound.	23-36	 
3:24	Chris Jones missed Jumper.	23-36	 
3:24	Ryan Luther Offensive Rebound.	23-36	 
3:23	Ryan Luther missed Jumper.	23-36	 
3:23	Chris Jones made Free Throw.	24-36	 
3:23	Chris Jones Offensive Rebound.	23-36	 
3:23	 	23-36	Foul on Yogi Ferrell.
3:23	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:23	Chris Jones made Free Throw.	25-36	 
3:09	 	25-36	Troy Williams Turnover.
2:57	Chris Jones made Three Point Jumper. Assisted by Josh Newkirk.	28-36	 
2:40	 	28-38	Robert Johnson made Layup.
2:16	Josh Newkirk missed Three Point Jumper.	28-38	 
2:16	 	28-38	Emmitt Holt Defensive Rebound.
2:07	 	28-40	Troy Williams made Layup.
2:00	Chris Jones made Three Point Jumper. Assisted by Josh Newkirk.	31-40	 
1:47	 	31-40	Robert Johnson missed Jumper.
1:47	Ryan Luther Block.	31-40	 
1:47	 	31-40	Troy Williams Offensive Rebound.
1:37	 	31-40	Collin Hartman missed Three Point Jumper.
1:37	 	31-40	Collin Hartman Offensive Rebound.
1:22	 	31-42	Emmitt Holt made Jumper. Assisted by Troy Williams.
1:05	Chris Jones made Three Point Jumper. Assisted by Josh Newkirk.	34-42	 
0:53	 	34-42	James Blackmon Jr. missed Jumper.
0:53	Chris Jones Defensive Rebound.	34-42	 
0:43	Cameron Johnson made Three Point Jumper. Assisted by Josh Newkirk.	37-42	 
0:41	Indiana  Timeout	Indiana  Timeout	Indiana  Timeout
0:29	 	37-44	Emmitt Holt made Jumper. Assisted by Robert Johnson.
0:29	Foul on Sheldon Jeter.	37-44	 
0:29	 	37-45	Emmitt Holt made Free Throw.
0:05	Jamel Artis missed Jumper.	37-45	 
0:05	Pittsburgh Offensive Rebound.	37-45	 
0:00	End of 1st half	End of 1st half	End of 1st half
20:00	 	37-45	Jump Ball won by Indiana
19:44	 	37-47	Hanner Mosquera-Perea made Layup. Assisted by Yogi Ferrell.
19:17	 	37-47	Foul on Troy Williams.
19:17	Michael Young made Free Throw.	38-47	 
19:17	Michael Young made Free Throw.	39-47	 
18:50	 	39-47	Robert Johnson missed Three Point Jumper.
18:50	Chris Jones Defensive Rebound.	39-47	 
18:31	Michael Young missed Jumper.	39-47	 
18:31	Derrick Randall Offensive Rebound.	39-47	 
18:26	Derrick Randall missed Jumper.	39-47	 
18:26	 	39-47	Robert Johnson Defensive Rebound.
18:24	 	39-47	Robert Johnson Turnover.
18:19	Chris Jones missed Three Point Jumper.	39-47	 
18:19	 	39-47	Troy Williams Defensive Rebound.
18:13	 	39-47	James Blackmon Jr. missed Three Point Jumper.
18:13	Chris Jones Defensive Rebound.	39-47	 
17:59	James Robinson missed Jumper.	39-47	 
17:49	Michael Young Offensive Rebound.	39-47	 
17:49	 	39-47	Foul on Yogi Ferrell.
17:46	Michael Young made Jumper. Assisted by James Robinson.	41-47	 
17:46	 	41-47	Foul on Hanner Mosquera-Perea.
17:46	Michael Young missed Free Throw.	41-47	 
17:46	 	41-47	Indiana Deadball Team Rebound.
17:46	Derrick Randall Turnover.	41-47	 
17:46	Foul on Derrick Randall.	41-47	 
17:19	 	41-49	James Blackmon Jr. made Jumper.
16:53	Michael Young missed Jumper.	41-49	 
16:53	Michael Young Offensive Rebound.	41-49	 
16:42	Chris Jones missed Three Point Jumper.	41-49	 
16:42	 	41-49	Robert Johnson Defensive Rebound.
16:32	 	41-52	Nick Zeisloft made Three Point Jumper. Assisted by Robert Johnson.
16:29	Pittsburgh  Timeout	Pittsburgh  Timeout	Pittsburgh  Timeout
16:02	Ryan Luther made Jumper. Assisted by James Robinson.	43-52	 
15:30	 	43-54	Hanner Mosquera-Perea made Dunk. Assisted by Collin Hartman.
15:13	Josh Newkirk missed Three Point Jumper.	43-54	 
15:13	 	43-54	Collin Hartman Defensive Rebound.
15:02	 	43-54	Nick Zeisloft missed Three Point Jumper.
15:02	 	43-54	James Blackmon Jr. Offensive Rebound.
15:02	 	43-54	James Blackmon Jr. missed Three Point Jumper.
15:02	 	43-54	Collin Hartman Offensive Rebound.
14:54	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:26	 	43-56	Hanner Mosquera-Perea made Jumper. Assisted by Robert Johnson.
13:58	James Robinson missed Jumper.	43-56	 
13:58	Pittsburgh Offensive Rebound.	43-56	 
13:43	Jamel Artis missed Jumper.	43-56	 
13:43	 	43-56	Nick Zeisloft Defensive Rebound.
13:29	 	43-56	James Blackmon Jr. missed Jumper.
13:29	 	43-56	James Blackmon Jr. Offensive Rebound.
13:23	 	43-58	James Blackmon Jr. made Jumper.
13:18	Josh Newkirk made Dunk.	45-58	 
12:45	 	45-58	Hanner Mosquera-Perea missed Jumper.
12:45	Cameron Johnson Defensive Rebound.	45-58	 
12:42	 	45-58	Foul on Collin Hartman.
12:33	Chris Jones missed Jumper.	45-58	 
12:33	 	45-58	Emmitt Holt Defensive Rebound.
12:16	 	45-58	James Blackmon Jr. missed Three Point Jumper.
12:16	 	45-58	Collin Hartman Offensive Rebound.
