time	away	score	home
19:37	 	0-3	Deontae Hawkins made Three Point Jumper. Assisted by DeVaughn Akoon-Purcell.
19:06	Treveon Graham missed Jumper.	0-3	 
19:06	 	0-3	Deontae Hawkins Defensive Rebound.
18:52	 	0-3	Reggie Lynch missed Jumper.
18:52	Jordan Burgess Defensive Rebound.	0-3	 
18:39	Melvin Johnson missed Three Point Jumper.	0-3	 
18:39	Treveon Graham Offensive Rebound.	0-3	 
18:23	Mo Alie-Cox missed Layup.	0-3	 
18:23	 	0-3	Reggie Lynch Block.
18:22	 	0-3	Daishon Knight Defensive Rebound.
18:18	 	0-6	DeVaughn Akoon-Purcell made Three Point Jumper. Assisted by Daishon Knight.
18:00	 	0-6	Foul on Reggie Lynch.
18:00	Mo Alie-Cox missed Free Throw.	0-6	 
18:00	VCU Deadball Team Rebound.	0-6	 
18:00	Mo Alie-Cox made Free Throw.	1-6	 
17:50	 	1-6	DeVaughn Akoon-Purcell missed Three Point Jumper.
17:50	 	1-6	Deontae Hawkins Offensive Rebound.
17:43	 	1-9	Paris Lee made Three Point Jumper. Assisted by DeVaughn Akoon-Purcell.
17:22	Treveon Graham missed Jumper.	1-9	 
17:22	 	1-9	Daishon Knight Defensive Rebound.
17:13	 	1-11	Daishon Knight made Jumper.
17:12	VCU  Timeout	VCU  Timeout	VCU  Timeout
16:52	JeQuan Lewis missed Jumper.	1-11	 
16:52	 	1-11	Deontae Hawkins Block.
16:51	VCU Offensive Rebound.	1-11	 
16:39	JeQuan Lewis Turnover.	1-11	 
16:38	 	1-11	Paris Lee Steal.
16:30	 	1-11	Tony Wills Turnover.
16:20	Treveon Graham made Jumper.	3-11	 
15:58	 	3-14	Paris Lee made Three Point Jumper. Assisted by Daishon Knight.
15:41	JeQuan Lewis made Three Point Jumper.	6-14	 
15:02	 	6-16	Paris Lee made Layup.
14:43	Treveon Graham missed Three Point Jumper.	6-16	 
14:43	 	6-16	MiKyle McIntosh Defensive Rebound.
14:20	 	6-16	Paris Lee missed Jumper.
14:20	Justin Tillman Block.	6-16	 
14:20	 	6-16	Illinois St Offensive Rebound.
14:20	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:06	 	6-16	DeVaughn Akoon-Purcell missed Layup.
14:06	Mo Alie-Cox Block.	6-16	 
14:04	VCU Defensive Rebound.	6-16	 
13:47	Doug Brooks made Jumper.	8-16	 
13:47	Foul on Doug Brooks.	8-16	 
13:37	Foul on Jonathan Williams.	8-16	 
13:25	 	8-18	MiKyle McIntosh made Layup. Assisted by DeVaughn Akoon-Purcell.
13:11	Doug Brooks missed Jumper.	8-18	 
13:11	Mo Alie-Cox Offensive Rebound.	8-18	 
13:07	 	8-18	Foul on Will Ransom.
13:06	Mo Alie-Cox Turnover.	8-18	 
13:02	 	8-18	Daishon Knight Steal.
13:01	 	8-20	DeVaughn Akoon-Purcell made Layup.
12:45	Jonathan Williams missed Layup.	8-20	 
12:45	Mo Alie-Cox Offensive Rebound.	8-20	 
12:42	Mo Alie-Cox missed Two Point Tip Shot.	8-20	 
12:42	 	8-20	Illinois St Defensive Rebound.
12:34	 	8-20	Deontae Hawkins missed Three Point Jumper.
12:34	Treveon Graham Defensive Rebound.	8-20	 
12:14	Melvin Johnson missed Jumper.	8-20	 
12:14	 	8-20	Reggie Lynch Block.
12:13	Melvin Johnson Offensive Rebound.	8-20	 
12:08	Jordan Burgess made Three Point Jumper. Assisted by Melvin Johnson.	11-20	 
11:36	 	11-20	Daishon Knight missed Jumper.
11:36	Jordan Burgess Defensive Rebound.	11-20	 
11:17	Jordan Burgess missed Three Point Jumper.	11-20	 
11:17	 	11-20	Illinois St Defensive Rebound.
11:11	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:47	Foul on Justin Tillman.	11-20	 
10:47	 	11-21	DeVaughn Akoon-Purcell made Free Throw.
10:47	 	11-22	DeVaughn Akoon-Purcell made Free Throw.
10:28	Justin Tillman missed Dunk.	11-22	 
10:28	 	11-22	Deontae Hawkins Block.
10:27	Melvin Johnson Offensive Rebound.	11-22	 
10:24	Melvin Johnson made Three Point Jumper.	14-22	 
10:04	 	14-25	DeVaughn Akoon-Purcell made Three Point Jumper. Assisted by Paris Lee.
9:30	Justin Tillman made Layup. Assisted by Treveon Graham.	16-25	 
9:18	 	16-25	Paris Lee Turnover.
9:17	Jordan Burgess Steal.	16-25	 
9:16	Melvin Johnson made Three Point Jumper. Assisted by Jordan Burgess.	19-25	 
9:08	Foul on Treveon Graham.	19-25	 
8:49	 	19-27	Reggie Lynch made Layup. Assisted by Paris Lee.
8:32	JeQuan Lewis missed Jumper.	19-27	 
8:32	 	19-27	Deontae Hawkins Defensive Rebound.
8:13	 	19-27	Tony Wills missed Jumper.
8:13	VCU Defensive Rebound.	19-27	 
8:02	Mo Alie-Cox Turnover.	19-27	 
8:00	 	19-27	Paris Lee Steal.
7:40	 	19-27	MiKyle McIntosh missed Layup.
