time	away	score	home
20:00	Jump Ball won by West Virginia	0-0	 
19:42	Devin Williams missed Jumper.	0-0	 
19:42	 	0-0	Iowa State Defensive Rebound.
19:27	Foul on Jonathan Holton.	0-0	 
19:19	 	0-0	Georges Niang missed Jumper.
19:19	Devin Williams Defensive Rebound.	0-0	 
18:51	Jonathan Holton Turnover.	0-0	 
18:46	 	0-2	Dustin Hogue made Layup. Assisted by Naz Long.
18:27	 	0-2	Foul on Jameel McKay.
18:08	Jonathan Holton Turnover.	0-2	 
18:08	 	0-2	Jameel McKay Steal.
17:53	 	0-2	Naz Long Turnover.
17:28	Nathan Adrian made Layup. Assisted by Juwan Staten.	2-2	 
16:57	Foul on Nathan Adrian.	2-2	 
16:57	 	2-3	Jameel McKay made Free Throw.
16:57	 	2-4	Jameel McKay made Free Throw.
16:41	Juwan Staten Turnover.	2-4	 
16:30	Foul on Gary Browne.	2-4	 
16:27	 	2-4	Naz Long missed Three Point Jumper.
16:27	Devin Williams Defensive Rebound.	2-4	 
16:16	Devin Williams Turnover.	2-4	 
16:08	 	2-7	Monte Morris made Three Point Jumper. Assisted by Dustin Hogue.
16:01	West Virginia  Timeout	West Virginia  Timeout	West Virginia  Timeout
15:51	Devin Williams missed Jumper.	2-7	 
15:51	 	2-7	Bryce Dejean-Jones Defensive Rebound.
15:41	 	2-7	Dustin Hogue Turnover.
15:41	Jevon Carter Steal.	2-7	 
15:36	Jevon Carter made Layup.	4-7	 
15:21	 	4-7	Monte Morris Turnover.
15:21	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:01	Elijah Macon Turnover.	4-7	 
14:55	Foul on Jevon Carter.	4-7	 
14:47	 	4-7	Georges Niang Turnover.
14:47	Juwan Staten Steal.	4-7	 
14:42	Elijah Macon made Layup. Assisted by Juwan Staten.	6-7	 
14:33	 	6-7	Monte Morris missed Layup.
14:33	Nathan Adrian Defensive Rebound.	6-7	 
14:31	 	6-7	Foul on Dustin Hogue.
14:06	 	6-7	Foul on Abdel Nader.
13:43	Elijah Macon Turnover.	6-7	 
13:43	 	6-7	Monte Morris Steal.
13:39	 	6-9	Monte Morris made Layup.
13:16	Elijah Macon missed Jumper.	6-9	 
13:16	 	6-9	Monte Morris Defensive Rebound.
13:08	 	6-11	Bryce Dejean-Jones made Layup. Assisted by Monte Morris.
12:47	Juwan Staten missed Jumper.	6-11	 
12:47	 	6-11	Georges Niang Defensive Rebound.
12:38	 	6-11	Matt Thomas missed Three Point Jumper.
12:38	Nathan Adrian Defensive Rebound.	6-11	 
12:22	Elijah Macon Turnover.	6-11	 
12:18	 	6-13	Bryce Dejean-Jones made Layup.
12:18	Foul on Jaysean Paige.	6-13	 
12:18	 	6-13	Bryce Dejean-Jones missed Free Throw.
12:18	Devin Williams Defensive Rebound.	6-13	 
12:01	Tarik Phillip missed Layup.	6-13	 
12:01	 	6-13	Jameel McKay Block.
12:01	 	6-13	Jameel McKay Defensive Rebound.
11:58	 	6-13	Jameel McKay Turnover.
11:58	Jaysean Paige Steal.	6-13	 
11:54	Jaysean Paige made Dunk.	8-13	 
11:42	 	8-13	Matt Thomas Turnover.
11:42	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:20	 	8-13	Foul on Bryce Dejean-Jones.
11:20	Tarik Phillip Turnover.	8-13	 
