time	away	score	home
19:28	 	0-0	Deion Taylor missed Three Point Jumper.
19:28	 	0-0	Trey Davis Offensive Rebound.
19:11	 	0-2	Terry Allen made Layup.
18:51	Marcellus Barksdale missed Jumper.	0-2	 
18:51	 	0-2	Terry Allen Defensive Rebound.
18:40	 	0-4	T.J. Cline made Layup. Assisted by Deion Taylor.
18:24	Justus Stanback made Jumper. Assisted by Mason Archie II.	2-4	 
17:59	 	2-4	T.J. Cline missed Jumper.
17:59	IUPUI Defensive Rebound.	2-4	 
17:45	Mason Archie II missed Jumper.	2-4	 
17:45	 	2-4	Deion Taylor Defensive Rebound.
17:29	Foul on Justus Stanback.	2-4	 
17:29	 	2-4	Trey Davis missed Free Throw.
17:29	 	2-4	Richmond Deadball Team Rebound.
17:29	 	2-5	Trey Davis made Free Throw.
17:21	 	2-5	Foul on Kendall Anthony.
16:59	Aaron Brennan missed Jumper.	2-5	 
16:59	 	2-5	Trey Davis Defensive Rebound.
16:52	 	2-5	Trey Davis missed Jumper.
16:52	Mason Archie II Defensive Rebound.	2-5	 
16:27	Aaron Brennan missed Layup.	2-5	 
16:27	Aaron Brennan Offensive Rebound.	2-5	 
16:26	Aaron Brennan made Layup.	4-5	 
16:06	Foul on Marcellus Barksdale.	4-5	 
16:04	 	4-5	Terry Allen missed Jumper.
16:04	Josh James Block.	4-5	 
16:01	Josh James Defensive Rebound.	4-5	 
15:32	Aaron Brennan missed Jumper.	4-5	 
15:32	 	4-5	Alonzo Nelson-Ododa Defensive Rebound.
15:03	 	4-7	Terry Allen made Jumper.
14:41	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:17	Mason Archie II missed Jumper.	4-7	 
14:17	Josh James Offensive Rebound.	4-7	 
14:13	Josh James made Layup.	6-7	 
13:47	 	6-7	Alonzo Nelson-Ododa missed Three Point Jumper.
13:47	 	6-7	Terry Allen Offensive Rebound.
13:36	 	6-7	ShawnDre' Jones missed Layup.
13:36	 	6-7	Trey Davis Offensive Rebound.
13:30	 	6-10	ShawnDre' Jones made Three Point Jumper. Assisted by Terry Allen.
13:14	 	6-10	Foul on Alonzo Nelson-Ododa.
12:59	DavRon Williams Turnover.	6-10	 
12:59	 	6-10	Alonzo Nelson-Ododa Steal.
12:36	 	6-10	Alonzo Nelson-Ododa missed Jumper.
12:36	Josh James Block.	6-10	 
12:35	 	6-10	Foul on Deion Taylor.
12:35	Josh James Defensive Rebound.	6-10	 
12:12	Leo Svete made Three Point Jumper. Assisted by Josh James.	9-10	 
12:04	Foul on Marcellus Barksdale.	9-10	 
11:47	 	9-10	T.J. Cline missed Three Point Jumper.
11:47	Josh James Defensive Rebound.	9-10	 
11:38	P.J. Boutte missed Jumper.	9-10	 
11:38	 	9-10	Deion Taylor Defensive Rebound.
11:37	Foul on Josh James.	9-10	 
11:37	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:13	 	9-13	Kendall Anthony made Three Point Jumper. Assisted by Deion Taylor.
10:42	DavRon Williams missed Jumper.	9-13	 
10:42	 	9-13	Deion Taylor Block.
10:42	DavRon Williams Offensive Rebound.	9-13	 
10:39	Leo Svete made Three Point Jumper. Assisted by P.J. Boutte.	12-13	 
10:19	Foul on Josh James.	12-13	 
10:07	 	12-13	Kendall Anthony missed Three Point Jumper.
10:07	Khufu Najee Defensive Rebound.	12-13	 
9:36	Aaron Brennan missed Jumper.	12-13	 
9:36	P.J. Boutte Offensive Rebound.	12-13	 
9:23	DavRon Williams Turnover.	12-13	 
9:23	Foul on DavRon Williams.	12-13	 
8:51	 	12-16	Kendall Anthony made Three Point Jumper. Assisted by Terry Allen.
8:29	IUPUI  Timeout	IUPUI  Timeout	IUPUI  Timeout
8:16	Khufu Najee Turnover.	12-16	 
8:16	 	12-16	Kadeem Smithen Steal.
7:41	 	12-19	Kendall Anthony made Three Point Jumper. Assisted by Terry Allen.
7:18	DavRon Williams Turnover.	12-19	 
7:18	Foul on DavRon Williams.	12-19	 
7:18	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:06	 	12-19	Terry Allen missed Layup.
7:06	Aaron Brennan Defensive Rebound.	12-19	 
7:00	P.J. Boutte missed Jumper.	12-19	 
7:00	 	12-19	Alonzo Nelson-Ododa Defensive Rebound.
6:42	 	12-21	Terry Allen made Jumper.
6:20	Leo Svete missed Three Point Jumper.	12-21	 
6:20	 	12-21	Kadeem Smithen Defensive Rebound.
5:48	 	12-24	Kadeem Smithen made Three Point Jumper. Assisted by Terry Allen.
5:46	IUPUI  Timeout	IUPUI  Timeout	IUPUI  Timeout
5:22	Elijah Ray missed Jumper.	12-24	 
5:22	 	12-24	Kadeem Smithen Defensive Rebound.
5:16	 	12-26	Deion Taylor made Layup.
5:05	 	12-26	Foul on Kadeem Smithen.
4:59	Mason Archie II made Three Point Jumper. Assisted by P.J. Boutte.	15-26	 
4:31	 	15-29	ShawnDre' Jones made Three Point Jumper. Assisted by Trey Davis.
4:14	Elijah Ray made Jumper. Assisted by Khufu Najee.	17-29	 
4:03	 	17-29	ShawnDre' Jones Turnover.
3:47	Khufu Najee missed Jumper.	17-29	 
3:47	 	17-29	ShawnDre' Jones Defensive Rebound.
3:37	 	17-29	Deion Taylor Turnover.
3:37	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:14	Khufu Najee missed Jumper.	17-29	 
3:14	Elijah Ray Offensive Rebound.	17-29	 
3:11	 	17-29	Foul on Trey Davis.
3:11	Elijah Ray made Free Throw.	18-29	 
3:11	Elijah Ray missed Free Throw.	18-29	 
3:11	 	18-29	Trey Davis Defensive Rebound.
2:41	 	18-29	T.J. Cline missed Jumper.
2:41	Elijah Ray Defensive Rebound.	18-29	 
2:22	Elijah Ray made Layup. Assisted by Justus Stanback.	20-29	 
2:22	 	20-29	Foul on Kadeem Smithen.
2:22	Elijah Ray missed Free Throw.	20-29	 
2:22	 	20-29	Trey Davis Defensive Rebound.
1:47	 	20-29	Terry Allen Turnover.
1:19	Mason Archie II Turnover.	20-29	 
1:19	 	20-29	T.J. Cline Steal.
1:19	Richmond  Timeout	Richmond  Timeout	Richmond  Timeout
0:47	 	20-29	ShawnDre' Jones missed Layup.
0:47	Khufu Najee Defensive Rebound.	20-29	 
0:40	Elijah Ray made Layup. Assisted by Justus Stanback.	22-29	 
0:16	 	22-29	Kendall Anthony missed Jumper.
0:16	 	22-29	Deion Taylor Offensive Rebound.
0:11	 	22-29	Deion Taylor missed Jumper.
0:11	Justus Stanback Defensive Rebound.	22-29	 
0:01	Elijah Ray missed Three Point Jumper.	22-29	 
0:01	 	22-29	Deion Taylor Defensive Rebound.
0:00	End of 1st half	End of 1st half	End of 1st half
19:48	 	22-29	Kendall Anthony missed Three Point Jumper.
19:48	Mason Archie II Defensive Rebound.	22-29	 
19:26	Justus Stanback made Jumper. Assisted by D.J. McCall.	24-29	 
19:01	 	24-29	T.J. Cline missed Jumper.
19:01	D.J. McCall Defensive Rebound.	24-29	 
18:50	Aaron Brennan Turnover.	24-29	 
18:50	 	24-29	Deion Taylor Steal.
18:45	Foul on Aaron Brennan.	24-29	 
18:44	Foul on Justus Stanback.	24-29	 
18:41	 	24-29	Deion Taylor Turnover.
18:41	 	24-29	Foul on Deion Taylor.
18:15	Aaron Brennan Turnover.	24-29	 
18:14	 	24-29	T.J. Cline Steal.
18:10	 	24-29	Kendall Anthony Turnover.
18:08	Mason Archie II Steal.	24-29	 
18:05	Justus Stanback made Layup. Assisted by Aaron Brennan.	26-29	 
17:52	 	26-32	Kendall Anthony made Three Point Jumper. Assisted by Deion Taylor.
17:17	Mason Archie II missed Three Point Jumper.	26-32	 
17:17	 	26-32	Deion Taylor Defensive Rebound.
16:57	 	26-32	Terry Allen missed Jumper.
16:57	Justus Stanback Defensive Rebound.	26-32	 
16:34	Marcellus Barksdale missed Three Point Jumper.	26-32	 
16:34	 	26-32	Terry Allen Defensive Rebound.
16:20	 	26-32	Terry Allen Turnover.
16:01	DavRon Williams made Layup. Assisted by Aaron Brennan.	28-32	 
15:47	 	28-32	Terry Allen missed Jumper.
15:47	Mason Archie II Defensive Rebound.	28-32	 
15:45	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:32	P.J. Boutte missed Jumper.	28-32	 
15:32	 	28-32	Alonzo Nelson-Ododa Defensive Rebound.
15:05	 	28-32	Josh Jones missed Three Point Jumper.
15:05	Mason Archie II Defensive Rebound.	28-32	 
14:56	Mason Archie II made Jumper.	30-32	 
14:32	 	30-32	Alonzo Nelson-Ododa missed Jumper.
14:32	P.J. Boutte Defensive Rebound.	30-32	 
14:22	DavRon Williams made Jumper. Assisted by P.J. Boutte.	32-32	 
13:51	 	32-32	Deion Taylor Turnover.
13:30	Elijah Ray made Layup. Assisted by P.J. Boutte.	34-32	 
13:09	 	34-32	T.J. Cline Turnover.
13:09	Richmond  Timeout	Richmond  Timeout	Richmond  Timeout
12:47	Elijah Ray missed Jumper.	34-32	 
12:47	DavRon Williams Offensive Rebound.	34-32	 
12:45	DavRon Williams Turnover.	34-32	 
12:27	 	34-32	T.J. Cline missed Jumper.
12:27	 	34-32	Terry Allen Offensive Rebound.
12:24	 	34-32	Terry Allen missed Jumper.
12:18	DavRon Williams Block.	34-32	 
12:18	DavRon Williams Defensive Rebound.	34-32	 
11:59	Elijah Ray made Layup. Assisted by P.J. Boutte.	36-32	 
11:47	 	36-35	Kendall Anthony made Three Point Jumper. Assisted by Deion Taylor.
11:15	Mason Archie II made Three Point Jumper.	39-35	 
10:58	 	39-37	Kendall Anthony made Layup.
10:21	DavRon Williams missed Jumper.	39-37	 
10:21	 	39-37	Deion Taylor Defensive Rebound.
10:13	Foul on DavRon Williams.	39-37	 
10:13	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:11	Foul on Josh James.	39-37	 
10:11	 	39-37	T.J. Cline missed Free Throw.
10:11	 	39-37	Richmond Deadball Team Rebound.
10:11	 	39-37	T.J. Cline missed Free Throw.
10:11	Elijah Ray Defensive Rebound.	39-37	 
9:46	P.J. Boutte Turnover.	39-37	 
9:46	Foul on P.J. Boutte.	39-37	 
9:26	 	39-40	ShawnDre' Jones made Three Point Jumper. Assisted by Terry Allen.
8:48	Mason Archie II missed Three Point Jumper.	39-40	 
8:48	Khufu Najee Offensive Rebound.	39-40	 
8:30	 	39-40	Foul on T.J. Cline.
8:30	Khufu Najee made Free Throw.	40-40	 
8:30	Khufu Najee made Free Throw.	41-40	 
8:13	 	41-40	Trey Davis missed Three Point Jumper.
8:13	 	41-40	Alonzo Nelson-Ododa Offensive Rebound.
8:09	Foul on Josh James.	41-40	 
8:00	 	41-42	ShawnDre' Jones made Layup.
7:31	Mason Archie II made Jumper.	43-42	 
6:55	 	43-44	T.J. Cline made Layup. Assisted by ShawnDre' Jones.
6:33	Josh James missed Layup.	43-44	 
6:33	 	43-44	Alonzo Nelson-Ododa Block.
6:31	IUPUI Offensive Rebound.	43-44	 
6:31	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
6:31	Mason Archie II missed Three Point Jumper.	43-44	 
6:31	 	43-44	Kendall Anthony Defensive Rebound.
6:05	 	43-44	ShawnDre' Jones missed Three Point Jumper.
6:05	 	43-44	Richmond Offensive Rebound.
5:43	 	43-44	Kendall Anthony missed Jumper.
5:43	Mason Archie II Defensive Rebound.	43-44	 
5:36	 	43-44	Foul on ShawnDre' Jones.
5:36	Mason Archie II made Free Throw.	44-44	 
5:36	Mason Archie II made Free Throw.	45-44	 
5:06	 	45-46	Trey Davis made Jumper.
4:31	Marcellus Barksdale Turnover.	45-46	 
4:29	 	45-46	Alonzo Nelson-Ododa Steal.
4:00	 	45-48	T.J. Cline made Layup. Assisted by ShawnDre' Jones.
3:59	Richmond  Timeout	Richmond  Timeout	Richmond  Timeout
3:31	 	45-48	Foul on Deion Taylor.
3:31	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:26	 	45-48	Foul on Terry Allen.
3:22	Khufu Najee made Jumper.	47-48	 
3:19	IUPUI  Timeout	IUPUI  Timeout	IUPUI  Timeout
2:46	 	47-51	Alonzo Nelson-Ododa made Three Point Jumper. Assisted by Kendall Anthony.
2:13	Khufu Najee missed Jumper.	47-51	 
2:13	Aaron Brennan Offensive Rebound.	47-51	 
2:01	Khufu Najee made Jumper.	49-51	 
1:27	Foul on Khufu Najee.	49-51	 
1:27	 	49-52	Kendall Anthony made Free Throw.
1:27	 	49-53	Kendall Anthony made Free Throw.
1:18	Leo Svete missed Three Point Jumper.	49-53	 
1:18	IUPUI Offensive Rebound.	49-53	 
1:07	Khufu Najee made Jumper.	51-53	 
0:35	 	51-55	Alonzo Nelson-Ododa made Jumper. Assisted by Deion Taylor.
0:35	Richmond  Timeout	Richmond  Timeout	Richmond  Timeout
0:24	Marcellus Barksdale made Layup.	53-55	 
0:24	IUPUI  Timeout	IUPUI  Timeout	IUPUI  Timeout
0:20	Foul on Khufu Najee.	53-55	 
0:20	 	53-55	Kendall Anthony missed Free Throw.
0:20	DavRon Williams Defensive Rebound.	53-55	 
0:05	Mason Archie II missed Jumper.	53-55	 
0:05	 	53-55	Trey Davis Defensive Rebound.
0:03	Foul on Leo Svete.	53-55	 
0:03	 	53-56	Trey Davis made Free Throw.
0:03	 	53-57	Trey Davis made Free Throw.
0:00	End of Game	End of Game	End of Game
