Date	GameID	HomeTeam	HomeRank	HomeRecord	AwayTeam	AwayRank	AwayRecord
2015-03-20	400785442	Oklahoma	(3)	(23-10, 12-6 Big 12)	Albany	(14)	(24-9, 15-1 Am. East)
2015-03-20	400785455	Wisconsin	(1)	(32-3, 16-2 Big Ten)	Coast Carolina	(16)	(24-10, 12-6 Big South)
2015-03-20	400785443	San Diego State	(8)	(27-8, 14-4 MW)	St John's	(9)	(21-12, 10-8 Big East)
2015-03-20	400785353	Gonzaga	(2)	(33-2, 17-1 WCC)	North Dakota St	(15)	(23-10, 12-4 Summit)
2015-03-20	400785350	Providence	(6)	(22-12, 11-7 Big East)	Dayton	(11)	(27-8, 13-5 A 10)
2015-03-21	400786183	UCLA	(11)	(22-13, 11-7 Pac-12)	UAB	(14)	(20-16, 12-6 C-USA)
2015-03-21	400786203	Kentucky	(1)	(36-0, 18-0 SEC)	Cincinnati	(8)	(23-11, 13-5 American)
2015-03-21	400786186	Arizona	(2)	(33-3, 16-2 Pac-12)	OSU	(10)	(24-11, 11-7 Big Ten)
2015-03-21	400786184	Xavier	(6)	(23-13, 9-9 Big East)	Georgia State	(14)	(25-10, 15-5 Sun Belt)
2015-03-21	400786221	Villanova	(1)	(33-3, 16-2 Big East)	NC State	(8)	(22-13, 10-8 ACC)
2015-03-21	400786206	Georgetown	(4)	(22-11, 12-6 Big East)	Utah	(5)	(26-8, 13-5 Pac-12)
2015-03-21	400786202	UNC	(4)	(26-11, 11-7 ACC)	Arkansas	(5)	(27-9, 13-5 SEC)
2015-03-21	400786182	Notre Dame	(3)	(31-5, 14-4 ACC)	Butler	(6)	(23-11, 12-6 Big East)
2015-03-22	400786305	UVA	(2)	(30-4, 16-2 ACC)	Michigan State	(7)	(25-11, 12-6 Big Ten)
2015-03-22	400786330	Duke	(1)	(31-4, 15-3 ACC)	San Diego State	(8)	(27-9, 14-4 MW)
2015-03-22	400786304	Kansas	(2)	(27-9, 13-5 Big 12)	Wichita State	(7)	(30-4, 17-1 MVC)
2015-03-22	400786333	Oklahoma	(3)	(24-10, 12-6 Big 12)	Dayton	(11)	(27-9, 13-5 A 10)
2015-03-22	400786332	Gonzaga	(2)	(34-2, 17-1 WCC)	Iowa	(7)	(22-12, 12-6 Big Ten)
2015-03-22	400786326	Wisconsin	(1)	(33-3, 16-2 Big Ten)	Oregon	(8)	(26-10, 13-5 Pac-12)
2015-03-22	400786307	Maryland	(4)	(28-7, 14-4 Big Ten)	West Virginia	(5)	(25-9, 11-7 Big 12)
2015-03-22	400786306	Louisville	(4)	(26-8, 12-6 ACC)	Northern Iowa	(5)	(31-4, 16-2 MVC)
2015-03-26	400786505	Notre Dame	(3)	(32-5, 14-4 ACC)	Wichita State	(7)	(30-5, 17-1 MVC)
2015-03-26	400786512	Wisconsin	(1)	(34-3, 16-2 Big Ten)	UNC	(4)	(26-12, 11-7 ACC)
2015-03-26	400786514	Kentucky	(1)	(37-0, 18-0 SEC)	West Virginia	(5)	(25-10, 11-7 Big 12)
2015-03-26	400786370	Arizona	(2)	(34-3, 16-2 Pac-12)	Xavier	(6)	(23-14, 9-9 Big East)
2015-03-27	400786510	Gonzaga	(2)	(35-2, 17-1 WCC)	UCLA	(11)	(22-14, 11-7 Pac-12)
2015-03-27	400786516	Louisville	(4)	(27-8, 12-6 ACC)	NC State	(8)	(22-14, 10-8 ACC)
2015-03-27	400786476	Duke	(1)	(32-4, 15-3 ACC)	Utah	(5)	(26-9, 13-5 Pac-12)
2015-03-27	400786506	Oklahoma	(3)	(24-11, 12-6 Big 12)	Michigan State	(7)	(26-11, 12-6 Big Ten)
2015-03-28	400787578	Wisconsin	(1)	(35-3, 16-2 Big Ten)	Arizona	(2)	(34-4, 16-2 Pac-12)
2015-03-28	400787576	Kentucky	(1)	(38-0, 18-0 SEC)	Notre Dame	(3)	(32-6, 14-4 ACC)
2015-03-29	400787680	Louisville	(4)	(27-9, 12-6 ACC)	Michigan State	(7)	(27-11, 12-6 Big Ten)
2015-03-29	400787701	Duke	(1)	(33-4, 15-3 ACC)	Gonzaga	(2)	(35-3, 17-1 WCC)
2015-04-04	400787887	Duke	(1)	(34-4, 15-3 ACC)	Michigan State	(7)	(27-12, 12-6 Big Ten)
2015-04-04	400787769	Kentucky	(1)	(38-1, 18-0 SEC)	Wisconsin	(1)	(36-3, 16-2 Big Ten)
