time	away	score	home
4:26	Terry Rozier Defensive Rebound.	28-22	 
4:18	Terry Rozier missed Layup.	28-22	 
4:18	 	28-22	Rakeem Christmas Block.
4:18	 	28-22	Michael Gbinije Defensive Rebound.
4:09	 	28-24	Tyler Roberson made Layup. Assisted by Michael Gbinije.
3:46	Anton Gill Turnover.	28-24	 
3:46	 	28-24	Trevor Cooney Steal.
3:41	 	28-24	Kaleb Joseph missed Layup.
3:41	Anton Gill Block.	28-24	 
3:41	Chinanu Onuaku Defensive Rebound.	28-24	 
3:35	Montrezl Harrell missed Layup.	28-24	 
3:35	 	28-24	Rakeem Christmas Block.
3:35	 	28-24	Rakeem Christmas Defensive Rebound.
3:13	Foul on Anton Gill.	28-24	 
3:13	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
2:49	 	28-26	Rakeem Christmas made Jumper. Assisted by Trevor Cooney.
2:33	Terry Rozier missed Jumper.	28-26	 
2:33	 	28-26	Trevor Cooney Defensive Rebound.
2:12	 	28-26	Rakeem Christmas Turnover.
2:12	Montrezl Harrell Steal.	28-26	 
1:45	Montrezl Harrell made Layup.	30-26	 
1:21	 	30-26	Rakeem Christmas Turnover.
1:21	Montrezl Harrell Steal.	30-26	 
1:21	Jump Ball won by Louisville	30-26	 
0:52	Terry Rozier made Jumper. Assisted by Quentin Snider.	32-26	 
0:26	 	32-28	Michael Gbinije made Layup.
0:01	Terry Rozier missed Jumper.	32-28	 
0:01	 	32-28	Tyler Roberson Block.
0:01	 	32-28	Syracuse Defensive Rebound.
0:00	End of 1st half	End of 1st half	End of 1st half
20:00	 	32-28	Jump Ball won by Syracuse
19:42	Foul on Montrezl Harrell.	32-28	 
19:31	 	32-28	Michael Gbinije missed Jumper.
19:31	 	32-28	Michael Gbinije Offensive Rebound.
19:25	 	32-28	Trevor Cooney missed Three Point Jumper.
19:25	Chinanu Onuaku Defensive Rebound.	32-28	 
19:00	Montrezl Harrell made Layup.	34-28	 
19:00	 	34-28	Foul on Tyler Roberson.
19:00	Montrezl Harrell made Free Throw.	35-28	 
18:33	 	35-30	Tyler Roberson made Jumper. Assisted by Trevor Cooney.
18:01	Terry Rozier missed Three Point Jumper.	35-30	 
18:01	Chinanu Onuaku Offensive Rebound.	35-30	 
17:41	Chinanu Onuaku missed Jumper.	35-30	 
17:41	 	35-30	Tyler Roberson Defensive Rebound.
17:24	 	35-32	Rakeem Christmas made Dunk. Assisted by Tyler Roberson.
17:00	Wayne Blackshear missed Jumper.	35-32	 
16:58	Montrezl Harrell Offensive Rebound.	35-32	 
16:56	 	35-32	Foul on Tyler Roberson.
16:56	Montrezl Harrell missed Free Throw.	35-32	 
16:56	Louisville Deadball Team Rebound.	35-32	 
16:56	Montrezl Harrell missed Free Throw.	35-32	 
16:56	 	35-32	Rakeem Christmas Defensive Rebound.
16:44	Foul on Wayne Blackshear.	35-32	 
16:44	 	35-33	Tyler Roberson made Free Throw.
16:44	 	35-33	Tyler Roberson missed Free Throw.
16:44	Montrezl Harrell Defensive Rebound.	35-33	 
16:29	Anas Mahmoud made Jumper.	37-33	 
16:05	 	37-36	Michael Gbinije made Three Point Jumper. Assisted by Tyler Roberson.
15:37	Terry Rozier made Three Point Jumper. Assisted by Montrezl Harrell.	40-36	 
15:20	 	40-36	Trevor Cooney missed Three Point Jumper.
15:20	 	40-36	Tyler Roberson Offensive Rebound.
15:16	Foul on Wayne Blackshear.	40-36	 
15:16	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:16	 	40-37	Tyler Roberson made Free Throw.
15:16	 	40-38	Tyler Roberson made Free Throw.
14:48	Quentin Snider made Three Point Jumper. Assisted by David Levitch.	43-38	 
14:27	 	43-40	Kaleb Joseph made Jumper.
