time	away	score	home
19:46	 	0-0	Sheldon McClellan missed Jumper.
19:46	Adam Smith Defensive Rebound.	0-0	 
19:07	Ahmed Hill made Three Point Jumper. Assisted by Justin Bibbs.	3-0	 
18:34	 	3-0	Davon Reed missed Three Point Jumper.
18:34	Shane Henry Defensive Rebound.	3-0	 
18:09	Adam Smith made Three Point Jumper. Assisted by Justin Bibbs.	6-0	 
17:57	 	6-2	Sheldon McClellan made Layup.
17:26	Malik Muller made Layup.	8-2	 
17:04	 	8-2	Sheldon McClellan missed Three Point Jumper.
17:04	 	8-2	Tonye Jekiri Offensive Rebound.
16:58	 	8-4	James Palmer made Layup. Assisted by Tonye Jekiri.
16:35	Malik Muller Turnover.	8-4	 
16:20	 	8-4	Davon Reed Turnover.
16:06	Devin Wilson missed Three Point Jumper.	8-4	 
16:06	 	8-4	James Palmer Defensive Rebound.
15:52	 	8-4	Sheldon McClellan Turnover.
15:51	Will Johnston Steal.	8-4	 
15:47	Justin Bibbs missed Layup.	8-4	 
15:47	 	8-4	Angel Rodriguez Defensive Rebound.
15:32	 	8-4	Davon Reed missed Three Point Jumper.
15:32	Will Johnston Defensive Rebound.	8-4	 
15:21	Jalen Hudson missed Three Point Jumper.	8-4	 
15:21	 	8-4	Tonye Jekiri Defensive Rebound.
15:07	 	8-4	James Palmer missed Jumper.
15:07	Will Johnston Defensive Rebound.	8-4	 
14:35	Satchel Pierce missed Jumper.	8-4	 
14:35	 	8-4	Tonye Jekiri Defensive Rebound.
14:16	 	8-6	Tonye Jekiri made Dunk. Assisted by Sheldon McClellan.
13:55	Jalen Hudson Turnover.	8-6	 
13:55	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
13:26	 	8-6	Manu Lecomte missed Three Point Jumper.
13:26	Adam Smith Block.	8-6	 
13:24	 	8-6	Tonye Jekiri Offensive Rebound.
13:20	 	8-6	Miami (FL)  Turnover.
13:00	Adam Smith made Three Point Jumper. Assisted by Malik Muller.	11-6	 
12:43	Foul on Ahmed Hill.	11-6	 
12:43	 	11-6	Sheldon McClellan missed Free Throw.
12:43	 	11-6	Miami (FL) Deadball Team Rebound.
12:43	 	11-7	Sheldon McClellan made Free Throw.
12:32	Devin Wilson made Jumper. Assisted by Satchel Pierce.	13-7	 
12:14	 	13-7	Deandre Burnett missed Jumper.
12:14	 	13-7	Tonye Jekiri Offensive Rebound.
12:10	 	13-10	Manu Lecomte made Three Point Jumper. Assisted by Tonye Jekiri.
11:54	Malik Muller missed Three Point Jumper.	13-10	 
11:54	Satchel Pierce Offensive Rebound.	13-10	 
11:50	Satchel Pierce Turnover.	13-10	 
11:43	 	13-10	Tonye Jekiri Steal.
11:35	Foul on Satchel Pierce.	13-10	 
11:35	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:06	 	13-10	Manu Lecomte missed Jumper.
11:06	Virginia Tech Defensive Rebound.	13-10	 
10:50	Justin Bibbs missed Jumper.	13-10	 
10:50	Christian Beyer Offensive Rebound.	13-10	 
10:17	Will Johnston missed Three Point Jumper.	13-10	 
10:17	 	13-10	Manu Lecomte Defensive Rebound.
10:03	 	13-12	Tonye Jekiri made Dunk. Assisted by Deandre Burnett.
9:40	Justin Bibbs missed Three Point Jumper.	13-12	 
9:40	 	13-12	Manu Lecomte Defensive Rebound.
9:29	 	13-14	Davon Reed made Layup.
9:29	Foul on Jalen Hudson.	13-14	 
9:29	 	13-15	Davon Reed made Free Throw.
9:14	Malik Muller Turnover.	13-15	 
8:56	Foul on Devin Wilson.	13-15	 
8:53	 	13-15	Angel Rodriguez missed Three Point Jumper.
8:53	 	13-15	Deandre Burnett Offensive Rebound.
8:40	 	13-17	Omar Sherman made Layup. Assisted by Davon Reed.
8:20	 	13-17	Foul on Omar Sherman.
8:20	Devin Wilson made Free Throw.	14-17	 
8:20	Devin Wilson made Free Throw.	15-17	 
7:54	 	15-17	Angel Rodriguez Turnover.
7:54	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:39	 	15-17	Foul on Angel Rodriguez.
7:39	Shane Henry missed Free Throw.	15-17	 
7:39	Virginia Tech Deadball Team Rebound.	15-17	 
7:39	Shane Henry made Free Throw.	16-17	 
7:39	 	16-17	Deandre Burnett Turnover.
7:39	Shane Henry Steal.	16-17	 
7:08	Ahmed Hill made Jumper.	18-17	 
6:38	 	18-19	Sheldon McClellan made Jumper. Assisted by Deandre Burnett.
6:13	Shane Henry missed Jumper.	18-19	 
6:13	 	18-19	Omar Sherman Block.
6:12	 	18-19	Omar Sherman Defensive Rebound.
6:08	 	18-19	Deandre Burnett missed Three Point Jumper.
6:08	 	18-19	Omar Sherman Offensive Rebound.
6:04	 	18-19	Omar Sherman Turnover.
6:02	Adam Smith Steal.	18-19	 
5:58	Justin Bibbs missed Layup.	18-19	 
5:58	Devin Wilson Offensive Rebound.	18-19	 
5:44	Malik Muller Turnover.	18-19	 
5:26	 	18-19	Davon Reed missed Jumper.
5:26	Adam Smith Defensive Rebound.	18-19	 
5:04	Malik Muller missed Three Point Jumper.	18-19	 
5:04	 	18-19	James Palmer Defensive Rebound.
4:43	 	18-19	Angel Rodriguez missed Three Point Jumper.
4:43	 	18-19	Tonye Jekiri Offensive Rebound.
4:40	Foul on Satchel Pierce.	18-19	 
4:40	 	18-20	Tonye Jekiri made Free Throw.
4:40	 	18-21	Tonye Jekiri made Free Throw.
4:16	Jalen Hudson missed Three Point Jumper.	18-21	 
4:16	Ahmed Hill Offensive Rebound.	18-21	 
4:07	Virginia Tech  Timeout	Virginia Tech  Timeout	Virginia Tech  Timeout
3:59	Adam Smith made Three Point Jumper. Assisted by Ahmed Hill.	21-21	 
3:28	 	21-24	James Palmer made Three Point Jumper. Assisted by Davon Reed.
2:58	Ahmed Hill missed Three Point Jumper.	21-24	 
2:58	 	21-24	Tonye Jekiri Defensive Rebound.
2:45	 	21-24	Foul on Davon Reed.
2:45	 	21-24	Davon Reed Turnover.
2:45	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
2:33	Adam Smith missed Three Point Jumper.	21-24	 
2:33	 	21-24	Manu Lecomte Defensive Rebound.
2:21	 	21-24	James Palmer missed Three Point Jumper.
2:21	Virginia Tech Defensive Rebound.	21-24	 
1:47	Ahmed Hill missed Layup.	21-24	 
1:47	 	21-24	Tonye Jekiri Defensive Rebound.
1:28	 	21-24	Sheldon McClellan missed Jumper.
1:28	Devin Wilson Block.	21-24	 
1:26	Devin Wilson Defensive Rebound.	21-24	 
1:21	Devin Wilson made Layup.	23-24	 
1:09	Miami (FL)  Timeout	Miami (FL)  Timeout	Miami (FL)  Timeout
0:44	 	23-27	Manu Lecomte made Three Point Jumper. Assisted by Angel Rodriguez.
0:29	Ahmed Hill Turnover.	23-27	 
0:28	 	23-27	Angel Rodriguez Steal.
0:23	 	23-29	Sheldon McClellan made Layup. Assisted by Angel Rodriguez.
0:03	Justin Bibbs made Three Point Jumper. Assisted by Ahmed Hill.	26-29	 
0:00	End of 1st half	End of 1st half	End of 1st half
19:47	Justin Bibbs missed Three Point Jumper.	26-29	 
19:47	 	26-29	Angel Rodriguez Defensive Rebound.
19:14	 	26-31	Tonye Jekiri made Jumper. Assisted by Davon Reed.
18:58	Shane Henry Turnover.	26-31	 
18:57	 	26-31	Angel Rodriguez Steal.
18:53	 	26-34	James Palmer made Three Point Jumper. Assisted by Angel Rodriguez.
18:46	Virginia Tech  Timeout	Virginia Tech  Timeout	Virginia Tech  Timeout
18:35	Justin Bibbs missed Three Point Jumper.	26-34	 
18:35	 	26-34	Tonye Jekiri Defensive Rebound.
18:21	Foul on Shane Henry.	26-34	 
18:04	 	26-34	Davon Reed missed Three Point Jumper.
18:04	 	26-34	Tonye Jekiri Offensive Rebound.
17:56	 	26-34	James Palmer missed Three Point Jumper.
17:56	 	26-34	Davon Reed Offensive Rebound.
17:53	 	26-36	Davon Reed made Layup.
17:40	Adam Smith made Jumper.	28-36	 
17:27	 	28-36	Angel Rodriguez Turnover.
17:14	Adam Smith missed Jumper.	28-36	 
17:14	 	28-36	Miami (FL) Defensive Rebound.
17:07	 	28-38	Sheldon McClellan made Layup. Assisted by James Palmer.
17:04	Virginia Tech  Timeout	Virginia Tech  Timeout	Virginia Tech  Timeout
16:39	 	28-38	Foul on Angel Rodriguez.
16:39	Justin Bibbs missed Free Throw.	28-38	 
16:39	Virginia Tech Deadball Team Rebound.	28-38	 
16:39	Justin Bibbs made Free Throw.	29-38	 
16:23	Foul on Christian Beyer.	29-38	 
16:18	 	29-38	Angel Rodriguez missed Three Point Jumper.
16:18	Jalen Hudson Defensive Rebound.	29-38	 
16:07	 	29-38	Foul on Davon Reed.
16:07	Jalen Hudson missed Free Throw.	29-38	 
16:07	Virginia Tech Deadball Team Rebound.	29-38	 
16:07	Jalen Hudson made Free Throw.	30-38	 
15:58	Foul on Shane Henry.	30-38	 
15:58	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:58	 	30-39	Angel Rodriguez made Free Throw.
15:58	 	30-40	Angel Rodriguez made Free Throw.
15:43	Shane Henry missed Layup.	30-40	 
15:43	 	30-40	Tonye Jekiri Defensive Rebound.
15:18	Foul on Christian Beyer.	30-40	 
15:18	 	30-41	Sheldon McClellan made Free Throw.
15:18	 	30-42	Sheldon McClellan made Free Throw.
15:04	Ahmed Hill missed Jumper.	30-42	 
15:04	Ahmed Hill Offensive Rebound.	30-42	 
15:01	Ahmed Hill missed Jumper.	30-42	 
15:01	 	30-42	Tonye Jekiri Block.
14:59	 	30-42	Sheldon McClellan Defensive Rebound.
14:54	 	30-42	James Palmer missed Three Point Jumper.
14:54	 	30-42	Angel Rodriguez Offensive Rebound.
14:44	Foul on Ahmed Hill.	30-42	 
14:44	 	30-43	Davon Reed made Free Throw.
14:44	 	30-44	Davon Reed made Free Throw.
14:17	Christian Beyer missed Jumper.	30-44	 
14:17	 	30-44	Joe Thomas Defensive Rebound.
14:03	 	30-46	Tonye Jekiri made Dunk. Assisted by James Palmer.
13:56	Virginia Tech  Timeout	Virginia Tech  Timeout	Virginia Tech  Timeout
13:56	Technical Foul on Virginia Tech.	30-46	 
13:56	 	30-46	Manu Lecomte missed Free Throw.
13:56	 	30-46	Miami (FL) Deadball Team Rebound.
13:56	 	30-46	Manu Lecomte missed Free Throw.
13:56	 	30-46	Miami (FL) Deadball Team Rebound.
13:42	 	30-46	Foul on Tonye Jekiri.
13:42	Malik Muller made Free Throw.	31-46	 
13:42	Adam Smith missed Free Throw.	31-46	 
13:42	 	31-46	Sheldon McClellan Defensive Rebound.
13:22	 	31-46	Deandre Burnett Turnover.
13:09	Christian Beyer missed Layup.	31-46	 
13:08	 	31-46	Tonye Jekiri Block.
13:07	 	31-46	Tonye Jekiri Defensive Rebound.
12:42	 	31-46	Tonye Jekiri Turnover.
12:41	Ahmed Hill Steal.	31-46	 
12:38	Devin Wilson made Layup. Assisted by Ahmed Hill.	33-46	 
12:38	 	33-46	Foul on Manu Lecomte.
12:38	 	33-46	Technical Foul on Miami (FL).
12:38	Miami (FL)  Timeout	Miami (FL)  Timeout	Miami (FL)  Timeout
12:38	Adam Smith made Free Throw.	34-46	 
12:38	Adam Smith made Free Throw.	35-46	 
12:38	Devin Wilson made Free Throw.	36-46	 
12:12	 	36-49	Sheldon McClellan made Three Point Jumper. Assisted by Davon Reed.
11:39	Adam Smith missed Jumper.	36-49	 
11:39	 	36-49	Tonye Jekiri Defensive Rebound.
11:30	 	36-51	Angel Rodriguez made Layup. Assisted by Sheldon McClellan.
11:15	Justin Bibbs made Three Point Jumper. Assisted by Christian Beyer.	39-51	 
10:57	 	39-53	Tonye Jekiri made Layup. Assisted by Sheldon McClellan.
10:43	Adam Smith missed Three Point Jumper.	39-53	 
10:43	 	39-53	Davon Reed Defensive Rebound.
10:24	Foul on Ahmed Hill.	39-53	 
10:24	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:24	 	39-54	Sheldon McClellan made Free Throw.
10:24	 	39-55	Sheldon McClellan made Free Throw.
10:11	Adam Smith made Layup.	41-55	 
9:57	 	41-57	Sheldon McClellan made Dunk. Assisted by Angel Rodriguez.
9:39	Foul on Adam Smith.	41-57	 
9:39	Adam Smith Turnover.	41-57	 
9:28	 	41-57	Angel Rodriguez missed Layup.
9:28	 	41-57	Tonye Jekiri Offensive Rebound.
9:25	 	41-59	Tonye Jekiri made Dunk.
9:05	Adam Smith Turnover.	41-59	 
9:04	 	41-59	Davon Reed Steal.
9:04	Foul on Justin Bibbs.	41-59	 
9:04	 	41-59	Davon Reed missed Free Throw.
9:04	 	41-59	Miami (FL) Deadball Team Rebound.
9:04	 	41-59	Davon Reed missed Free Throw.
9:04	Malik Muller Defensive Rebound.	41-59	 
8:52	Malik Muller Turnover.	41-59	 
