time	away	score	home
19:35	Craig Sword made Layup.	2-0	 
19:19	 	2-0	Sebastian Saiz missed Jumper.
19:19	Travis Daniels Defensive Rebound.	2-0	 
19:05	Gavin Ware made Jumper. Assisted by Travis Daniels.	4-0	 
18:33	Foul on Gavin Ware.	4-0	 
18:18	Foul on Travis Daniels.	4-0	 
18:18	 	4-1	Dwight Coleby made Free Throw.
18:18	 	4-2	Dwight Coleby made Free Throw.
18:10	Gavin Ware missed Jumper.	4-2	 
18:10	Mississippi St Offensive Rebound.	4-2	 
18:07	 	4-2	Foul on Dwight Coleby.
17:56	Travis Daniels made Three Point Jumper. Assisted by Craig Sword.	7-2	 
17:43	 	7-2	Stefan Moody missed Three Point Jumper.
17:43	Gavin Ware Defensive Rebound.	7-2	 
17:35	Gavin Ware made Jumper. Assisted by I.J. Ready.	9-2	 
17:31	Ole Miss  Timeout	Ole Miss  Timeout	Ole Miss  Timeout
17:20	 	9-2	Jarvis Summers missed Jumper.
17:20	I.J. Ready Defensive Rebound.	9-2	 
17:08	Gavin Ware missed Jumper.	9-2	 
17:08	 	9-2	LaDarius White Defensive Rebound.
16:54	 	9-2	LaDarius White Turnover.
16:29	Craig Sword made Jumper.	11-2	 
16:13	 	11-2	M.J. Rhett missed Jumper.
16:13	 	11-2	Ole Miss Offensive Rebound.
15:57	 	11-2	LaDarius White missed Three Point Jumper.
15:57	 	11-2	Anthony Perez Offensive Rebound.
15:45	 	11-2	LaDarius White missed Jumper.
15:45	Gavin Ware Defensive Rebound.	11-2	 
15:32	Roquez Johnson made Jumper. Assisted by Travis Daniels.	13-2	 
15:23	 	13-2	Stefan Moody missed Layup.
15:23	Mississippi St Defensive Rebound.	13-2	 
15:21	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:21	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:10	I.J. Ready Turnover.	13-2	 
14:59	 	13-4	Stefan Moody made Jumper.
14:47	Fred Thomas Turnover.	13-4	 
14:46	 	13-4	Stefan Moody Steal.
14:44	 	13-4	Stefan Moody missed Three Point Jumper.
14:44	Roquez Johnson Defensive Rebound.	13-4	 
14:37	 	13-4	Foul on Terence Smith.
14:32	Mississippi St  Timeout	Mississippi St  Timeout	Mississippi St  Timeout
14:19	Travis Daniels made Three Point Jumper. Assisted by Roquez Johnson.	16-4	 
14:04	 	16-7	LaDarius White made Three Point Jumper. Assisted by Terence Smith.
13:54	Craig Sword Turnover.	16-7	 
13:44	 	16-7	Terence Smith missed Three Point Jumper.
13:44	Travis Daniels Defensive Rebound.	16-7	 
13:31	Craig Sword Turnover.	16-7	 
12:59	 	16-9	Terence Smith made Jumper.
12:32	Trivante Bloodman Turnover.	16-9	 
12:31	 	16-9	Sebastian Saiz Steal.
12:10	 	16-11	LaDarius White made Layup.
12:09	Foul on Oliver Black.	16-11	 
12:09	 	16-12	LaDarius White made Free Throw.
11:43	Gavin Ware missed Jumper.	16-12	 
11:43	 	16-12	Terence Smith Defensive Rebound.
11:19	 	16-14	Stefan Moody made Jumper.
11:04	Craig Sword missed Three Point Jumper.	16-14	 
11:04	 	16-14	Dwight Coleby Defensive Rebound.
10:43	Foul on Travis Daniels.	16-14	 
10:43	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:30	 	16-14	Jarvis Summers missed Jumper.
10:30	Mississippi St Defensive Rebound.	16-14	 
10:27	 	16-14	Foul on Dwight Coleby.
10:06	Demetrius Houston missed Jumper.	16-14	 
10:06	 	16-14	Stefan Moody Defensive Rebound.
10:01	 	16-14	Stefan Moody missed Three Point Jumper.
10:01	Gavin Ware Defensive Rebound.	16-14	 
9:30	Fred Thomas missed Three Point Jumper.	16-14	 
9:30	Demetrius Houston Offensive Rebound.	16-14	 
9:27	Demetrius Houston made Layup.	18-14	 
9:01	Foul on I.J. Ready.	18-14	 
8:59	 	18-16	Stefan Moody made Layup. Assisted by Jarvis Summers.
8:45	Foul on Gavin Ware.	18-16	 
8:45	Gavin Ware Turnover.	18-16	 
8:14	 	18-16	LaDarius White missed Jumper.
8:14	 	18-16	Sebastian Saiz Offensive Rebound.
8:12	Foul on Craig Sword.	18-16	 
8:12	 	18-17	Sebastian Saiz made Free Throw.
8:12	 	18-17	Sebastian Saiz made Free Throw.
8:12	 	18-18	Sebastian Saiz made Free Throw.
7:59	Oliver Black Turnover.	18-18	 
7:58	 	18-18	LaDarius White Steal.
7:54	 	18-21	LaDarius White made Three Point Jumper. Assisted by Jarvis Summers.
7:49	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:37	 	18-21	Foul on Jarvis Summers.
7:37	Craig Sword made Free Throw.	19-21	 
7:37	Craig Sword made Free Throw.	20-21	 
7:24	 	20-21	Stefan Moody missed Three Point Jumper.
7:24	Roquez Johnson Defensive Rebound.	20-21	 
7:12	 	20-21	Foul on Jarvis Summers.
7:12	Oliver Black made Free Throw.	21-21	 
7:12	Oliver Black missed Free Throw.	21-21	 
7:12	 	21-21	Sebastian Saiz Defensive Rebound.
6:52	 	21-23	Stefan Moody made Layup.
6:29	 	21-23	Foul on Stefan Moody.
6:29	 	21-23	Foul on Stefan Moody.
6:28	I.J. Ready missed Three Point Jumper.	21-23	 
6:28	 	21-23	Ole Miss Defensive Rebound.
6:28	 	21-23	Ole Miss Defensive Rebound.
6:16	Foul on Roquez Johnson.	21-23	 
6:16	 	21-23	Sebastian Saiz missed Free Throw.
6:16	Roquez Johnson Defensive Rebound.	21-23	 
6:10	Foul on Oliver Black.	21-23	 
6:10	Oliver Black Turnover.	21-23	 
6:10	Oliver Black Turnover.	21-23	 
6:01	 	21-23	Terence Smith missed Three Point Jumper.
6:01	Mississippi St Defensive Rebound.	21-23	 
5:35	Roquez Johnson Turnover.	21-23	 
5:24	 	21-23	Stefan Moody missed Jumper.
5:24	Roquez Johnson Defensive Rebound.	21-23	 
5:04	Fallou Ndoye made Layup. Assisted by Roquez Johnson.	23-23	 
4:39	 	23-23	LaDarius White missed Three Point Jumper.
4:39	Fred Thomas Defensive Rebound.	23-23	 
4:39	Fred Thomas Defensive Rebound.	23-23	 
4:14	Trivante Bloodman made Jumper.	25-23	 
3:41	 	25-23	Terence Smith missed Jumper.
3:41	Fred Thomas Defensive Rebound.	25-23	 
3:33	Fred Thomas missed Layup.	25-23	 
3:33	 	25-23	Sebastian Saiz Defensive Rebound.
3:28	Ole Miss  Timeout	Ole Miss  Timeout	Ole Miss  Timeout
3:05	 	25-23	Anthony Perez Turnover.
3:05	Trivante Bloodman Steal.	25-23	 
3:02	Trivante Bloodman made Layup.	27-23	 
3:02	Trivante Bloodman made Layup.	27-23	 
2:52	 	27-25	M.J. Rhett made Layup. Assisted by Jarvis Summers.
2:36	Fred Thomas missed Three Point Jumper.	27-25	 
2:36	Demetrius Houston Offensive Rebound.	27-25	 
2:33	Demetrius Houston missed Jumper.	27-25	 
2:33	Roquez Johnson Offensive Rebound.	27-25	 
2:33	Roquez Johnson Offensive Rebound.	27-25	 
2:29	Roquez Johnson made Layup.	29-25	 
2:29	Roquez Johnson made Layup.	29-25	 
2:15	 	29-25	M.J. Rhett missed Jumper.
2:15	Fred Thomas Block.	29-25	 
2:15	Fred Thomas Block.	29-25	 
2:14	 	29-25	Ole Miss Offensive Rebound.
2:12	Foul on Trivante Bloodman.	29-25	 
2:12	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
2:12	 	29-26	Sebastian Saiz made Free Throw.
2:12	 	29-26	Sebastian Saiz missed Free Throw.
