"time	away	score	home"
"19:44	Micah Mason missed Three Point Jumper.	0-0	 "
"19:44	Dominique McKoy Offensive Rebound.	0-0	 "
"19:42	 	0-0	Foul on Youssou Ndoye."
"19:42	Dominique McKoy made Free Throw.	1-0	 "
"19:42	Dominique McKoy missed Free Throw.	1-0	 "
"19:42	 	1-0	Youssou Ndoye Defensive Rebound."
"19:12	 	1-3	Andell Cumberbatch made Three Point Jumper. Assisted by Marcus Posley."
"18:58	Dominique McKoy missed Jumper.	1-3	 "
"18:58	Dominique McKoy Offensive Rebound.	1-3	 "
"18:51	Dominique McKoy made Layup.	3-3	 "
"18:28	 	3-3	Marcus Posley missed Three Point Jumper."
"18:28	Darius Lewis Defensive Rebound.	3-3	 "
"18:20	Derrick Colter missed Layup.	3-3	 "
"18:20	 	3-3	Andell Cumberbatch Block."
"18:17	 	3-3	Denzel Gregg Defensive Rebound."
"18:12	Foul on Darius Lewis.	3-3	 "
"18:12	 	3-3	Youssou Ndoye missed Free Throw."
"18:12	 	3-3	St. Bonaventure Deadball Team Rebound."
"18:12	 	3-4	Youssou Ndoye made Free Throw."
"18:01	Darius Lewis Turnover.	3-4	 "
"17:59	 	3-4	Denzel Gregg Steal."
"17:55	 	3-4	Dion Wright missed Layup."
"17:55	 	3-4	Denzel Gregg Offensive Rebound."
"17:52	 	3-6	Denzel Gregg made Layup."
"17:46	Jeremiah Jones missed Layup.	3-6	 "
"17:46	 	3-6	Youssou Ndoye Defensive Rebound."
"17:33	 	3-8	Youssou Ndoye made Jumper. Assisted by Denzel Gregg."
"17:08	Dominique McKoy made Jumper. Assisted by Jeremiah Jones.	5-8	 "
"16:55	 	5-8	Andell Cumberbatch missed Three Point Jumper."
"16:55	Dominique McKoy Defensive Rebound.	5-8	 "
"16:48	Jeremiah Jones made Layup. Assisted by Derrick Colter.	7-8	 "
"16:32	 	7-10	Youssou Ndoye made Dunk. Assisted by Dion Wright."
"16:01	Micah Mason Turnover.	7-10	 "
"16:00	 	7-10	Andell Cumberbatch Steal."
"15:58	 	7-12	Andell Cumberbatch made Dunk."
"15:41	Derrick Colter Turnover.	7-12	 "
"15:40	 	7-12	Andell Cumberbatch Steal."
"15:28	 	7-15	Marcus Posley made Three Point Jumper. Assisted by Dion Wright."
"14:57	Dominique McKoy made Jumper.	9-15	 "
"14:49	 	9-15	Andell Cumberbatch missed Jumper."
"14:49	Darius Lewis Defensive Rebound.	9-15	 "
"14:42	Micah Mason missed Three Point Jumper.	9-15	 "
"14:42	 	9-15	Denzel Gregg Defensive Rebound."
"14:33	 	9-18	Marcus Posley made Three Point Jumper. Assisted by Denzel Gregg."
"14:14	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"14:14	Jeremiah Jones missed Layup.	9-18	 "
"14:14	 	9-18	Denzel Gregg Block."
"14:13	Duquesne Offensive Rebound.	9-18	 "
"14:02	Jordan Robinson made Layup. Assisted by Derrick Colter.	11-18	 "
"13:42	 	11-18	Marcus Posley missed Jumper."
"13:42	Dominique McKoy Defensive Rebound.	11-18	 "
"13:34	Derrick Colter made Layup.	13-18	 "
"13:07	 	13-21	Idris Taqqee made Three Point Jumper. Assisted by Dion Wright."
"12:51	Derrick Colter missed Three Point Jumper.	13-21	 "
"12:51	Jordan Robinson Offensive Rebound.	13-21	 "
"12:46	 	13-21	Foul on Idris Taqqee."
"12:46	Jordan Robinson missed Free Throw.	13-21	 "
"12:46	Duquesne Deadball Team Rebound.	13-21	 "
"12:46	Jordan Robinson made Free Throw.	14-21	 "
"12:32	 	14-23	Chris Dees made Jumper. Assisted by Marcus Posley."
"12:07	Jordan Robinson missed Layup.	14-23	 "
"12:07	 	14-23	St. Bonaventure Defensive Rebound."
"12:06	Foul on L.G. Gill.	14-23	 "
"11:41	 	14-23	Idris Taqqee missed Three Point Jumper."
"11:41	 	14-23	Iakeem Alston Offensive Rebound."
"11:35	 	14-23	Iakeem Alston Turnover."
"11:34	Micah Mason Steal.	14-23	 "
"11:33	 	14-23	Foul on Iakeem Alston."
"11:33	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"11:33	Derrick Colter made Free Throw.	15-23	 "
"11:33	Derrick Colter made Free Throw.	16-23	 "
"11:12	Foul on L.G. Gill.	16-23	 "
"11:12	 	16-24	Youssou Ndoye made Free Throw."
"11:12	 	16-25	Youssou Ndoye made Free Throw."
"10:44	Dominique McKoy made Layup. Assisted by Derrick Colter.	18-25	 "
"10:23	 	18-25	Dion Wright missed Layup."
"10:23	Jordan Robinson Defensive Rebound.	18-25	 "
"10:14	Jordan Robinson missed Jumper.	18-25	 "
"10:14	Dominique McKoy Offensive Rebound.	18-25	 "
"10:06	Derrick Colter made Three Point Jumper. Assisted by Jeremiah Jones.	21-25	 "
"9:43	 	21-25	Denzel Gregg Turnover."
"9:41	Derrick Colter Steal.	21-25	 "
"9:39	Micah Mason missed Three Point Jumper.	21-25	 "
"9:39	 	21-25	Youssou Ndoye Defensive Rebound."
"9:20	 	21-25	Denzel Gregg missed Three Point Jumper."
"9:20	 	21-25	Andell Cumberbatch Offensive Rebound."
"9:13	 	21-25	Youssou Ndoye missed Jumper."
"9:13	 	21-25	Denzel Gregg Offensive Rebound."
"9:05	 	21-27	Denzel Gregg made Two Point Tip Shot."
"8:45	Derrick Colter missed Three Point Jumper.	21-27	 "
"8:45	Micah Mason Offensive Rebound.	21-27	 "
"8:36	Jeremiah Jones missed Jumper.	21-27	 "
"8:36	 	21-27	Youssou Ndoye Defensive Rebound."
"8:22	 	21-29	Youssou Ndoye made Jumper."
"7:50	Micah Mason missed Jumper.	21-29	 "
"7:50	Dominique McKoy Offensive Rebound.	21-29	 "
"7:45	Dominique McKoy made Layup.	23-29	 "
"7:31	 	23-29	Andell Cumberbatch missed Three Point Jumper."
"7:31	 	23-29	Denzel Gregg Offensive Rebound."
"7:29	Foul on Micah Mason.	23-29	 "
"7:29	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"7:05	 	23-29	Idris Taqqee Turnover."
"6:45	TySean Powell missed Jumper.	23-29	 "
"6:45	 	23-29	Youssou Ndoye Defensive Rebound."
"6:30	 	23-32	Marcus Posley made Three Point Jumper. Assisted by Idris Taqqee."
"6:19	Derrick Colter Turnover.	23-32	 "
"6:01	 	23-32	Marcus Posley missed Jumper."
"6:01	Micah Mason Defensive Rebound.	23-32	 "
"5:52	Dominique McKoy made Jumper. Assisted by Micah Mason.	25-32	 "
"5:51	 	25-32	Foul on Denzel Gregg."
"5:51	Micah Mason missed Free Throw.	25-32	 "
"5:51	 	25-32	Youssou Ndoye Defensive Rebound."
"5:40	 	25-32	Youssou Ndoye missed Jumper."
"5:40	Dominique McKoy Defensive Rebound.	25-32	 "
"5:24	 	25-32	Foul on Chris Dees."
"5:24	Jeremiah Jones made Free Throw.	26-32	 "
"5:24	Jeremiah Jones made Free Throw.	27-32	 "
"4:53	Foul on TySean Powell.	27-32	 "
"4:53	 	27-33	Youssou Ndoye made Free Throw."
"4:53	 	27-34	Youssou Ndoye made Free Throw."
"4:32	TySean Powell Turnover.	27-34	 "
"4:10	 	27-34	Denzel Gregg missed Jumper."
"4:10	Duquesne Defensive Rebound.	27-34	 "
"4:08	 	27-34	Foul on Youssou Ndoye."
"3:47	TySean Powell made Jumper.	29-34	 "
"3:34	 	29-34	Andell Cumberbatch Turnover."
"3:34	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"3:21	Dominique McKoy missed Jumper.	29-34	 "
"3:21	 	29-34	Andell Cumberbatch Defensive Rebound."
"2:57	 	29-37	Andell Cumberbatch made Three Point Jumper. Assisted by Marcus Posley."
"2:29	Dominique McKoy made Layup. Assisted by Derrick Colter.	31-37	 "
"2:10	 	31-40	Marcus Posley made Three Point Jumper. Assisted by Iakeem Alston."
"1:51	L.G. Gill missed Three Point Jumper.	31-40	 "
"1:51	 	31-40	Marcus Posley Defensive Rebound."
"1:30	 	31-40	Marcus Posley missed Three Point Jumper."
"1:30	Dominique McKoy Defensive Rebound.	31-40	 "
"1:17	L.G. Gill missed Three Point Jumper.	31-40	 "
"1:17	Jeremiah Jones Offensive Rebound.	31-40	 "
"1:12	Jeremiah Jones missed Jumper.	31-40	 "
"1:12	 	31-40	St. Bonaventure Defensive Rebound."
"0:53	 	31-40	Dion Wright missed Jumper."
"0:53	Dominique McKoy Defensive Rebound.	31-40	 "
"0:45	L.G. Gill made Layup. Assisted by Derrick Colter.	33-40	 "
"0:45	 	33-40	Foul on Chris Dees."
"0:44	L.G. Gill made Free Throw.	34-40	 "
"0:44	St. Bonaventure  Timeout	St. Bonaventure  Timeout	St. Bonaventure  Timeout"
"0:22	 	34-43	Andell Cumberbatch made Three Point Jumper. Assisted by Marcus Posley."
"0:06	Foul on L.G. Gill.	34-43	 "
"0:06	L.G. Gill Turnover.	34-43	 "
"0:04	 	34-46	Marcus Posley made Three Point Jumper."
"0:00	End of 1st half	End of 1st half	End of 1st half"
"19:49	 	34-46	Marcus Posley Turnover."
"19:48	Micah Mason Steal.	34-46	 "
"19:42	 	34-46	Foul on Youssou Ndoye."
"19:42	Jeremiah Jones made Free Throw.	35-46	 "
"19:42	Jeremiah Jones missed Free Throw.	35-46	 "
"19:42	 	35-46	Dion Wright Defensive Rebound."
"19:15	 	35-46	Denzel Gregg missed Layup."
"19:15	 	35-46	Dion Wright Offensive Rebound."
"19:14	Foul on Jeremiah Jones.	35-46	 "
"19:14	 	35-47	Dion Wright made Free Throw."
"19:14	 	35-48	Dion Wright made Free Throw."
"19:02	Micah Mason made Three Point Jumper.	38-48	 "
"18:38	 	38-48	Dion Wright Turnover."
"18:28	Dominique McKoy made Layup. Assisted by Derrick Colter.	40-48	 "
"17:59	 	40-48	Denzel Gregg missed Jumper."
"17:59	Dominique McKoy Defensive Rebound.	40-48	 "
"17:49	 	40-48	Foul on Chris Dees."
"17:49	Derrick Colter made Layup. Assisted by Jeremiah Jones.	42-48	 "
"17:46	St. Bonaventure  Timeout	St. Bonaventure  Timeout	St. Bonaventure  Timeout"
"17:46	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout"
"17:23	 	42-50	Marcus Posley made Layup."
"17:02	Micah Mason missed Three Point Jumper.	42-50	 "
"17:02	 	42-50	Idris Taqqee Defensive Rebound."
"16:46	 	42-50	Idris Taqqee missed Jumper."
"16:46	Jeremiah Jones Defensive Rebound.	42-50	 "
"16:39	Jeremiah Jones made Layup.	44-50	 "
"16:38	 	44-50	Foul on Chris Dees."
"16:38	Jeremiah Jones made Free Throw.	45-50	 "
"16:23	 	45-52	Idris Taqqee made Jumper."
"15:45	Jeremiah Jones made Layup.	47-52	 "
"15:30	 	47-52	Andell Cumberbatch missed Three Point Jumper."
"15:30	 	47-52	Idris Taqqee Offensive Rebound."
