time	away	score	home
20:00	 	0-0	Jump Ball won by St. John's
19:38	 	0-0	Phil Greene IV missed Jumper.
19:38	Duke Defensive Rebound.	0-0	 
19:09	Tyus Jones missed Jumper.	0-0	 
19:09	Jahlil Okafor Offensive Rebound.	0-0	 
19:03	Jahlil Okafor made Jumper.	2-0	 
18:30	 	2-3	Rysheed Jordan made Three Point Jumper. Assisted by Chris Obekpa.
18:20	Amile Jefferson missed Layup.	2-3	 
18:20	 	2-3	Sir'Dominic Pointer Block.
18:20	 	2-3	Chris Obekpa Defensive Rebound.
18:12	 	2-5	D'Angelo Harrison made Layup.
17:48	Amile Jefferson made Layup. Assisted by Jahlil Okafor.	4-5	 
17:48	 	4-5	Foul on Sir'Dominic Pointer.
17:48	Amile Jefferson made Free Throw.	5-5	 
17:42	 	5-7	Chris Obekpa made Jumper. Assisted by Sir'Dominic Pointer.
17:28	Justise Winslow Turnover.	5-7	 
17:28	 	5-7	D'Angelo Harrison Steal.
17:22	 	5-7	Rysheed Jordan Turnover.
17:22	Tyus Jones Steal.	5-7	 
17:14	Jahlil Okafor missed Layup.	5-7	 
17:14	Jahlil Okafor Offensive Rebound.	5-7	 
17:14	Jahlil Okafor made Two Point Tip Shot.	7-7	 
16:54	Foul on Amile Jefferson.	7-7	 
16:54	 	7-7	Chris Obekpa missed Free Throw.
16:54	 	7-7	St. John's Deadball Team Rebound.
16:54	 	7-7	Chris Obekpa missed Free Throw.
16:54	Amile Jefferson Defensive Rebound.	7-7	 
16:34	Tyus Jones missed Layup.	7-7	 
16:34	Amile Jefferson Offensive Rebound.	7-7	 
16:34	Amile Jefferson missed Two Point Tip Shot.	7-7	 
16:34	 	7-7	Sir'Dominic Pointer Defensive Rebound.
16:26	 	7-7	Sir'Dominic Pointer missed Layup.
16:26	Rasheed Sulaimon Defensive Rebound.	7-7	 
16:18	Tyus Jones made Layup. Assisted by Rasheed Sulaimon.	9-7	 
16:12	 	9-7	Chris Obekpa missed Jumper.
16:12	Rasheed Sulaimon Defensive Rebound.	9-7	 
16:04	Tyus Jones made Three Point Jumper. Assisted by Quinn Cook.	12-7	 
15:40	 	12-9	Phil Greene IV made Jumper.
15:16	Jahlil Okafor made Layup.	14-9	 
15:16	 	14-9	Foul on Chris Obekpa.
15:16	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:16	Jahlil Okafor missed Free Throw.	14-9	 
15:16	 	14-9	Phil Greene IV Defensive Rebound.
15:00	 	14-9	Sir'Dominic Pointer missed Three Point Jumper.
15:00	Tyus Jones Defensive Rebound.	14-9	 
14:31	Rasheed Sulaimon made Three Point Jumper. Assisted by Tyus Jones.	17-9	 
14:03	Foul on Jahlil Okafor.	17-9	 
13:58	 	17-9	Rysheed Jordan Turnover.
13:44	 	17-9	Foul on Joey De La Rosa.
13:44	Amile Jefferson missed Free Throw.	17-9	 
13:44	Duke Deadball Team Rebound.	17-9	 
13:44	Amile Jefferson missed Free Throw.	17-9	 
13:44	 	17-9	Rysheed Jordan Defensive Rebound.
13:35	 	17-9	Sir'Dominic Pointer missed Jumper.
13:35	Quinn Cook Defensive Rebound.	17-9	 
13:21	Rasheed Sulaimon missed Three Point Jumper.	17-9	 
13:21	 	17-9	Joey De La Rosa Defensive Rebound.
13:13	 	17-9	Rysheed Jordan missed Layup.
13:13	 	17-9	Rysheed Jordan Offensive Rebound.
13:05	Foul on Marshall Plumlee.	17-9	 
13:05	 	17-10	Rysheed Jordan made Free Throw.
13:05	 	17-10	Rysheed Jordan missed Free Throw.
13:05	Justise Winslow Defensive Rebound.	17-10	 
12:45	Matt Jones made Layup.	19-10	 
12:36	 	19-10	Jamal Branch Turnover.
12:36	Quinn Cook Steal.	19-10	 
12:29	Jahlil Okafor made Dunk. Assisted by Matt Jones.	21-10	 
12:25	St. John's  Timeout	St. John's  Timeout	St. John's  Timeout
12:03	 	21-13	Rysheed Jordan made Three Point Jumper. Assisted by D'Angelo Harrison.
11:40	Justise Winslow missed Jumper.	21-13	 
11:40	 	21-13	Joey De La Rosa Block.
11:40	Jahlil Okafor Offensive Rebound.	21-13	 
11:36	Jahlil Okafor Turnover.	21-13	 
11:36	 	21-13	Sir'Dominic Pointer Steal.
11:31	 	21-15	Rysheed Jordan made Layup.
11:18	 	21-15	Foul on Joey De La Rosa.
11:18	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:16	Amile Jefferson made Layup. Assisted by Tyus Jones.	23-15	 
10:59	 	23-17	Sir'Dominic Pointer made Jumper.
10:34	Quinn Cook missed Layup.	23-17	 
10:34	Amile Jefferson Offensive Rebound.	23-17	 
10:30	Jump Ball won by Duke	23-17	 
10:14	Jahlil Okafor Turnover.	23-17	 
10:11	 	23-17	Sir'Dominic Pointer missed Jumper.
10:11	 	23-17	Sir'Dominic Pointer Offensive Rebound.
10:05	 	23-19	Sir'Dominic Pointer made Layup.
9:25	Amile Jefferson missed Jumper.	23-19	 
9:25	 	23-19	Sir'Dominic Pointer Defensive Rebound.
9:17	Foul on Matt Jones.	23-19	 
9:12	 	23-21	Sir'Dominic Pointer made Layup. Assisted by Chris Obekpa.
8:53	Grayson Allen Turnover.	23-21	 
8:53	 	23-21	Rysheed Jordan Steal.
8:48	 	23-21	Sir'Dominic Pointer Turnover.
8:48	Grayson Allen Steal.	23-21	 
8:41	Quinn Cook made Three Point Jumper. Assisted by Tyus Jones.	26-21	 
8:24	 	26-21	Rysheed Jordan missed Three Point Jumper.
8:24	Tyus Jones Defensive Rebound.	26-21	 
8:16	Quinn Cook missed Three Point Jumper.	26-21	 
8:16	 	26-21	Chris Obekpa Defensive Rebound.
8:01	 	26-23	Sir'Dominic Pointer made Jumper.
7:36	 	26-23	Foul on Phil Greene IV.
7:36	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:22	Quinn Cook missed Three Point Jumper.	26-23	 
7:22	Rasheed Sulaimon Offensive Rebound.	26-23	 
7:14	Grayson Allen missed Layup.	26-23	 
7:14	 	26-23	Sir'Dominic Pointer Block.
7:14	 	26-23	Sir'Dominic Pointer Defensive Rebound.
6:44	Foul on Rasheed Sulaimon.	26-23	 
6:44	 	26-24	Sir'Dominic Pointer made Free Throw.
6:44	 	26-25	Sir'Dominic Pointer made Free Throw.
6:31	Tyus Jones missed Three Point Jumper.	26-25	 
6:31	 	26-25	D'Angelo Harrison Defensive Rebound.
6:26	 	26-25	D'Angelo Harrison Turnover.
6:03	Amile Jefferson made Layup.	28-25	 
5:55	 	28-25	D'Angelo Harrison missed Jumper.
5:55	Duke Defensive Rebound.	28-25	 
5:41	Tyus Jones Turnover.	28-25	 
5:41	 	28-25	Sir'Dominic Pointer Steal.
5:33	 	28-25	Phil Greene IV missed Three Point Jumper.
5:33	 	28-25	Rysheed Jordan Offensive Rebound.
5:25	 	28-27	Sir'Dominic Pointer made Jumper. Assisted by Rysheed Jordan.
5:25	Foul on Rasheed Sulaimon.	28-27	 
5:25	 	28-28	Sir'Dominic Pointer made Free Throw.
5:19	Tyus Jones made Layup.	30-28	 
5:09	 	30-30	Rysheed Jordan made Jumper. Assisted by Sir'Dominic Pointer.
4:43	Quinn Cook missed Layup.	30-30	 
4:43	 	30-30	Rysheed Jordan Block.
4:43	Amile Jefferson Offensive Rebound.	30-30	 
4:31	Jahlil Okafor made Layup. Assisted by Amile Jefferson.	32-30	 
4:23	 	32-30	Jamal Branch missed Three Point Jumper.
4:23	Matt Jones Defensive Rebound.	32-30	 
4:12	Quinn Cook missed Three Point Jumper.	32-30	 
4:12	 	32-30	Chris Obekpa Defensive Rebound.
4:06	 	32-30	Phil Greene IV Turnover.
3:49	Tyus Jones missed Three Point Jumper.	32-30	 
3:49	 	32-30	Chris Obekpa Defensive Rebound.
3:40	 	32-32	Rysheed Jordan made Layup.
3:40	Foul on Matt Jones.	32-32	 
3:40	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:40	 	32-33	Rysheed Jordan made Free Throw.
3:27	Matt Jones missed Three Point Jumper.	32-33	 
3:27	 	32-33	Chris Obekpa Defensive Rebound.
3:13	 	32-35	Rysheed Jordan made Jumper. Assisted by Sir'Dominic Pointer.
2:51	Matt Jones made Layup.	34-35	 
2:19	 	34-35	D'Angelo Harrison missed Jumper.
2:19	 	34-35	D'Angelo Harrison Offensive Rebound.
2:15	 	34-37	D'Angelo Harrison made Jumper.
2:05	Quinn Cook missed Jumper.	34-37	 
2:05	 	34-37	Chris Obekpa Defensive Rebound.
1:59	 	34-37	Sir'Dominic Pointer missed Layup.
1:59	Matt Jones Defensive Rebound.	34-37	 
1:53	Quinn Cook missed Three Point Jumper.	34-37	 
1:53	Jahlil Okafor Offensive Rebound.	34-37	 
1:48	Jahlil Okafor missed Jumper.	34-37	 
1:48	 	34-37	Sir'Dominic Pointer Block.
1:48	 	34-37	Rysheed Jordan Defensive Rebound.
1:43	 	34-37	Rysheed Jordan missed Layup.
1:43	Duke Defensive Rebound.	34-37	 
1:13	 	34-37	Foul on Rysheed Jordan.
1:13	Tyus Jones made Free Throw.	35-37	 
1:13	Tyus Jones made Free Throw.	36-37	 
1:02	 	36-40	Phil Greene IV made Three Point Jumper. Assisted by Rysheed Jordan.
0:42	Quinn Cook made Three Point Jumper. Assisted by Matt Jones.	39-40	 
0:04	 	39-43	D'Angelo Harrison made Three Point Jumper. Assisted by Rysheed Jordan.
0:00	End of 1st half	End of 1st half	End of 1st half
20:00	 	39-43	Jump Ball won by St. John's
19:35	 	39-45	Phil Greene IV made Layup.
19:27	 	39-45	Foul on D'Angelo Harrison.
19:27	Rasheed Sulaimon missed Free Throw.	39-45	 
