time	away	score	home
19:42	 	0-0	Gary Payton II missed Three Point Jumper.
19:42	Andrew Andrews Defensive Rebound.	0-0	 
19:24	Andrew Andrews Turnover.	0-0	 
19:23	 	0-0	Gary Payton II Steal.
19:18	 	0-0	Malcolm Duvivier missed Three Point Jumper.
19:18	Donaven Dorsey Defensive Rebound.	0-0	 
19:02	Nigel Williams-Goss missed Jumper.	0-0	 
19:02	 	0-0	Olaf Schaftenaar Defensive Rebound.
18:44	 	0-2	Gary Payton II made Layup. Assisted by Olaf Schaftenaar.
18:06	Andrew Andrews missed Three Point Jumper.	0-2	 
18:06	 	0-2	Daniel Gomis Defensive Rebound.
17:36	 	0-2	Daniel Gomis missed Layup.
17:36	Nigel Williams-Goss Defensive Rebound.	0-2	 
17:25	Donaven Dorsey missed Three Point Jumper.	0-2	 
17:25	Shawn Kemp Jr. Offensive Rebound.	0-2	 
17:21	Shawn Kemp Jr. missed Layup.	0-2	 
17:21	 	0-2	Daniel Gomis Defensive Rebound.
16:51	 	0-2	Gary Payton II Turnover.
16:49	Andrew Andrews Steal.	0-2	 
16:45	Andrew Andrews Turnover.	0-2	 
16:45	 	0-2	Olaf Schaftenaar Steal.
16:30	 	0-2	Malcolm Duvivier missed Layup.
16:30	Donaven Dorsey Defensive Rebound.	0-2	 
16:23	Nigel Williams-Goss missed Layup.	0-2	 
16:23	 	0-2	Langston Morris-Walker Defensive Rebound.
16:14	 	0-4	Malcolm Duvivier made Layup. Assisted by Gary Payton II.
16:04	Shawn Kemp Jr. Turnover.	0-4	 
16:02	 	0-4	Gary Payton II Steal.
15:47	 	0-4	Daniel Gomis Turnover.
15:47	 	0-4	Foul on Daniel Gomis.
15:47	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:12	Nigel Williams-Goss Turnover.	0-4	 
15:11	 	0-4	Daniel Gomis Steal.
14:49	Oregon St  Timeout	Oregon St  Timeout	Oregon St  Timeout
14:36	 	0-6	Langston Morris-Walker made Layup.
14:10	 	0-6	Foul on Jarmal Reid.
14:10	Darin Johnson missed Free Throw.	0-6	 
14:10	Washington Deadball Team Rebound.	0-6	 
14:10	Darin Johnson missed Free Throw.	0-6	 
14:10	Donaven Dorsey Offensive Rebound.	0-6	 
14:01	 	0-6	Foul on Gary Payton II.
14:01	Shawn Kemp Jr. missed Free Throw.	0-6	 
14:01	Washington Deadball Team Rebound.	0-6	 
14:01	Shawn Kemp Jr. made Free Throw.	1-6	 
13:42	 	1-8	Gary Payton II made Layup. Assisted by Olaf Schaftenaar.
13:21	Darin Johnson Turnover.	1-8	 
12:54	Foul on Nigel Williams-Goss.	1-8	 
12:40	 	1-8	Jarmal Reid missed Layup.
12:40	Gilles Dierickx Block.	1-8	 
12:37	 	1-8	Jarmal Reid Offensive Rebound.
12:35	 	1-10	Jarmal Reid made Layup.
12:19	 	1-10	Foul on Jarmal Reid.
12:04	Nigel Williams-Goss missed Jumper.	1-10	 
12:04	 	1-10	Malcolm Duvivier Defensive Rebound.
11:42	 	1-10	Langston Morris-Walker missed Three Point Jumper.
11:42	Andrew Andrews Defensive Rebound.	1-10	 
11:35	 	1-10	Foul on Langston Morris-Walker.
11:35	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:35	Andrew Andrews made Free Throw.	2-10	 
11:35	Andrew Andrews made Free Throw.	3-10	 
11:20	Foul on Gilles Dierickx.	3-10	 
11:20	 	3-11	Jarmal Reid made Free Throw.
11:20	 	3-12	Jarmal Reid made Free Throw.
10:45	Washington  Turnover.	3-12	 
10:26	 	3-12	Daniel Gomis missed Layup.
10:26	Mike Anderson Defensive Rebound.	3-12	 
10:15	Nigel Williams-Goss Turnover.	3-12	 
10:14	 	3-12	Gary Payton II Steal.
10:11	 	3-14	Langston Morris-Walker made Layup. Assisted by Gary Payton II.
10:07	Washington  Timeout	Washington  Timeout	Washington  Timeout
9:40	Andrew Andrews Turnover.	3-14	 
9:18	 	3-14	Olaf Schaftenaar Turnover.
9:13	Quevyn Winters missed Layup.	3-14	 
9:13	Shawn Kemp Jr. Offensive Rebound.	3-14	 
9:10	Shawn Kemp Jr. missed Layup.	3-14	 
9:10	 	3-14	Daniel Gomis Defensive Rebound.
8:52	 	3-14	Malcolm Duvivier missed Three Point Jumper.
8:52	Andrew Andrews Defensive Rebound.	3-14	 
8:43	Foul on Andrew Andrews.	3-14	 
8:43	Andrew Andrews Turnover.	3-14	 
8:25	 	3-14	Gary Payton II Turnover.
8:11	Andrew Andrews missed Jumper.	3-14	 
8:11	Quevyn Winters Offensive Rebound.	3-14	 
8:04	Nigel Williams-Goss made Three Point Jumper. Assisted by Mike Anderson.	6-14	 
7:38	 	6-16	Gary Payton II made Jumper. Assisted by Dylan Livesay.
7:37	Foul on Mike Anderson.	6-16	 
7:37	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:37	 	6-16	Gary Payton II missed Free Throw.
7:37	Andrew Andrews Defensive Rebound.	6-16	 
7:13	Donaven Dorsey missed Three Point Jumper.	6-16	 
7:13	Andrew Andrews Offensive Rebound.	6-16	 
7:09	Andrew Andrews made Two Point Tip Shot.	8-16	 
6:51	 	8-16	Dylan Livesay missed Three Point Jumper.
6:51	 	8-16	Oregon St Offensive Rebound.
6:48	Foul on Andrew Andrews.	8-16	 
6:47	 	8-16	Tanner Sanders Turnover.
6:43	Donaven Dorsey Steal.	8-16	 
6:27	Nigel Williams-Goss made Layup.	10-16	 
5:57	 	10-16	Olaf Schaftenaar Turnover.
5:56	Andrew Andrews Steal.	10-16	 
5:53	Nigel Williams-Goss made Layup. Assisted by Andrew Andrews.	12-16	 
5:50	Oregon St  Timeout	Oregon St  Timeout	Oregon St  Timeout
5:22	Foul on Mike Anderson.	12-16	 
5:01	 	12-16	Foul on Langston Morris-Walker.
5:01	 	12-16	Langston Morris-Walker Turnover.
4:48	Donaven Dorsey missed Three Point Jumper.	12-16	 
4:48	 	12-16	Langston Morris-Walker Defensive Rebound.
4:46	Foul on Andrew Andrews.	12-16	 
4:46	 	12-17	Langston Morris-Walker made Free Throw.
4:46	 	12-17	Langston Morris-Walker missed Free Throw.
4:46	Donaven Dorsey Defensive Rebound.	12-17	 
4:15	 	12-17	Foul on Daniel Gomis.
4:15	Shawn Kemp Jr. made Free Throw.	13-17	 
4:15	Shawn Kemp Jr. made Free Throw.	14-17	 
4:03	Foul on Donaven Dorsey.	14-17	 
4:03	 	14-18	Malcolm Duvivier made Free Throw.
4:03	 	14-19	Malcolm Duvivier made Free Throw.
3:47	Donaven Dorsey Turnover.	14-19	 
3:47	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:34	 	14-19	Olaf Schaftenaar Turnover.
3:13	 	14-19	Foul on Olaf Schaftenaar.
3:13	Darin Johnson made Free Throw.	15-19	 
3:13	Darin Johnson made Free Throw.	16-19	 
2:41	 	16-21	Cheikh N'diaye made Layup. Assisted by Malcolm Duvivier.
2:24	Shawn Kemp Jr. made Dunk. Assisted by Nigel Williams-Goss.	18-21	 
2:06	 	18-21	Olaf Schaftenaar Turnover.
1:47	Quevyn Winters Turnover.	18-21	 
1:34	 	18-21	Foul on Cheikh N'diaye.
1:34	 	18-21	Cheikh N'diaye Turnover.
1:10	Quevyn Winters Turnover.	18-21	 
0:59	 	18-21	Malcolm Duvivier Turnover.
0:44	Nigel Williams-Goss missed Three Point Jumper.	18-21	 
0:44	 	18-21	Gary Payton II Defensive Rebound.
0:11	 	18-21	Olaf Schaftenaar missed Three Point Jumper.
0:11	Nigel Williams-Goss Defensive Rebound.	18-21	 
0:03	Nigel Williams-Goss Turnover.	18-21	 
0:00	End of 1st half	End of 1st half	End of 1st half
19:50	Foul on Shawn Kemp Jr..	18-21	 
19:36	 	18-21	Gary Payton II missed Jumper.
19:36	 	18-21	Olaf Schaftenaar Offensive Rebound.
19:21	 	18-23	Daniel Gomis made Layup. Assisted by Gary Payton II.
18:47	 	18-23	Foul on Daniel Gomis.
18:42	Darin Johnson missed Three Point Jumper.	18-23	 
18:42	 	18-23	Olaf Schaftenaar Defensive Rebound.
18:31	 	18-25	Malcolm Duvivier made Layup.
18:20	Shawn Kemp Jr. made Layup. Assisted by Nigel Williams-Goss.	20-25	 
18:02	 	20-25	Malcolm Duvivier Turnover.
18:02	 	20-25	Foul on Malcolm Duvivier.
17:42	Mike Anderson Turnover.	20-25	 
17:36	Foul on Donaven Dorsey.	20-25	 
17:35	 	20-25	Malcolm Duvivier missed Layup.
17:35	Mike Anderson Defensive Rebound.	20-25	 
17:23	 	20-25	Foul on Jarmal Reid.
17:23	Nigel Williams-Goss made Free Throw.	21-25	 
17:23	Nigel Williams-Goss made Free Throw.	22-25	 
17:10	Foul on Nigel Williams-Goss.	22-25	 
17:10	 	22-26	Jarmal Reid made Free Throw.
17:10	 	22-27	Jarmal Reid made Free Throw.
16:56	Nigel Williams-Goss Turnover.	22-27	 
16:54	 	22-27	Langston Morris-Walker Steal.
16:51	 	22-29	Langston Morris-Walker made Layup.
16:51	Foul on Donaven Dorsey.	22-29	 
16:51	 	22-29	Langston Morris-Walker missed Free Throw.
16:51	Donaven Dorsey Defensive Rebound.	22-29	 
16:37	Shawn Kemp Jr. made Layup. Assisted by Mike Anderson.	24-29	 
16:16	Foul on Shawn Kemp Jr..	24-29	 
16:16	 	24-30	Jarmal Reid made Free Throw.
16:16	 	24-31	Jarmal Reid made Free Throw.
15:57	Shawn Kemp Jr. missed Jumper.	24-31	 
15:57	 	24-31	Langston Morris-Walker Defensive Rebound.
15:53	Foul on Donaven Dorsey.	24-31	 
15:53	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:25	 	24-31	Malcolm Duvivier missed Three Point Jumper.
15:25	Washington Defensive Rebound.	24-31	 
15:01	Mike Anderson Turnover.	24-31	 
15:00	 	24-31	Malcolm Duvivier Steal.
14:56	 	24-31	Gary Payton II missed Layup.
14:56	Mike Anderson Defensive Rebound.	24-31	 
14:54	 	24-31	Foul on Gary Payton II.
14:47	Darin Johnson Turnover.	24-31	 
14:46	 	24-31	Langston Morris-Walker Steal.
14:42	 	24-31	Gary Payton II missed Layup.
14:42	 	24-31	Gary Payton II Offensive Rebound.
14:39	 	24-33	Gary Payton II made Two Point Tip Shot.
14:22	Mike Anderson missed Three Point Jumper.	24-33	 
14:22	Mike Anderson Offensive Rebound.	24-33	 
14:18	Foul on Mike Anderson.	24-33	 
14:18	Mike Anderson Turnover.	24-33	 
13:55	 	24-35	Gary Payton II made Layup. Assisted by Malcolm Duvivier.
13:45	 	24-35	Foul on Jarmal Reid.
13:45	Andrew Andrews missed Free Throw.	24-35	 
13:45	Washington Deadball Team Rebound.	24-35	 
13:45	Andrew Andrews made Free Throw.	25-35	 
13:27	 	25-35	Olaf Schaftenaar missed Layup.
13:27	Quevyn Winters Defensive Rebound.	25-35	 
13:13	Quevyn Winters missed Three Point Jumper.	25-35	 
13:13	 	25-35	Langston Morris-Walker Defensive Rebound.
12:14	 	25-37	Malcolm Duvivier made Layup.
11:50	 	25-37	Foul on Daniel Gomis.
11:50	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:44	Nigel Williams-Goss Turnover.	25-37	 
11:43	 	25-37	Gary Payton II Steal.
11:41	 	25-39	Gary Payton II made Layup.
11:31	Darin Johnson made Layup. Assisted by Quevyn Winters.	27-39	 
11:02	 	27-39	Langston Morris-Walker missed Three Point Jumper.
11:02	Quevyn Winters Defensive Rebound.	27-39	 
10:54	Nigel Williams-Goss missed Layup.	27-39	 
10:54	 	27-39	Langston Morris-Walker Block.
10:53	 	27-39	Gary Payton II Defensive Rebound.
10:45	Foul on Darin Johnson.	27-39	 
10:45	 	27-40	Malcolm Duvivier made Free Throw.
10:45	 	27-41	Malcolm Duvivier made Free Throw.
10:34	Nigel Williams-Goss missed Layup.	27-41	 
10:34	 	27-41	Cheikh N'diaye Block.
10:34	Washington Offensive Rebound.	27-41	 
10:18	Shawn Kemp Jr. made Layup. Assisted by Andrew Andrews.	29-41	 
9:55	 	29-43	Malcolm Duvivier made Layup. Assisted by Langston Morris-Walker.
9:45	Quevyn Winters missed Layup.	29-43	 
9:45	 	29-43	Olaf Schaftenaar Block.
9:45	Washington Offensive Rebound.	29-43	 
9:41	Nigel Williams-Goss made Jumper. Assisted by Mike Anderson.	31-43	 
9:15	 	31-43	Langston Morris-Walker missed Layup.
9:15	 	31-43	Cheikh N'diaye Offensive Rebound.
9:13	 	31-43	Cheikh N'diaye missed Two Point Tip Shot.
9:13	Darin Johnson Defensive Rebound.	31-43	 
9:06	Nigel Williams-Goss missed Layup.	31-43	 
9:06	 	31-43	Gary Payton II Block.
9:06	Washington Offensive Rebound.	31-43	 
8:59	Shawn Kemp Jr. made Layup. Assisted by Nigel Williams-Goss.	33-43	 
8:42	 	33-43	Foul on Malcolm Duvivier.
8:42	 	33-43	Malcolm Duvivier Turnover.
8:27	Nigel Williams-Goss Turnover.	33-43	 
7:58	 	33-43	Malcolm Duvivier Turnover.
7:58	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:23	Andrew Andrews missed Three Point Jumper.	33-43	 
7:23	 	33-43	Jarmal Reid Defensive Rebound.
6:58	 	33-43	Malcolm Duvivier missed Layup.
6:58	 	33-43	Cheikh N'diaye Offensive Rebound.
6:56	 	33-45	Cheikh N'diaye made Layup.
6:41	Mike Anderson made Three Point Jumper. Assisted by Nigel Williams-Goss.	36-45	 
6:14	 	36-47	Jarmal Reid made Jumper. Assisted by Langston Morris-Walker.
5:57	Nigel Williams-Goss made Layup.	38-47	 
5:30	 	38-49	Jarmal Reid made Jumper. Assisted by Gary Payton II.
5:24	Shawn Kemp Jr. missed Dunk.	38-49	 
5:24	Andrew Andrews Offensive Rebound.	38-49	 
5:19	 	38-49	Foul on Cheikh N'diaye.
5:19	Andrew Andrews made Free Throw.	39-49	 
5:19	Andrew Andrews made Free Throw.	40-49	 
4:51	 	40-49	Malcolm Duvivier Turnover.
