time	away	score	home
20:00	 	0-0	Jump Ball won by Missouri
19:44	Foul on Alandise Harris.	0-0	 
19:29	 	0-0	Wes Clark missed Jumper.
19:29	Bobby Portis Defensive Rebound.	0-0	 
19:21	Alandise Harris made Layup.	2-0	 
18:48	 	2-0	Keanau Post missed Layup.
18:48	 	2-0	Johnathan Williams III Offensive Rebound.
18:38	 	2-2	Johnathan Williams III made Layup.
18:29	Bobby Portis made Jumper. Assisted by Alandise Harris.	4-2	 
18:05	 	4-4	Johnathan Williams III made Jumper.
17:49	Michael Qualls missed Three Point Jumper.	4-4	 
17:49	 	4-4	Keanau Post Defensive Rebound.
17:37	 	4-4	Johnathan Williams III missed Three Point Jumper.
17:37	Alandise Harris Defensive Rebound.	4-4	 
17:26	Michael Qualls made Dunk. Assisted by Rashad Madden.	6-4	 
17:04	 	6-4	Keith Shamburger missed Three Point Jumper.
17:04	Rashad Madden Defensive Rebound.	6-4	 
16:52	 	6-4	Foul on Keith Shamburger.
16:52	Michael Qualls missed Free Throw.	6-4	 
16:52	Arkansas Deadball Team Rebound.	6-4	 
16:52	Michael Qualls made Free Throw.	7-4	 
16:18	 	7-7	Johnathan Williams III made Three Point Jumper. Assisted by Namon Wright.
16:01	Bobby Portis made Jumper. Assisted by Michael Qualls.	9-7	 
15:28	 	9-7	Namon Wright missed Three Point Jumper.
15:28	Rashad Madden Defensive Rebound.	9-7	 
15:15	Anthlon Bell missed Jumper.	9-7	 
15:15	 	9-7	Johnathan Williams III Block.
15:15	 	9-7	Wes Clark Defensive Rebound.
15:14	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:42	Foul on Anthlon Bell.	9-7	 
14:42	 	9-8	D'Angelo Allen made Free Throw.
14:42	 	9-9	D'Angelo Allen made Free Throw.
14:29	Alandise Harris made Jumper.	11-9	 
14:10	 	11-9	Keith Shamburger Turnover.
14:10	Michael Qualls Steal.	11-9	 
14:03	Anton Beard made Layup. Assisted by Michael Qualls.	13-9	 
13:36	 	13-9	Montaque Gill-Caesar missed Jumper.
13:36	Anton Beard Defensive Rebound.	13-9	 
13:19	Bobby Portis missed Jumper.	13-9	 
13:19	 	13-9	D'Angelo Allen Defensive Rebound.
13:06	 	13-9	D'Angelo Allen missed Jumper.
13:06	Bobby Portis Defensive Rebound.	13-9	 
12:51	Bobby Portis missed Jumper.	13-9	 
12:51	Alandise Harris Offensive Rebound.	13-9	 
12:46	Alandise Harris made Layup.	15-9	 
12:37	 	15-9	Johnathan Williams III missed Jumper.
12:37	 	15-9	Missouri Offensive Rebound.
12:31	Foul on Jacorey Williams.	15-9	 
12:18	 	15-12	Montaque Gill-Caesar made Three Point Jumper. Assisted by Wes Clark.
11:44	Jabril Durham made Three Point Jumper.	18-12	 
11:35	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:35	Foul on Jabril Durham.	18-12	 
11:00	 	18-12	Wes Clark Turnover.
10:34	Jacorey Williams missed Jumper.	18-12	 
10:29	 	18-12	Missouri Defensive Rebound.
10:00	 	18-14	Keith Shamburger made Jumper.
9:39	Anton Beard made Three Point Jumper. Assisted by Jacorey Williams.	21-14	 
9:19	 	21-16	Johnathan Williams III made Jumper. Assisted by Keith Shamburger.
9:04	Anton Beard missed Three Point Jumper.	21-16	 
9:04	 	21-16	Wes Clark Defensive Rebound.
8:54	Foul on Moses Kingsley.	21-16	 
8:52	 	21-16	Keanau Post Turnover.
8:52	Jacorey Williams Steal.	21-16	 
8:37	Moses Kingsley missed Jumper.	21-16	 
8:37	 	21-16	Wes Clark Defensive Rebound.
8:18	 	21-16	Keanau Post missed Jumper.
8:18	 	21-16	Foul on Johnathan Williams III.
8:18	Alandise Harris Defensive Rebound.	21-16	 
7:45	Alandise Harris missed Jumper.	21-16	 
7:45	 	21-16	Johnathan Williams III Defensive Rebound.
7:32	 	21-16	Johnathan Williams III missed Jumper.
7:32	Arkansas Defensive Rebound.	21-16	 
7:26	 	21-16	Foul on Keanau Post.
7:26	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:08	Anthlon Bell made Three Point Jumper. Assisted by Bobby Portis.	24-16	 
6:39	 	24-16	Namon Wright missed Three Point Jumper.
6:39	Rashad Madden Defensive Rebound.	24-16	 
6:32	Michael Qualls missed Jumper.	24-16	 
6:32	 	24-16	Namon Wright Defensive Rebound.
6:12	 	24-19	Namon Wright made Three Point Jumper. Assisted by Wes Clark.
6:00	Rashad Madden missed Three Point Jumper.	24-19	 
6:00	Michael Qualls Offensive Rebound.	24-19	 
5:50	Bobby Portis made Jumper. Assisted by Rashad Madden.	26-19	 
5:27	 	26-19	Wes Clark missed Three Point Jumper.
5:27	 	26-19	Johnathan Williams III Offensive Rebound.
5:21	 	26-21	Johnathan Williams III made Layup.
5:09	Anthlon Bell missed Three Point Jumper.	26-21	 
5:09	 	26-21	Johnathan Williams III Defensive Rebound.
5:01	Foul on Rashad Madden.	26-21	 
4:34	 	26-24	Keith Shamburger made Three Point Jumper. Assisted by Tramaine Isabell.
4:21	Bobby Portis missed Jumper.	26-24	 
4:21	 	26-24	Montaque Gill-Caesar Defensive Rebound.
4:13	 	26-26	Montaque Gill-Caesar made Layup.
3:57	Rashad Madden missed Three Point Jumper.	26-26	 
3:57	 	26-26	Tramaine Isabell Defensive Rebound.
3:29	 	26-26	Tramaine Isabell missed Three Point Jumper.
3:29	 	26-26	Tramaine Isabell Offensive Rebound.
3:22	 	26-26	Johnathan Williams III missed Jumper.
3:22	 	26-26	D'Angelo Allen Offensive Rebound.
3:10	 	26-26	D'Angelo Allen missed Jumper.
3:10	 	26-26	Johnathan Williams III Offensive Rebound.
3:10	 	26-26	Johnathan Williams III missed Layup.
3:10	 	26-26	Montaque Gill-Caesar Offensive Rebound.
3:10	 	26-26	Montaque Gill-Caesar missed Layup.
3:10	Bobby Portis Defensive Rebound.	26-26	 
3:04	Anthlon Bell made Jumper. Assisted by Rashad Madden.	28-26	 
