time	away	score	home
19:31	Savon Goodman missed Layup.	0-0	 
19:31	 	0-0	Shawn Kemp Jr. Defensive Rebound.
19:08	 	0-0	Mike Anderson missed Three Point Jumper.
19:08	Gerry Blakes Defensive Rebound.	0-0	 
18:45	 	0-0	Foul on Donaven Dorsey.
18:45	Savon Goodman missed Free Throw.	0-0	 
18:45	Arizona St Deadball Team Rebound.	0-0	 
18:45	Savon Goodman made Free Throw.	1-0	 
18:35	 	1-0	Nigel Williams-Goss missed Three Point Jumper.
18:35	Eric Jacobsen Defensive Rebound.	1-0	 
18:19	Shaquielle McKissic missed Jumper.	1-0	 
18:19	 	1-0	Washington Defensive Rebound.
18:00	 	1-0	Shawn Kemp Jr. missed Jumper.
18:00	Shaquielle McKissic Defensive Rebound.	1-0	 
17:41	Foul on Gerry Blakes.	1-0	 
17:41	Gerry Blakes Turnover.	1-0	 
17:16	 	1-3	Donaven Dorsey made Three Point Jumper. Assisted by Mike Anderson.
17:04	Gerry Blakes Turnover.	1-3	 
16:42	 	1-3	Nigel Williams-Goss Turnover.
16:37	Shaquielle McKissic made Layup. Assisted by Gerry Blakes.	3-3	 
16:15	 	3-3	Shawn Kemp Jr. missed Jumper.
16:15	Gerry Blakes Defensive Rebound.	3-3	 
15:55	Eric Jacobsen missed Jumper.	3-3	 
15:55	 	3-3	Shawn Kemp Jr. Block.
15:53	 	3-3	Donaven Dorsey Defensive Rebound.
15:46	 	3-3	Donaven Dorsey missed Three Point Jumper.
15:46	Eric Jacobsen Defensive Rebound.	3-3	 
15:39	 	3-3	Foul on Andrew Andrews.
15:39	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:31	 	3-3	Foul on Andrew Andrews.
15:06	Eric Jacobsen made Jumper.	5-3	 
14:41	 	5-3	Mike Anderson missed Three Point Jumper.
14:41	Gerry Blakes Defensive Rebound.	5-3	 
14:30	Gerry Blakes made Jumper.	7-3	 
14:14	 	7-3	Nigel Williams-Goss missed Jumper.
14:14	 	7-3	Nigel Williams-Goss Offensive Rebound.
13:59	 	7-5	Andrew Andrews made Jumper.
13:53	Shaquielle McKissic missed Three Point Jumper.	7-5	 
13:53	 	7-5	Shawn Kemp Jr. Defensive Rebound.
13:43	 	7-5	Mike Anderson missed Jumper.
13:43	Gerry Blakes Defensive Rebound.	7-5	 
13:30	Eric Jacobsen made Jumper. Assisted by Gerry Blakes.	9-5	 
13:01	 	9-5	Andrew Andrews missed Jumper.
13:01	 	9-5	Nigel Williams-Goss Offensive Rebound.
12:51	 	9-5	Nigel Williams-Goss missed Jumper.
12:51	 	9-5	Shawn Kemp Jr. Offensive Rebound.
12:45	 	9-5	Shawn Kemp Jr. missed Layup.
12:45	Eric Jacobsen Defensive Rebound.	9-5	 
12:37	Tra Holder made Jumper.	11-5	 
12:30	Foul on Gerry Blakes.	11-5	 
12:30	 	11-5	Andrew Andrews missed Free Throw.
12:30	 	11-5	Washington Deadball Team Rebound.
12:30	 	11-6	Andrew Andrews made Free Throw.
12:18	Jonathan Gilling missed Three Point Jumper.	11-6	 
12:18	 	11-6	Washington Defensive Rebound.
11:56	 	11-8	Nigel Williams-Goss made Jumper.
11:41	 	11-8	Foul on Gilles Dierickx.
11:41	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:41	Savon Goodman made Free Throw.	12-8	 
11:41	Savon Goodman missed Free Throw.	12-8	 
11:41	 	12-8	Nigel Williams-Goss Defensive Rebound.
11:13	 	12-8	Quevyn Winters missed Three Point Jumper.
11:13	Roosevelt Scott Defensive Rebound.	12-8	 
10:54	 	12-8	Foul on Gilles Dierickx.
10:54	Savon Goodman made Free Throw.	13-8	 
10:54	Savon Goodman missed Free Throw.	13-8	 
10:54	 	13-8	Washington Defensive Rebound.
10:34	Foul on Chance Murray.	13-8	 
10:34	 	13-9	Darin Johnson made Free Throw.
10:34	 	13-10	Darin Johnson made Free Throw.
10:20	Shaquielle McKissic Turnover.	13-10	 
10:07	Foul on Tra Holder.	13-10	 
10:03	 	13-10	Nigel Williams-Goss missed Jumper.
10:03	Savon Goodman Defensive Rebound.	13-10	 
9:30	Foul on Tra Holder.	13-10	 
9:30	Tra Holder Turnover.	13-10	 
9:05	 	13-10	Nigel Williams-Goss missed Jumper.
9:05	Eric Jacobsen Defensive Rebound.	13-10	 
8:57	Savon Goodman missed Jumper.	13-10	 
8:57	Chance Murray Offensive Rebound.	13-10	 
8:54	Savon Goodman missed Layup.	13-10	 
8:54	Savon Goodman Offensive Rebound.	13-10	 
8:51	Savon Goodman made Layup.	15-10	 
8:39	 	15-10	Darin Johnson missed Three Point Jumper.
8:39	Roosevelt Scott Defensive Rebound.	15-10	 
8:26	Shaquielle McKissic missed Layup.	15-10	 
8:26	Eric Jacobsen Offensive Rebound.	15-10	 
8:21	Eric Jacobsen missed Layup.	15-10	 
8:21	 	15-10	Shawn Kemp Jr. Block.
8:19	 	15-10	Shawn Kemp Jr. Defensive Rebound.
8:08	 	15-10	Foul on Quevyn Winters.
8:08	 	15-10	Quevyn Winters Turnover.
7:50	Savon Goodman Turnover.	15-10	 
7:50	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:33	 	15-12	Donaven Dorsey made Jumper.
7:09	Savon Goodman made Layup.	17-12	 
6:50	Washington  Timeout	Washington  Timeout	Washington  Timeout
6:30	 	17-15	Nigel Williams-Goss made Three Point Jumper.
6:07	Shaquielle McKissic missed Layup.	17-15	 
6:07	Savon Goodman Offensive Rebound.	17-15	 
6:05	Savon Goodman missed Layup.	17-15	 
6:05	 	17-15	Shawn Kemp Jr. Block.
6:02	 	17-15	Nigel Williams-Goss Defensive Rebound.
5:54	 	17-15	Mike Anderson Turnover.
5:50	 	17-15	Foul on Donaven Dorsey.
5:50	Roosevelt Scott missed Free Throw.	17-15	 
5:50	Arizona St Deadball Team Rebound.	17-15	 
5:50	Roosevelt Scott made Free Throw.	18-15	 
5:38	 	18-15	Donaven Dorsey missed Three Point Jumper.
5:38	 	18-15	Andrew Andrews Offensive Rebound.
