time	away	score	home
19:55	 	0-2	Patricio Garino made Dunk. Assisted by Kethan Savage.
19:26	Will Darley made Layup. Assisted by Jourdan Grant.	2-2	 
18:50	 	2-4	Kethan Savage made Jumper.
18:37	Foul on Cody Joyce.	2-4	 
18:37	Cody Joyce Turnover.	2-4	 
18:16	 	2-4	Joe McDonald missed Three Point Jumper.
18:16	Cody Joyce Defensive Rebound.	2-4	 
17:59	Aaron Morgan Turnover.	2-4	 
17:44	 	2-4	Patricio Garino Turnover.
17:43	Cody Joyce Steal.	2-4	 
17:37	Will Darley missed Layup.	2-4	 
17:37	 	2-4	Kevin Larsen Defensive Rebound.
17:30	 	2-6	Joe McDonald made Jumper.
17:08	Wayne Sparrow missed Layup.	2-6	 
17:08	 	2-6	Patricio Garino Defensive Rebound.
17:08	Foul on Cody Joyce.	2-6	 
16:47	 	2-8	Kevin Larsen made Layup.
16:47	UMBC  Timeout	UMBC  Timeout	UMBC  Timeout
16:36	Will Darley made Jumper. Assisted by Aaron Morgan.	4-8	 
16:19	 	4-8	Kethan Savage missed Layup.
16:19	 	4-8	Kevin Larsen Offensive Rebound.
16:16	 	4-10	Kevin Larsen made Dunk.
15:51	Wayne Sparrow missed Layup.	4-10	 
15:51	Aaron Morgan Offensive Rebound.	4-10	 
15:46	Aaron Morgan made Three Point Jumper.	7-10	 
15:35	Foul on Aaron Morgan.	7-10	 
15:35	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:35	 	7-11	Kethan Savage made Free Throw.
15:35	 	7-12	Kethan Savage made Free Throw.
15:28	Will Darley missed Layup.	7-12	 
15:28	 	7-12	Darian Bryant Defensive Rebound.
15:20	 	7-12	Kevin Larsen missed Layup.
15:20	Will Darley Block.	7-12	 
15:18	 	7-12	Kevin Larsen Offensive Rebound.
15:17	 	7-14	Kevin Larsen made Layup.
14:54	Devarick Houston Turnover.	7-14	 
14:53	 	7-14	Darian Bryant Steal.
14:49	 	7-16	Darian Bryant made Layup.
14:42	Devarick Houston missed Dunk.	7-16	 
14:42	 	7-16	Yuta Watanabe Block.
14:38	Devarick Houston Offensive Rebound.	7-16	 
14:32	Devarick Houston made Layup.	9-16	 
14:20	 	9-16	Yuta Watanabe missed Jumper.
14:20	Devarick Houston Block.	9-16	 
14:18	 	9-16	Yuta Watanabe Offensive Rebound.
14:16	 	9-16	Foul on Yuta Watanabe.
14:16	 	9-16	Yuta Watanabe Turnover.
13:58	Devarick Houston missed Three Point Jumper.	9-16	 
13:58	 	9-16	Kethan Savage Defensive Rebound.
13:24	 	9-19	Darian Bryant made Three Point Jumper. Assisted by Kethan Savage.
13:00	Will Darley missed Jumper.	9-19	 
13:00	 	9-19	Ryan McCoy Block.
12:59	 	9-19	Yuta Watanabe Defensive Rebound.
12:52	 	9-21	Patricio Garino made Jumper. Assisted by Darian Bryant.
12:52	Foul on Devarick Houston.	9-21	 
