time	away	score	home
19:38	 	0-0	Kellen Dunham Turnover.
19:36	Shaun Lawton Steal.	0-0	 
19:36	Shaun Lawton Steal.	0-0	 
19:34	Shaun Lawton made Layup.	2-0	 
19:34	Shaun Lawton made Layup.	2-0	 
19:18	 	2-3	Alex Barlow made Three Point Jumper. Assisted by Roosevelt Jones.
19:18	 	2-3	Alex Barlow made Three Point Jumper. Assisted by Roosevelt Jones.
18:51	Ethan Mackey Turnover.	2-3	 
18:51	Ethan Mackey Turnover.	2-3	 
18:37	 	2-3	Kellen Dunham missed Three Point Jumper.
18:37	 	2-3	Butler Offensive Rebound.
18:33	 	2-3	Roosevelt Jones missed Jumper.
18:33	 	2-3	Roosevelt Jones missed Jumper.
18:33	Zarko Valjarevic Defensive Rebound.	2-3	 
18:33	Zarko Valjarevic Defensive Rebound.	2-3	 
18:21	Shaun Lawton Turnover.	2-3	 
18:07	 	2-3	Kellen Dunham missed Jumper.
18:07	 	2-3	Kellen Dunham missed Jumper.
18:07	Shaun Lawton Defensive Rebound.	2-3	 
18:07	Shaun Lawton Defensive Rebound.	2-3	 
17:45	Zarko Valjarevic missed Jumper.	2-3	 
17:45	 	2-3	Butler Deadball Team Rebound.
17:43	Foul on Ethan Mackey.	2-3	 
17:43	Foul on Ethan Mackey.	2-3	 
17:30	 	2-5	Roosevelt Jones made Layup.
17:06	Ethan Mackey made Jumper. Assisted by Shaun Lawton.	4-5	 
17:06	Ethan Mackey made Jumper. Assisted by Shaun Lawton.	4-5	 
16:48	 	4-7	Andrew Chrabascz made Layup. Assisted by Roosevelt Jones.
16:20	Foul on Ethan Mackey.	4-7	 
16:20	Ethan Mackey Turnover.	4-7	 
16:07	 	4-9	Roosevelt Jones made Layup. Assisted by Alex Barlow.
15:57	 	4-9	Foul on Roosevelt Jones.
15:57	 	4-9	Foul on Roosevelt Jones.
15:57	Official TV Timeout	Official TV Timeout	Official TV Timeout
15:41	Aaron Calixte Turnover.	4-9	 
15:40	 	4-9	Roosevelt Jones Steal.
15:40	 	4-9	Roosevelt Jones Steal.
15:38	 	4-11	Roosevelt Jones made Layup.
15:19	 	4-11	Foul on Andrew Chrabascz.
15:18	Aaron Calixte Turnover.	4-11	 
15:16	 	4-11	Andrew Chrabascz Steal.
15:16	 	4-11	Andrew Chrabascz Steal.
14:50	 	4-13	Tyler Wideman made Layup. Assisted by Kameron Woods.
14:29	 	4-13	Foul on Tyler Wideman.
14:29	 	4-13	Foul on Tyler Wideman.
14:13	Till Gloger Turnover.	4-13	 
13:48	 	4-16	Alex Barlow made Three Point Jumper. Assisted by Roosevelt Jones.
13:35	Kevin Little made Jumper.	6-16	 
13:24	 	6-18	Kelan Martin made Layup. Assisted by Kameron Woods.
13:24	 	6-18	Kelan Martin made Layup. Assisted by Kameron Woods.
13:17	Maine  Timeout	Maine  Timeout	Maine  Timeout
13:17	Maine  Timeout	Maine  Timeout	Maine  Timeout
13:04	Zarko Valjarevic missed Three Point Jumper.	6-18	 
13:04	Zarko Valjarevic missed Three Point Jumper.	6-18	 
13:04	 	6-18	Butler Defensive Rebound.
13:04	 	6-18	Butler Defensive Rebound.
12:44	 	6-18	Alex Barlow Turnover.
12:32	 	6-18	Foul on Alex Barlow.
12:18	Till Gloger made Layup. Assisted by Shaun Lawton.	8-18	 
12:06	 	8-18	Kelan Martin missed Three Point Jumper.
12:06	 	8-18	Austin Etherington Offensive Rebound.
12:06	 	8-18	Austin Etherington Offensive Rebound.
12:01	 	8-20	Austin Etherington made Layup.
11:55	Kevin Little Turnover.	8-20	 
11:55	Official TV Timeout	Official TV Timeout	Official TV Timeout
11:55	Official TV Timeout	Official TV Timeout	Official TV Timeout
11:42	 	8-20	Kellen Dunham Turnover.
11:26	Till Gloger missed Jumper.	8-20	 
11:26	Till Gloger Offensive Rebound.	8-20	 
11:26	Till Gloger Offensive Rebound.	8-20	 
11:13	 	8-20	Foul on Kelan Martin.
11:13	Aaron Calixte made Free Throw.	9-20	 
11:13	Aaron Calixte made Free Throw.	10-20	 
11:13	Aaron Calixte made Free Throw.	10-20	 
11:06	Foul on Garvey Melmed.	10-20	 
11:01	Foul on Marko Pirovic.	10-20	 
11:01	Foul on Marko Pirovic.	10-20	 
11:01	 	10-20	Kameron Woods missed Jumper.
11:01	 	10-20	Kameron Woods missed Jumper.
11:01	Marko Pirovic Defensive Rebound.	10-20	 
11:01	Marko Pirovic Defensive Rebound.	10-20	 
10:54	Marko Pirovic Turnover.	10-20	 
10:46	 	10-23	Kellen Dunham made Three Point Jumper. Assisted by Andrew Chrabascz.
10:30	Kevin Little missed Three Point Jumper.	10-23	 
10:30	Kevin Little missed Three Point Jumper.	10-23	 
10:30	 	10-23	Alex Barlow Defensive Rebound.
10:23	 	10-25	Roosevelt Jones made Layup. Assisted by Alex Barlow.
9:51	 	10-25	Foul on Alex Barlow.
9:51	 	10-25	Foul on Alex Barlow.
9:46	Kevin Little made Jumper.	12-25	 
9:34	 	12-25	Roosevelt Jones missed Jumper.
9:34	 	12-25	Roosevelt Jones missed Jumper.
9:34	Ethan Mackey Defensive Rebound.	12-25	 
9:23	Shaun Lawton made Layup. Assisted by Ethan Mackey.	14-25	 
9:23	Shaun Lawton made Layup. Assisted by Ethan Mackey.	14-25	 
9:11	 	14-27	Kameron Woods made Dunk. Assisted by Kelan Martin.
9:11	 	14-27	Kameron Woods made Dunk. Assisted by Kelan Martin.
8:51	Aaron Calixte made Jumper.	16-27	 
8:51	Aaron Calixte made Jumper.	16-27	 
8:36	 	16-27	Kellen Dunham missed Jumper.
8:36	Ethan Mackey Defensive Rebound.	16-27	 
