time	away	score	home
20:00	 	0-0	Jump Ball won by Villanova
19:57	Jump Ball won by Lehigh	0-0	 
19:49	 	0-0	Foul on Daniel Ochefu.
19:37	Jesse Chuku made Layup.	2-0	 
19:12	Foul on Tim Kempton.	2-0	 
19:09	 	2-0	Ryan Arcidiacono missed Jumper.
19:09	 	2-0	JayVaughn Pinkston Offensive Rebound.
19:01	Foul on Jesse Chuku.	2-0	 
18:59	 	2-0	Darrun Hilliard missed Jumper.
18:59	Tim Kempton Defensive Rebound.	2-0	 
18:46	Tim Kempton made Layup. Assisted by Kahron Ross.	4-0	 
18:31	Foul on Kahron Ross.	4-0	 
18:31	 	4-1	Ryan Arcidiacono made Free Throw.
18:31	 	4-2	Ryan Arcidiacono made Free Throw.
18:17	Tim Kempton made Jumper. Assisted by Jesse Chuku.	6-2	 
17:56	 	6-2	Darrun Hilliard missed Three Point Jumper.
17:56	Lehigh Defensive Rebound.	6-2	 
17:42	Lehigh  Turnover.	6-2	 
17:41	Lehigh  Timeout	Lehigh  Timeout	Lehigh  Timeout
17:30	 	6-2	Jump Ball won by Villanova
17:25	 	6-2	Darrun Hilliard missed Three Point Jumper.
17:25	Tim Kempton Defensive Rebound.	6-2	 
17:07	Jesse Chuku Turnover.	6-2	 
17:06	 	6-2	Dylan Ennis Turnover.
17:03	Austin Price missed Jumper.	6-2	 
17:03	 	6-2	Daniel Ochefu Defensive Rebound.
16:52	 	6-2	Ryan Arcidiacono missed Layup.
16:52	Jesse Chuku Defensive Rebound.	6-2	 
16:43	Kahron Ross Turnover.	6-2	 
16:43	 	6-2	Ryan Arcidiacono Steal.
16:41	 	6-2	Darrun Hilliard missed Three Point Jumper.
16:41	Tim Kempton Defensive Rebound.	6-2	 
16:40	Austin Price Turnover.	6-2	 
16:40	 	6-2	Daniel Ochefu Steal.
16:24	 	6-4	Dylan Ennis made Dunk. Assisted by JayVaughn Pinkston.
15:50	Corey Schaefer made Jumper.	8-4	 
15:29	 	8-4	Dylan Ennis missed Three Point Jumper.
15:29	Jesse Chuku Defensive Rebound.	8-4	 
15:16	Kahron Ross made Layup.	10-4	 
14:55	Foul on Kahron Ross.	10-4	 
14:55	Official TV Timeout	Official TV Timeout	Official TV Timeout
14:55	 	10-4	Ryan Arcidiacono missed Free Throw.
14:55	 	10-4	Villanova Deadball Team Rebound.
14:55	 	10-5	Ryan Arcidiacono made Free Throw.
14:55	 	10-6	Ryan Arcidiacono made Free Throw.
14:30	Tim Kempton missed Layup.	10-6	 
14:30	 	10-6	JayVaughn Pinkston Defensive Rebound.
14:21	 	10-6	JayVaughn Pinkston missed Layup.
14:21	Justin Goldsborough Block.	10-6	 
14:21	Corey Schaefer Defensive Rebound.	10-6	 
14:08	Austin Price made Layup. Assisted by Corey Schaefer.	12-6	 
14:06	 	12-6	Ryan Arcidiacono Turnover.
14:06	Austin Price Steal.	12-6	 
14:05	 	12-6	Foul on Darrun Hilliard.
13:51	Austin Price missed Three Point Jumper.	12-6	 
13:47	 	12-6	JayVaughn Pinkston Defensive Rebound.
13:41	 	12-6	Darrun Hilliard missed Three Point Jumper.
13:41	 	12-6	Dylan Ennis Offensive Rebound.
13:39	 	12-9	Ryan Arcidiacono made Three Point Jumper. Assisted by Dylan Ennis.
13:23	Tim Kempton missed Jumper.	12-9	 
13:23	 	12-9	Ryan Arcidiacono Defensive Rebound.
13:15	 	12-9	Dylan Ennis missed Three Point Jumper.
13:14	 	12-9	Villanova Defensive Rebound.
13:14	 	12-9	Ryan Arcidiacono missed Three Point Jumper.
13:14	Jesse Chuku Defensive Rebound.	12-9	 
13:11	Austin Price made Jumper. Assisted by Miles Simelton.	14-9	 
12:38	 	14-12	Kris Jenkins made Three Point Jumper. Assisted by Dylan Ennis.
12:25	Miles Simelton Turnover.	14-12	 
12:11	 	14-12	Ryan Arcidiacono missed Three Point Jumper.
12:11	 	14-12	Dylan Ennis Offensive Rebound.
12:04	 	14-12	Ryan Arcidiacono missed Three Point Jumper.
12:04	 	14-12	Daniel Ochefu Offensive Rebound.
11:57	 	14-14	Daniel Ochefu made Layup.
11:34	Austin Price made Three Point Jumper.	17-14	 
11:08	 	17-14	Dylan Ennis missed Three Point Jumper.
11:08	 	17-14	Ryan Arcidiacono Offensive Rebound.
11:01	 	17-14	Kris Jenkins missed Three Point Jumper.
11:01	Jesse Chuku Block.	17-14	 
11:01	Justin Goldsborough Defensive Rebound.	17-14	 
10:54	Justin Goldsborough Turnover.	17-14	 
10:45	Official TV Timeout	Official TV Timeout	Official TV Timeout
10:38	 	17-16	Darrun Hilliard made Jumper. Assisted by Ryan Arcidiacono.
10:23	Lehigh  Timeout	Lehigh  Timeout	Lehigh  Timeout
10:14	Jesse Chuku made Dunk. Assisted by Devon Carter.	19-16	 
9:59	 	19-16	Darrun Hilliard missed Jumper.
9:59	Tim Kempton Defensive Rebound.	19-16	 
9:47	Devon Carter missed Three Point Jumper.	19-16	 
9:47	 	19-16	Ryan Arcidiacono Defensive Rebound.
9:38	 	19-18	Darrun Hilliard made Layup. Assisted by Ryan Arcidiacono.
9:17	Foul on Jesse Chuku.	19-18	 
9:17	Jesse Chuku Turnover.	19-18	 
8:54	 	19-20	Josh Hart made Layup. Assisted by Darrun Hilliard.
8:40	 	19-20	Foul on Kris Jenkins.
8:40	Tim Kempton missed Free Throw.	19-20	 
8:40	Lehigh Deadball Team Rebound.	19-20	 
8:40	Tim Kempton made Free Throw.	20-20	 
8:31	 	20-20	Josh Hart missed Three Point Jumper.
8:31	 	20-20	Daniel Ochefu Offensive Rebound.
8:21	 	20-20	Kris Jenkins missed Three Point Jumper.
8:21	 	20-20	Josh Hart Offensive Rebound.
8:16	 	20-20	Darrun Hilliard missed Three Point Jumper.
8:16	Tim Kempton Defensive Rebound.	20-20	 
8:16	 	20-20	Foul on Daniel Ochefu.
8:06	Tim Kempton Turnover.	20-20	 
8:02	 	20-22	JayVaughn Pinkston made Jumper. Assisted by Darrun Hilliard.
7:46	Tim Kempton missed Layup.	20-22	 
7:46	 	20-22	Josh Hart Defensive Rebound.
7:35	 	20-22	JayVaughn Pinkston missed Jumper.
7:35	Devon Carter Defensive Rebound.	20-22	 
7:25	Kahron Ross made Jumper.	22-22	 
7:25	Foul on Kahron Ross.	22-22	 
7:25	Official TV Timeout	Official TV Timeout	Official TV Timeout
7:15	 	22-22	Kris Jenkins missed Three Point Jumper.
7:15	Miles Simelton Defensive Rebound.	22-22	 
7:05	Stefan Cvrkalj missed Three Point Jumper.	22-22	 
7:05	Justin Goldsborough Offensive Rebound.	22-22	 
6:57	Tim Kempton made Layup. Assisted by Justin Goldsborough.	24-22	 
6:43	 	24-22	Phil Booth missed Three Point Jumper.
6:43	Justin Goldsborough Defensive Rebound.	24-22	 
6:21	Tim Kempton made Jumper.	26-22	 
5:50	 	26-22	JayVaughn Pinkston missed Jumper.
5:49	Corey Schaefer Defensive Rebound.	26-22	 
5:37	Tim Kempton Turnover.	26-22	 
5:37	 	26-22	Ryan Arcidiacono Steal.
5:23	 	26-22	Ryan Arcidiacono missed Three Point Jumper.
5:23	Justin Goldsborough Defensive Rebound.	26-22	 
5:07	Miles Simelton made Jumper.	28-22	 
5:07	Villanova  Timeout	Villanova  Timeout	Villanova  Timeout
4:54	 	28-24	Josh Hart made Layup. Assisted by Dylan Ennis.
4:29	Tim Kempton missed Jumper.	28-24	 
4:29	 	28-24	Ryan Arcidiacono Defensive Rebound.
4:18	 	28-24	Dylan Ennis missed Three Point Jumper.
4:18	Miles Simelton Defensive Rebound.	28-24	 
4:04	Miles Simelton missed Three Point Jumper.	28-24	 
4:04	 	28-24	Ryan Arcidiacono Defensive Rebound.
3:45	 	28-24	Ryan Arcidiacono missed Three Point Jumper.
3:45	 	28-24	Josh Hart Offensive Rebound.
3:36	 	28-27	Dylan Ennis made Three Point Jumper. Assisted by Darrun Hilliard.
3:19	Stefan Cvrkalj missed Three Point Jumper.	28-27	 
3:19	 	28-27	Josh Hart Defensive Rebound.
3:08	Foul on Stefan Cvrkalj.	28-27	 
3:08	Official TV Timeout	Official TV Timeout	Official TV Timeout
3:08	 	28-27	Dylan Ennis missed Free Throw.
3:08	 	28-27	Villanova Deadball Team Rebound.
3:08	 	28-28	Dylan Ennis made Free Throw.
2:49	Corey Schaefer Turnover.	28-28	 
