time	away	score	home
20:00	 	0-0	Jump Ball won by Utah
19:45	 	0-0	Jordan Loveridge missed Jumper.
19:45	Ball State Defensive Rebound.	0-0	 
19:15	Sean Sellers Turnover.	0-0	 
19:15	 	0-3	Brandon Taylor made Three Point Jumper. Assisted by Delon Wright.
18:46	Bik Gill missed Three Point Jumper.	0-3	 
18:46	 	0-3	Utah Defensive Rebound.
18:31	 	0-5	Jakob Poeltl made Jumper. Assisted by Delon Wright.
18:19	Zavier Turner Turnover.	0-5	 
18:19	 	0-5	Brandon Taylor Steal.
18:14	 	0-7	Jakob Poeltl made Dunk. Assisted by Jordan Loveridge.
18:11	Ball State  Timeout	Ball State  Timeout	Ball State  Timeout
17:46	Matt Kamieniecki missed Layup.	0-7	 
17:46	 	0-7	Chris Reyes Defensive Rebound.
17:38	 	0-9	Jordan Loveridge made Layup.
17:28	Sean Sellers made Three Point Jumper. Assisted by Jeremie Tyler.	3-9	 
17:14	 	3-11	Chris Reyes made Jumper. Assisted by Delon Wright.
16:53	Bik Gill missed Jumper.	3-11	 
16:53	 	3-11	Chris Reyes Block.
16:53	Bik Gill Offensive Rebound.	3-11	 
16:53	 	3-11	Foul on Chris Reyes.
16:53	Bik Gill made Free Throw.	4-11	 
16:53	Bik Gill made Free Throw.	5-11	 
16:44	Foul on Matt Kamieniecki.	5-11	 
16:19	 	5-13	Jakob Poeltl made Layup. Assisted by Chris Reyes.
16:19	Foul on Zavier Turner.	5-13	 
16:19	 	5-13	Jakob Poeltl missed Free Throw.
16:19	Sean Sellers Defensive Rebound.	5-13	 
16:00	Sean Sellers missed Layup.	5-13	 
16:00	 	5-13	Jakob Poeltl Defensive Rebound.
15:51	 	5-13	Jordan Loveridge missed Layup.
15:51	 	5-13	Jakob Poeltl Offensive Rebound.
15:51	 	5-15	Jakob Poeltl made Two Point Tip Shot.
15:37	Foul on Rocco Belcaster.	5-15	 
15:37	Rocco Belcaster Turnover.	5-15	 
15:37	Official TV Timeout	Official TV Timeout	Official TV Timeout
15:19	 	5-15	Jordan Loveridge missed Layup.
15:19	 	5-15	Jakob Poeltl Offensive Rebound.
14:54	 	5-15	Foul on Delon Wright.
14:54	 	5-15	Delon Wright Turnover.
14:44	Jeremie Tyler made Three Point Jumper. Assisted by Franko House.	8-15	 
14:07	 	8-18	Brandon Taylor made Three Point Jumper. Assisted by Delon Wright.
13:43	 	8-18	Foul on Jordan Loveridge.
13:32	Franko House missed Jumper.	8-18	 
13:32	Franko House Offensive Rebound.	8-18	 
13:23	Jeremie Tyler missed Three Point Jumper.	8-18	 
13:23	Rocco Belcaster Offensive Rebound.	8-18	 
13:05	Zavier Turner missed Layup.	8-18	 
13:05	 	8-18	Brekkott Chapman Defensive Rebound.
13:01	Foul on Franko House.	8-18	 
12:45	Foul on Franko House.	8-18	 
12:32	 	8-20	Kenneth Ogbe made Dunk.
12:18	Sean Sellers made Jumper.	10-20	 
12:04	Foul on Matt Kamieniecki.	10-20	 
12:04	 	10-20	Delon Wright missed Free Throw.
12:04	 	10-20	Utah Deadball Team Rebound.
12:04	 	10-21	Delon Wright made Free Throw.
11:59	 	10-21	Foul on Brandon Taylor.
11:59	Official TV Timeout	Official TV Timeout	Official TV Timeout
11:28	Zavier Turner Turnover.	10-21	 
11:28	 	10-21	Chris Reyes Steal.
11:07	 	10-21	Kenneth Ogbe missed Jumper.
11:07	 	10-21	Jakob Poeltl Offensive Rebound.
11:03	Foul on Bo Calhoun.	10-21	 
11:03	 	10-21	Jakob Poeltl missed Free Throw.
11:03	Ball State Defensive Rebound.	10-21	 
10:48	Sean Sellers missed Three Point Jumper.	10-21	 
10:48	 	10-21	Chris Reyes Defensive Rebound.
10:28	Foul on Zavier Turner.	10-21	 
10:28	 	10-21	Brandon Taylor missed Free Throw.
10:28	 	10-21	Utah Deadball Team Rebound.
10:28	 	10-21	Foul on Jordan Loveridge.
10:28	 	10-21	Jordan Loveridge Turnover.
10:10	Zavier Turner made Layup. Assisted by Bo Calhoun.	12-21	 
9:39	Foul on Bo Calhoun.	12-21	 
9:39	 	12-21	Jakob Poeltl missed Free Throw.
9:39	 	12-21	Utah Deadball Team Rebound.
9:39	 	12-21	Jakob Poeltl missed Free Throw.
9:39	Ball State Defensive Rebound.	12-21	 
9:32	Zavier Turner Turnover.	12-21	 
9:32	 	12-21	Chris Reyes Steal.
9:26	Foul on Rocco Belcaster.	12-21	 
9:26	 	12-22	Chris Reyes made Free Throw.
9:26	 	12-23	Chris Reyes made Free Throw.
9:14	 	12-23	Jordan Loveridge Turnover.
8:58	Jeremie Tyler missed Jumper.	12-23	 
8:58	 	12-23	Delon Wright Block.
8:58	Bo Calhoun Offensive Rebound.	12-23	 
8:53	Bo Calhoun Turnover.	12-23	 
8:49	 	12-25	Delon Wright made Layup.
8:36	Zavier Turner made Three Point Jumper.	15-25	 
8:19	 	15-27	Jordan Loveridge made Layup. Assisted by Brandon Taylor.
8:07	Bo Calhoun missed Jumper.	15-27	 
8:07	 	15-27	Delon Wright Defensive Rebound.
7:54	 	15-27	Foul on Delon Wright.
7:54	 	15-27	Delon Wright Turnover.
7:54	Official TV Timeout	Official TV Timeout	Official TV Timeout
7:41	Zavier Turner made Jumper.	17-27	 
7:27	 	17-27	Brandon Taylor Turnover.
7:27	Sean Sellers Steal.	17-27	 
7:15	Zavier Turner made Three Point Jumper.	20-27	 
6:56	Foul on Rocco Belcaster.	20-27	 
6:56	 	20-28	Jordan Loveridge made Free Throw.
6:56	 	20-29	Jordan Loveridge made Free Throw.
6:40	Foul on Bo Calhoun.	20-29	 
6:40	Bo Calhoun Turnover.	20-29	 
6:25	 	20-31	Dallin Bachynski made Jumper.
6:10	 	20-31	Foul on Jordan Loveridge.
5:55	Matt Kamieniecki missed Jumper.	20-31	 
5:55	 	20-31	Dallin Bachynski Defensive Rebound.
5:21	 	20-31	Dallin Bachynski missed Jumper.
5:21	Matt Kamieniecki Defensive Rebound.	20-31	 
5:05	Matt Kamieniecki made Layup. Assisted by Franko House.	22-31	 
5:05	 	22-31	Foul on Dallin Bachynski.
5:05	Matt Kamieniecki made Free Throw.	23-31	 
4:50	 	23-31	Brekkott Chapman Turnover.
4:35	Jeremie Tyler missed Layup.	23-31	 
4:35	 	23-31	Brekkott Chapman Defensive Rebound.
4:26	Foul on Jeremie Tyler.	23-31	 
4:26	 	23-31	Kenneth Ogbe missed Free Throw.
4:26	 	23-31	Utah Deadball Team Rebound.
