Date	GameID	HomeTeam	HomeRank	HomeRecord	AwayTeam	AwayRank	AwayRecord
2014-11-25	400587791	FSU		(2-3, 2-1 home)	The Citadel		(2-3, 0-1 away)
2014-11-25	400587792	Charlotte		(3-2, 0-1 home)	Miami (FL)	(17)	(6-0, 2-0 away)
2014-11-25	400608515	San Diego State	(15)	(5-0, 3-0 home)	Pitt		(3-2, 1-1 away)
2014-11-26	400587794	Butler		(4-0, 3-0 home)	UNC	(5)	(3-1, 0-0 away)
2014-11-26	400587795	Duke	(4)	(6-0, 3-0 home)	Furman		(1-3, 0-1 away)
2014-11-26	400587798	Louisville	(6)	(5-0, 4-0 home)	Cleveland State		(2-3, 0-3 away)
2014-11-26	400587796	Notre Dame		(5-1, 4-0 home)	Grambling St		(1-4, 0-4 away)
2014-11-26	400587797	Wake Forest		(4-2, 3-1 home)	Mt St Mary's		(1-3, 1-2 away)
2014-11-26	400587799	NC State		(5-0, 5-0 home)	Richmond		(2-2, 0-2 away)
2014-11-26	400608747	Pitt		(4-2, 2-0 home)	Kansas State		(3-3, 0-1 away)
2014-11-27	400608758	UCLA	(22)	(4-2, 4-0 home)	UNC	(5)	(4-1, 0-0 away)
2014-11-27	400587800	Georgia Tech		(3-1, 3-0 home)	Marquette		(3-2, 0-1 away)
2014-11-28	400587803	FSU		(3-3, 3-1 home)	Charleston So		(3-2, 1-1 away)
2014-11-28	400608905	Georgia Tech		(4-1, 3-0 home)	Rider		(2-4, 1-2 away)
2014-11-28	400587804	Miami (FL)	(17)	(7-0, 2-0 home)	South Alabama		(1-3, 0-3 away)
2014-11-28	400587065	Syracuse		(5-1, 4-0 home)	Holy Cross		(3-1, 0-1 away)
2014-11-28	400587801	Clemson		(4-2, 2-1 home)	High Point		(4-2, 1-2 away)
2014-11-28	400587805	NC State		(6-0, 6-0 home)	Boise State		(4-2, 1-2 away)
2014-11-28	400587806	Wake Forest		(4-3, 3-2 home)	Delaware State		(3-3, 2-3 away)
2014-11-28	400608907	Florida	(18)	(3-3, 2-1 home)	UNC	(5)	(5-1, 0-0 away)
2014-11-29	400587807	Notre Dame		(6-1, 5-0 home)	Chicago State		(2-6, 0-4 away)
2014-11-29	400609058	Rutgers		(3-3, 2-2 home)	UVA	(8)	(7-0, 1-0 away)
2014-11-30	400587070	Duke	(4)	(7-0, 4-0 home)	Army		(5-1, 2-1 away)
2014-11-30	400587808	VT		(4-2, 3-1 home)	Morgan State		(1-6, 0-4 away)
2014-11-30	400609015	Georgia Tech		(5-1, 3-0 home)	URI		(4-2, 0-0 away)
2014-12-01	400586157	Boston College		(3-3, 2-0 home)	Marist		(1-5, 0-2 away)
2014-12-01	400587809	Clemson		(4-3, 2-2 home)	Rutgers		(4-3, 1-0 away)
2014-12-01	400587810	FSU		(3-4, 3-2 home)	Nebraska		(5-1, 1-1 away)
2014-12-02	400587811	Indiana		(6-1, 6-1 home)	Pitt		(4-3, 1-2 away)
2014-12-02	400587812	Wake Forest		(4-4, 3-3 home)	Minnesota		(5-2, 1-0 away)
2014-12-02	400587813	Michigan	(17)	(6-1, 5-0 home)	Syracuse		(5-2, 0-1 away)
2014-12-02	400587814	Miami (FL)	(15)	(8-0, 3-0 home)	Illinois	(24)	(6-1, 0-1 away)
2014-12-02	400587815	Purdue		(6-1, 4-0 home)	NC State		(6-1, 0-1 away)
2014-12-02	400587816	Louisville	(5)	(6-0, 5-0 home)	OSU	(14)	(5-1, 0-1 away)
2014-12-03	400587817	Notre Dame		(7-1, 6-0 home)	Michigan State	(19)	(5-3, 1-1 away)
2014-12-03	400587818	Penn State		(7-1, 4-0 home)	VT		(4-3, 0-1 away)
2014-12-03	400587819	UNC	(12)	(5-2, 2-1 home)	Iowa		(6-2, 1-0 away)
2014-12-03	400587821	Maryland	(21)	(7-1, 5-1 home)	UVA	(7)	(8-0, 2-0 away)
2014-12-03	400587820	Northwestern		(5-2, 3-1 home)	Georgia Tech		(6-1, 1-0 away)
2014-12-03	400587822	Wisconsin	(2)	(7-1, 4-1 home)	Duke	(4)	(8-0, 1-0 away)
2014-12-05	400587824	Louisville	(5)	(7-0, 6-0 home)	FIU		(5-4, 1-3 away)
2014-12-05	400587823	Boston College		(4-3, 3-0 home)	Providence		(6-2, 0-2 away)
2014-12-05	400587825	Pitt		(5-3, 2-0 home)	Duquesne		(3-2, 1-0 away)
2014-12-06	400587827	Georgia Tech		(6-2, 3-1 home)	USC Upstate		(8-2, 2-1 away)
2014-12-06	400587826	VCU		(5-3, 2-1 home)	UVA	(7)	(9-0, 3-0 away)
2014-12-06	400587831	Miami (FL)	(15)	(8-1, 3-1 home)	Green Bay		(6-2, 1-2 away)
2014-12-06	400586715	FSU		(4-4, 4-2 home)	UCF		(5-2, 0-1 away)
2014-12-06	400587828	Syracuse		(5-3, 4-1 home)	St John's		(6-1, 1-0 away)
2014-12-06	400587830	NC State		(7-1, 1-0 ACC)	Wake Forest		(4-5, 0-1 ACC)
