Game_id,Date,HomeTeam,HomeRank,HomeRecord,AwayTeam,AwayRank,AwayRecord
400587787,2014-11-23,Notre Dame,,"(4-1, 3-0 home)",Providence,,"(5-0, 0-0 away)"
400586685,2014-11-23,NC State,,"(4-0, 4-0 home)",USF,,"(3-1, 1-1 away)"
400608188,2014-11-23,Boston College,,"(2-3, 1-0 home)",Dayton,,"(3-1, 0-0 away)"
400608191,2014-11-23,Charlotte,,"(3-1, 0-0 home)",Miami (FL),,"(5-0, 1-0 away)"
400608309,2014-11-24,LSU,,"(3-2, 2-0 home)",Clemson,,"(3-2, 0-0 away)"
400587790,2014-11-24,Louisville,(6),"(4-0, 3-0 home)",Savannah State,,"(2-3, 0-3 away)"
400587788,2014-11-24,Wake Forest,,"(3-2, 2-1 home)",Nicholls State,,"(0-3, 0-3 away)"
400587789,2014-11-24,Chaminade,, ,Pitt,,"(3-1, 1-1 away)"
400587793,2014-11-25,UVA,(8),"(5-0, 4-0 home)",Tennessee St,,"(2-3, 0-2 away)"
400587059,2014-11-25,Syracuse,,"(4-1, 3-0 home)",Loyola (MD),,"(2-3, 0-3 away)"
400587791,2014-11-25,FSU,,"(2-3, 2-1 home)",The Citadel,,"(2-3, 0-1 away)"
400587792,2014-11-25,Charlotte,,"(3-2, 0-1 home)",Miami (FL),(17),"(6-0, 2-0 away)"
400608515,2014-11-25,San Diego State,(15),"(5-0, 3-0 home)",Pitt,,"(3-2, 1-1 away)"
400587794,2014-11-26,Butler,,"(4-0, 3-0 home)",UNC,(5),"(3-1, 0-0 away)"
400587795,2014-11-26,Duke,(4),"(6-0, 3-0 home)",Furman,,"(1-3, 0-1 away)"
400587798,2014-11-26,Louisville,(6),"(5-0, 4-0 home)",Cleveland State,,"(2-3, 0-3 away)"
400587796,2014-11-26,Notre Dame,,"(5-1, 4-0 home)",Grambling St,,"(1-4, 0-4 away)"
400587797,2014-11-26,Wake Forest,,"(4-2, 3-1 home)",Mt St Mary's,,"(1-3, 1-2 away)"
400587799,2014-11-26,NC State,,"(5-0, 5-0 home)",Richmond,,"(2-2, 0-2 away)"
400608747,2014-11-26,Pitt,,"(4-2, 2-0 home)",Kansas State,,"(3-3, 0-1 away)"
400608758,2014-11-27,UCLA,(22),"(4-2, 4-0 home)",UNC,(5),"(4-1, 0-0 away)"
400587800,2014-11-27,Georgia Tech,,"(3-1, 3-0 home)",Marquette,,"(3-2, 0-1 away)"
400587803,2014-11-28,FSU,,"(3-3, 3-1 home)",Charleston So,,"(3-2, 1-1 away)"
400608905,2014-11-28,Georgia Tech,,"(4-1, 3-0 home)",Rider,,"(2-4, 1-2 away)"
400587804,2014-11-28,Miami (FL),(17),"(7-0, 2-0 home)",South Alabama,,"(1-3, 0-3 away)"
400587065,2014-11-28,Syracuse,,"(5-1, 4-0 home)",Holy Cross,,"(3-1, 0-1 away)"
400587801,2014-11-28,Clemson,,"(4-2, 2-1 home)",High Point,,"(4-2, 1-2 away)"
400587805,2014-11-28,NC State,,"(6-0, 6-0 home)",Boise State,,"(4-2, 1-2 away)"
400587806,2014-11-28,Wake Forest,,"(4-3, 3-2 home)",Delaware State,,"(3-3, 2-3 away)"
400608907,2014-11-28,Florida,(18),"(3-3, 2-1 home)",UNC,(5),"(5-1, 0-0 away)"
400587807,2014-11-29,Notre Dame,,"(6-1, 5-0 home)",Chicago State,,"(2-6, 0-4 away)"
400609058,2014-11-29,Rutgers,,"(3-3, 2-2 home)",UVA,(8),"(7-0, 1-0 away)"
