,Game_id,Date,HomeTeam,HomeRank,AwayTeam,AwayRank,Wins_Home,Losses_Home,Win Percent,Wins_Visitor,Losses_Visitor,Visitor Win Percentage
75,400587803,11/28/14,FSU,NR,Charleston So,NR,3,3,[0.5],3,2,[0.6]
77,400587804,11/28/14,Miami (FL),17,South Alabama,NR,7,0,[1.0],1,3,[0.25]
80,400587805,11/28/14,NC State,NR,Boise State,NR,6,0,[1.0],4,2,[0.6666666666666666]
81,400587806,11/28/14,Wake Forest,NR,Delaware State,NR,4,3,[0.5714285714285714],3,3,[0.5]
83,400587807,11/29/14,Notre Dame,NR,Chicago State,NR,6,1,[0.8571428571428571],2,6,[0.25]
86,400587808,11/30/14,VT,NR,Morgan State,NR,4,2,[0.6666666666666666],1,6,[0.14285714285714285]
89,400587809,12/1/14,Clemson,NR,Rutgers,NR,4,3,[0.5714285714285714],4,3,[0.5714285714285714]
90,400587810,12/1/14,FSU,NR,Nebraska,NR,3,4,[0.42857142857142855],5,1,[0.8333333333333334]
91,400587811,12/2/14,Indiana,NR,Pitt,NR,6,1,[0.8571428571428571],4,3,[0.5714285714285714]
92,400587812,12/2/14,Wake Forest,NR,Minnesota,NR,4,4,[0.5],5,2,[0.7142857142857143]
93,400587813,12/2/14,Michigan,17,Syracuse,NR,6,1,[0.8571428571428571],5,2,[0.7142857142857143]
94,400587814,12/2/14,Miami (FL),15,Illinois,24,8,0,[1.0],6,1,[0.8571428571428571]
95,400587815,12/2/14,Purdue,NR,NC State,NR,6,1,[0.8571428571428571],6,1,[0.8571428571428571]
96,400587816,12/2/14,Louisville,5,OSU,14,6,0,[1.0],5,1,[0.8333333333333334]
97,400587817,12/3/14,Notre Dame,NR,Michigan State,19,7,1,[0.875],5,3,[0.625]
98,400587818,12/3/14,Penn State,NR,VT,NR,7,1,[0.875],4,3,[0.5714285714285714]
99,400587819,12/3/14,UNC,12,Iowa,NR,5,2,[0.7142857142857143],6,2,[0.75]
101,400587820,12/3/14,Northwestern,NR,Georgia Tech,NR,5,2,[0.7142857142857143],6,1,[0.8571428571428571]
100,400587821,12/3/14,Maryland,21,UVA,7,7,1,[0.875],8,0,[1.0]
102,400587822,12/3/14,Wisconsin,2,Duke,4,7,1,[0.875],8,0,[1.0]
104,400587823,12/5/14,Boston College,NR,Providence,NR,4,3,[0.5714285714285714],6,2,[0.75]
103,400587824,12/5/14,Louisville,5,FIU,NR,7,0,[1.0],5,4,[0.5555555555555556]
105,400587825,12/5/14,Pitt,NR,Duquesne,NR,5,3,[0.625],3,2,[0.6]
107,400587826,12/6/14,VCU,NR,UVA,7,5,3,[0.625],9,0,[1.0]
106,400587827,12/6/14,Georgia Tech,NR,USC Upstate,NR,6,2,[0.75],8,2,[0.8]
110,400587828,12/6/14,Syracuse,NR,St John's,NR,5,3,[0.625],6,1,[0.8571428571428571]
112,400587829,12/6/14,Notre Dame,NR,Fair Dickinson,NR,8,1,[0.8888888888888888],3,4,[0.42857142857142855]
111,400587830,12/6/14,NC State,NR,Wake Forest,NR,7,1,[0.875],4,5,[0.4444444444444444]
108,400587831,12/6/14,Miami (FL),15,Green Bay,NR,8,1,[0.8888888888888888],6,2,[0.75]
115,400587832,12/7/14,Clemson,NR,Arkansas,18,5,3,[0.625],6,2,[0.75]
114,400587833,12/7/14,VT,NR,Radford,NR,4,4,[0.5],5,3,[0.625]
116,400587834,12/8/14,Miami (FL),20,Savannah State,NR,9,1,[0.9],3,7,[0.3]
117,400587835,12/9/14,Notre Dame,25,Mt St Mary's,NR,9,1,[0.9],2,5,[0.2857142857142857]
118,400587836,12/9/14,Louisville,4,Indiana,NR,8,0,[1.0],7,2,[0.7777777777777778]
119,400587837,12/11/14,Boston College,NR,Maine,NR,5,3,[0.625],1,8,[0.1111111111111111]
120,400587838,12/12/14,NC State,NR,Charleston So,NR,8,1,[0.8888888888888888],5,3,[0.625]
121,400587839,12/13/14,Kentucky,1,UNC,21,11,0,[1.0],6,3,[0.6666666666666666]
122,400587840,12/13/14,Pitt,NR,St Bonaventure,NR,6,3,[0.6666666666666666],6,2,[0.75]
123,400587841,12/13/14,Notre Dame,25,FSU,NR,10,1,[0.9090909090909091],4,5,[0.4444444444444444]
126,400587842,12/14/14,Syracuse,NR,LA Tech,NR,6,3,[0.6666666666666666],7,3,[0.7]
129,400587843,12/14/14,Louisville,4,UNC-Wilmington,NR,9,0,[1.0],3,3,[0.5]
130,400587844,12/14/14,Wake Forest,NR,Samford,NR,5,5,[0.5],3,8,[0.2727272727272727]
124,400587845,12/14/14,Boston College,NR,Binghamton,NR,6,3,[0.6666666666666666],1,11,[0.08333333333333333]
127,400587846,12/14/14,Clemson,NR,Auburn,NR,6,3,[0.6666666666666666],3,5,[0.375]
128,400587847,12/14/14,NC State,NR,Wofford,NR,8,2,[0.8],8,2,[0.8]
125,400587848,12/14/14,VT,NR,Alabama A&M,NR,5,4,[0.5555555555555556],1,6,[0.14285714285714285]
131,400587849,12/15/14,Duke,2,Elon,NR,9,0,[1.0],5,5,[0.5]
132,400587850,12/15/14,Georgia Tech,NR,Appalachian St,NR,7,2,[0.7777777777777778],3,4,[0.42857142857142855]
133,400587851,12/16/14,UNC Greensboro,NR,UNC,24,4,7,[0.36363636363636365],7,3,[0.7]
135,400587852,12/17/14,NC State,NR,Tennessee,NR,9,2,[0.8181818181818182],4,4,[0.5]
136,400587853,12/17/14,FSU,NR,North Florida,NR,5,5,[0.5],6,5,[0.5454545454545454]
137,400587854,12/18/14,UVA,6,Cleveland State,NR,10,0,[1.0],5,6,[0.45454545454545453]
140,400587855,12/19/14,South Carolina,NR,Clemson,NR,6,3,[0.6666666666666666],6,4,[0.6]
139,400587856,12/19/14,Miami (FL),18,E Kentucky,NR,9,2,[0.8181818181818182],6,4,[0.6]
143,400587857,12/20/14,UNC,24,OSU,12,8,3,[0.7272727272727273],9,2,[0.8181818181818182]
148,400587858,12/20/14,Florida,NR,Wake Forest,NR,7,4,[0.6363636363636364],5,6,[0.45454545454545453]
149,400587859,12/20/14,Notre Dame,21,Purdue,NR,11,1,[0.9166666666666666],8,4,[0.6666666666666666]
146,400587860,12/20/14,Georgia Tech,NR,Vanderbilt,NR,8,2,[0.8],7,3,[0.7]
141,400587861,12/20/14,W Kentucky,NR,Louisville,4,5,5,[0.5],10,0,[1.0]
147,400587862,12/20/14,Pitt,NR,Oakland,NR,8,3,[0.7272727272727273],4,8,[0.3333333333333333]
142,400587863,12/20/14,Villanova,7,Syracuse,NR,11,0,[1.0],6,4,[0.6]
144,400587864,12/20/14,VT,NR,The Citadel,NR,6,4,[0.6],4,6,[0.4]
151,400587865,12/21/14,UVA,6,Harvard,NR,11,0,[1.0],7,2,[0.7777777777777778]
152,400587866,12/21/14,Boston College,NR,USC,NR,6,4,[0.6],7,4,[0.6363636363636364]
157,400587867,12/22/14,Clemson,NR,Oakland,NR,7,4,[0.6363636363636364],4,9,[0.3076923076923077]
153,400587868,12/22/14,FSU,NR,Stetson,NR,7,5,[0.5833333333333334],3,10,[0.23076923076923078]
159,400587869,12/22/14,Providence,NR,Miami (FL),NR,10,3,[0.7692307692307693],9,3,[0.75]
158,400587870,12/22/14,VT,NR,VMI,NR,7,4,[0.6363636363636364],5,7,[0.4166666666666667]
163,400587871,12/23/14,Dayton,NR,Georgia Tech,NR,9,2,[0.8181818181818182],8,3,[0.7272727272727273]
160,400587872,12/23/14,Louisville,4,CS Northridge,NR,11,0,[1.0],3,10,[0.23076923076923078]
162,400587873,12/23/14,NC State,NR,LA Tech,NR,10,3,[0.7692307692307693],8,4,[0.6666666666666666]
164,400587874,12/27/14,Louisville,4,Kentucky,1,11,1,[0.9166666666666666],13,0,[1.0]
165,400587875,12/27/14,UNC,20,UAB,NR,9,3,[0.75],4,9,[0.3076923076923077]
166,400587876,12/27/14,VT,NR,Presbyterian,NR,8,4,[0.6666666666666666],4,9,[0.3076923076923077]
167,400587877,12/28/14,Syracuse,NR,LBSU,NR,8,4,[0.6666666666666666],5,9,[0.35714285714285715]
168,400587878,12/28/14,Richmond,NR,Wake Forest,NR,7,5,[0.5833333333333334],7,6,[0.5384615384615384]
169,400587879,12/29/14,Boston College,NR,UMass Lowell,NR,7,4,[0.6363636363636364],6,6,[0.5]
174,400587880,12/30/14,UVA,3,Davidson,NR,12,0,[1.0],9,2,[0.8181818181818182]
176,400587881,12/30/14,Clemson,NR,Robert Morris,NR,8,4,[0.6666666666666666],4,8,[0.3333333333333333]
177,400587882,12/30/14,FSU,NR,Florida,NR,8,5,[0.6153846153846154],7,5,[0.5833333333333334]
178,400587883,12/30/14,Georgia Tech,NR,Charlotte,NR,9,3,[0.75],6,6,[0.5]
180,400587884,12/30/14,Notre Dame,14,Hartford,NR,13,1,[0.9285714285714286],7,6,[0.5384615384615384]
172,400587885,12/30/14,Louisville,5,LBSU,NR,12,1,[0.9230769230769231],5,10,[0.3333333333333333]
179,400587886,12/30/14,Miami (FL),NR,Charleston,NR,10,3,[0.7692307692307693],5,8,[0.38461538461538464]
175,400587887,12/30/14,UNC,19,William & Mary,NR,10,3,[0.7692307692307693],6,5,[0.5454545454545454]
181,400587888,12/30/14,Pitt,NR,FGCU,NR,10,3,[0.7692307692307693],9,5,[0.6428571428571429]
183,400587889,12/31/14,Duke,2,Wofford,NR,12,0,[1.0],9,4,[0.6923076923076923]
182,400587890,12/31/14,Wake Forest,NR,Princeton,NR,8,6,[0.5714285714285714],5,9,[0.35714285714285715]
184,400587891,12/31/14,Syracuse,NR,Cornell,NR,9,4,[0.6923076923076923],6,7,[0.46153846153846156]
185,400587892,1/2/15,Miss St,NR,FSU,NR,7,6,[0.5384615384615384],8,6,[0.5714285714285714]
186,400587893,1/3/15,NC State,NR,Pitt,NR,11,4,[0.7333333333333333],10,4,[0.7142857142857143]
188,400587894,1/3/15,Notre Dame,14,Georgia Tech,NR,14,1,[0.9333333333333333],9,4,[0.6923076923076923]
190,400587895,1/3/15,Miami (FL),NR,UVA,3,10,4,[0.7142857142857143],13,0,[1.0]
191,400587896,1/3/15,Clemson,NR,UNC,19,8,5,[0.6153846153846154],11,3,[0.7857142857142857]
189,400587897,1/3/15,Duke,2,Boston College,NR,13,0,[1.0],7,5,[0.5833333333333334]
187,400587898,1/3/15,VT,NR,Syracuse,NR,8,6,[0.5714285714285714],10,4,[0.7142857142857143]
192,400587899,1/4/15,Wake Forest,NR,Louisville,5,8,7,[0.5333333333333333],13,1,[0.9285714285714286]
193,400587900,1/5/15,UNC,18,Notre Dame,13,11,4,[0.7333333333333333],15,1,[0.9375]
194,400587901,1/6/15,FSU,NR,VT,NR,9,6,[0.6],8,7,[0.5333333333333333]
195,400587902,1/6/15,Boston College,NR,Pitt,NR,7,6,[0.5384615384615384],11,4,[0.7333333333333333]
197,400587903,1/7/15,Georgia Tech,NR,Syracuse,NR,9,5,[0.6428571428571429],11,4,[0.7333333333333333]
196,400587904,1/7/15,UVA,3,NC State,NR,14,0,[1.0],11,5,[0.6875]
199,400587905,1/7/15,Louisville,5,Clemson,NR,14,1,[0.9333333333333333],8,6,[0.5714285714285714]
198,400587906,1/7/15,Wake Forest,NR,Duke,2,8,8,[0.5],14,0,[1.0]
202,400587907,1/10/15,UNC,18,Louisville,5,12,4,[0.75],14,2,[0.875]
204,400587908,1/10/15,Notre Dame,13,UVA,3,15,2,[0.8823529411764706],15,0,[1.0]
203,400587909,1/10/15,Miami (FL),NR,Boston College,NR,11,4,[0.7333333333333333],7,7,[0.5]
200,400587910,1/10/15,Wake Forest,NR,Georgia Tech,NR,9,8,[0.5294117647058824],9,6,[0.6]
201,400587911,1/10/15,Pitt,NR,Clemson,NR,11,5,[0.6875],9,6,[0.6]
205,400587912,1/11/15,NC State,NR,Duke,2,12,5,[0.7058823529411765],14,1,[0.9333333333333333]
206,400587913,1/11/15,Syracuse,NR,FSU,NR,12,4,[0.75],9,7,[0.5625]
207,400587914,1/13/15,Louisville,6,VT,NR,15,2,[0.8823529411764706],8,8,[0.5]
208,400587915,1/13/15,UVA,2,Clemson,NR,16,0,[1.0],9,7,[0.5625]
209,400587916,1/13/15,Syracuse,NR,Wake Forest,NR,13,4,[0.7647058823529411],9,9,[0.5]
210,400587917,1/13/15,Duke,4,Miami (FL),NR,14,2,[0.875],12,4,[0.75]
211,400587918,1/14/15,Georgia Tech,NR,Notre Dame,12,9,7,[0.5625],16,2,[0.8888888888888888]
212,400587919,1/14/15,NC State,NR,UNC,15,12,6,[0.6666666666666666],13,4,[0.7647058823529411]
213,400587921,1/14/15,Pitt,NR,FSU,NR,12,5,[0.7058823529411765],9,8,[0.5294117647058824]
214,400587922,1/17/15,Louisville,6,Duke,4,15,3,[0.8333333333333334],15,2,[0.8823529411764706]
215,400587923,1/17/15,FSU,NR,NC State,NR,9,9,[0.5],13,6,[0.6842105263157895]
217,400587924,1/17/15,Notre Dame,12,Miami (FL),NR,17,2,[0.8947368421052632],12,5,[0.7058823529411765]
216,400587925,1/17/15,Boston College,NR,UVA,2,8,8,[0.5],17,0,[1.0]
218,400587926,1/17/15,Pitt,NR,Georgia Tech,NR,13,5,[0.7222222222222222],9,8,[0.5294117647058824]
219,400587927,1/17/15,Clemson,NR,Syracuse,NR,10,7,[0.5882352941176471],13,5,[0.7222222222222222]
220,400587928,1/18/15,UNC,15,VT,NR,14,4,[0.7777777777777778],8,9,[0.47058823529411764]
221,400587929,1/19/15,Duke,5,Pitt,NR,16,2,[0.8888888888888888],13,6,[0.6842105263157895]
222,400587930,1/19/15,Clemson,NR,FSU,NR,10,8,[0.5555555555555556],10,9,[0.5263157894736842]
223,400587931,1/20/15,Syracuse,NR,Boston College,NR,14,5,[0.7368421052631579],8,9,[0.47058823529411764]
224,400587932,1/21/15,Wake Forest,NR,UNC,15,9,10,[0.47368421052631576],15,4,[0.7894736842105263]
225,400587933,1/22/15,VT,NR,Notre Dame,8,8,10,[0.4444444444444444],18,2,[0.9]
226,400587934,1/22/15,UVA,2,Georgia Tech,NR,18,0,[1.0],9,9,[0.5]
227,400587935,1/22/15,Miami (FL),NR,NC State,NR,13,5,[0.7222222222222222],13,7,[0.65]
228,400587937,1/24/15,UNC,15,FSU,NR,16,4,[0.8],10,10,[0.5]
229,400587938,1/24/15,Syracuse,NR,Miami (FL),NR,14,6,[0.7],14,5,[0.7368421052631579]
231,400587939,1/25/15,Georgia Tech,NR,Boston College,NR,9,10,[0.47368421052631576],9,9,[0.5]
233,400587940,1/25/15,Pitt,NR,Louisville,10,13,7,[0.65],16,3,[0.8421052631578947]
230,400587941,1/25/15,VT,NR,UVA,2,8,11,[0.42105263157894735],19,0,[1.0]
234,400587942,1/25/15,NC State,NR,Notre Dame,8,13,8,[0.6190476190476191],19,2,[0.9047619047619048]
232,400587943,1/25/15,St John's,NR,Duke,5,13,6,[0.6842105263157895],17,2,[0.8947368421052632]
235,400587944,1/26/15,UNC,13,Syracuse,NR,17,4,[0.8095238095238095],14,7,[0.6666666666666666]
236,400587945,1/27/15,VT,NR,Pitt,NR,9,11,[0.45],13,8,[0.6190476190476191]
237,400587946,1/28/15,FSU,NR,Wake Forest,NR,11,10,[0.5238095238095238],9,12,[0.42857142857142855]
238,400587947,1/28/15,Notre Dame,8,Duke,4,20,2,[0.9090909090909091],17,3,[0.85]
241,400587948,1/28/15,NC State,NR,Clemson,NR,13,9,[0.5909090909090909],12,8,[0.6]
239,400587949,1/28/15,Boston College,NR,Louisville,10,9,10,[0.47368421052631576],17,3,[0.85]
240,400587950,1/28/15,Miami (FL),23,Georgia Tech,NR,14,6,[0.7],10,10,[0.5]
242,400587952,1/31/15,Pitt,NR,Notre Dame,8,14,8,[0.6363636363636364],20,3,[0.8695652173913043]
243,400587953,1/31/15,Clemson,NR,Boston College,NR,13,8,[0.6190476190476191],9,11,[0.45]
244,400587954,1/31/15,Wake Forest,NR,VT,NR,10,12,[0.45454545454545453],9,12,[0.42857142857142855]
246,400587955,1/31/15,UVA,2,Duke,4,19,1,[0.95],18,3,[0.8571428571428571]
245,400587956,1/31/15,Louisville,10,UNC,13,18,3,[0.8571428571428571],17,5,[0.7727272727272727]
247,400587957,2/1/15,FSU,NR,Miami (FL),23,12,10,[0.5454545454545454],14,7,[0.6666666666666666]
249,400587958,2/2/15,Pitt,NR,Bryant,NR,15,8,[0.6521739130434783],10,11,[0.47619047619047616]
248,400587959,2/2/15,UNC,12,UVA,3,17,6,[0.7391304347826086],20,1,[0.9523809523809523]
250,400587960,2/3/15,Miami (FL),NR,Louisville,9,14,8,[0.6363636363636364],19,3,[0.8636363636363636]
251,400587961,2/3/15,Wake Forest,NR,NC State,NR,11,12,[0.4782608695652174],14,10,[0.5833333333333334]
252,400587962,2/3/15,Syracuse,NR,VT,NR,15,7,[0.6818181818181818],9,13,[0.4090909090909091]
253,400587963,2/4/15,Duke,4,Georgia Tech,NR,19,3,[0.8636363636363636],10,12,[0.45454545454545453]
254,400587964,2/4/15,Notre Dame,10,Boston College,NR,21,3,[0.875],9,12,[0.42857142857142855]
255,400587965,2/4/15,FSU,NR,Clemson,NR,12,11,[0.5217391304347826],14,8,[0.6363636363636364]
256,400587967,2/7/15,Duke,4,Notre Dame,10,20,3,[0.8695652173913043],21,4,[0.84]
258,400587968,2/7/15,VT,NR,FSU,NR,9,14,[0.391304347826087],13,11,[0.5416666666666666]
257,400587969,2/7/15,Boston College,NR,UNC,12,9,13,[0.4090909090909091],18,6,[0.75]
259,400587970,2/7/15,Pitt,NR,Syracuse,NR,16,8,[0.6666666666666666],15,8,[0.6521739130434783]
260,400587971,2/7/15,UVA,3,Louisville,9,21,1,[0.9545454545454546],19,4,[0.8260869565217391]
261,400587972,2/8/15,Miami (FL),NR,Clemson,NR,15,8,[0.6521739130434783],14,9,[0.6086956521739131]
262,400587973,2/9/15,FSU,NR,Duke,4,13,12,[0.52],21,3,[0.875]
263,400587974,2/9/15,VT,NR,Georgia Tech,NR,10,14,[0.4166666666666667],11,13,[0.4583333333333333]
264,400587975,2/10/15,Clemson,NR,Notre Dame,10,14,10,[0.5833333333333334],22,4,[0.8461538461538461]
265,400587976,2/11/15,Boston College,NR,Syracuse,NR,9,14,[0.391304347826087],16,8,[0.6666666666666666]
267,400587978,2/11/15,Louisville,9,Pitt,NR,20,4,[0.8333333333333334],16,9,[0.64]
266,400587979,2/11/15,NC State,NR,UVA,2,14,11,[0.56],22,1,[0.9565217391304348]
269,400587980,2/14/15,Clemson,NR,VT,NR,15,10,[0.6],10,15,[0.4]
271,400587981,2/14/15,Georgia Tech,NR,FSU,NR,11,14,[0.44],14,12,[0.5384615384615384]
275,400587983,2/16/15,UVA,2,Pitt,NR,24,1,[0.96],17,10,[0.6296296296296297]
276,400587984,2/16/15,Georgia Tech,NR,Clemson,NR,12,14,[0.46153846153846156],15,11,[0.5769230769230769]
277,400587985,2/17/15,Notre Dame,10,Wake Forest,NR,23,4,[0.8518518518518519],12,15,[0.4444444444444444]
278,400587986,2/18/15,Syracuse,NR,Louisville,12,17,9,[0.6538461538461539],20,6,[0.7692307692307693]
279,400587987,2/18/15,Miami (FL),NR,VT,NR,17,9,[0.6538461538461539],10,16,[0.38461538461538464]
281,400587988,2/18/15,FSU,NR,Boston College,NR,15,12,[0.5555555555555556],9,16,[0.36]
280,400587989,2/18/15,Duke,4,UNC,15,23,3,[0.8846153846153846],18,8,[0.6923076923076923]
283,400587990,2/21/15,Syracuse,NR,Pitt,NR,17,10,[0.6296296296296297],18,10,[0.6428571428571429]
282,400587991,2/21/15,UNC,15,Georgia Tech,NR,19,8,[0.7037037037037037],12,15,[0.4444444444444444]
284,400587992,2/21/15,Louisville,12,Miami (FL),NR,21,6,[0.7777777777777778],17,10,[0.6296296296296297]
286,400587993,2/21/15,Duke,4,Clemson,NR,24,3,[0.8888888888888888],15,12,[0.5555555555555556]
285,400587994,2/21/15,Boston College,NR,Notre Dame,10,9,17,[0.34615384615384615],24,4,[0.8571428571428571]
287,400587995,2/21/15,NC State,NR,VT,NR,16,11,[0.5925925925925926],10,17,[0.37037037037037035]
288,400587996,2/22/15,UVA,2,FSU,NR,25,1,[0.9615384615384616],15,13,[0.5357142857142857]
289,400587997,2/23/15,Georgia Tech,NR,Louisville,17,12,16,[0.42857142857142855],22,6,[0.7857142857142857]
291,400587998,2/24/15,UNC,15,NC State,NR,19,9,[0.6785714285714286],17,11,[0.6071428571428571]
290,400587999,2/24/15,Notre Dame,9,Syracuse,NR,24,5,[0.8275862068965517],18,10,[0.6428571428571429]
292,400588000,2/24/15,Pitt,NR,Boston College,NR,19,10,[0.6551724137931034],9,18,[0.3333333333333333]
293,400588001,2/25/15,Wake Forest,NR,UVA,2,12,16,[0.42857142857142855],26,1,[0.9629629629629629]
294,400588002,2/25/15,VT,NR,Duke,4,10,18,[0.35714285714285715],25,3,[0.8928571428571429]
295,400588003,2/25/15,Miami (FL),NR,FSU,NR,18,10,[0.6428571428571429],15,14,[0.5172413793103449]
297,400588004,2/28/15,Boston College,NR,NC State,NR,10,18,[0.35714285714285715],17,12,[0.5862068965517241]
298,400588005,2/28/15,Clemson,NR,Georgia Tech,NR,16,12,[0.5714285714285714],12,17,[0.41379310344827586]
299,400588006,2/28/15,Miami (FL),NR,UNC,15,18,11,[0.6206896551724138],20,9,[0.6896551724137931]
300,400588007,2/28/15,UVA,2,VT,NR,27,1,[0.9642857142857143],10,19,[0.3448275862068966]
296,400588008,2/28/15,FSU,NR,Louisville,17,15,15,[0.5],23,6,[0.7931034482758621]
301,400588009,2/28/15,Duke,4,Syracuse,NR,26,3,[0.896551724137931],18,11,[0.6206896551724138]
302,400588010,3/1/15,Wake Forest,NR,Pitt,NR,13,16,[0.4482758620689655],19,11,[0.6333333333333333]
303,400588011,3/2/15,Syracuse,NR,UVA,2,18,12,[0.6],28,1,[0.9655172413793104]
304,400588012,3/2/15,VT,NR,Boston College,NR,10,20,[0.3333333333333333],11,18,[0.3793103448275862]
305,400588013,3/3/15,Georgia Tech,NR,UNC,19,12,18,[0.4],21,9,[0.7]
306,400588014,3/3/15,Clemson,NR,NC State,NR,16,13,[0.5517241379310345],18,12,[0.6]
307,400588015,3/4/15,Louisville,16,Notre Dame,12,23,7,[0.7666666666666667],25,5,[0.8333333333333334]
309,400588016,3/4/15,Pitt,NR,Miami (FL),NR,19,12,[0.6129032258064516],19,11,[0.6333333333333333]
308,400588017,3/4/15,Duke,3,Wake Forest,NR,27,3,[0.9],13,17,[0.43333333333333335]
310,400588018,3/7/15,NC State,NR,Syracuse,NR,19,12,[0.6129032258064516],18,13,[0.5806451612903226]
312,400588020,3/7/15,Boston College,NR,Wake Forest,NR,12,18,[0.4],13,18,[0.41935483870967744]
313,400588021,3/7/15,Notre Dame,12,Clemson,NR,26,5,[0.8387096774193549],16,14,[0.5333333333333333]
315,400588022,3/7/15,UNC,19,Duke,3,21,10,[0.6774193548387096],28,3,[0.9032258064516129]
311,400588023,3/7/15,FSU,NR,Pitt,NR,16,15,[0.5161290322580645],19,13,[0.59375]
314,400588024,3/7/15,Louisville,16,UVA,2,24,7,[0.7741935483870968],28,2,[0.9333333333333333]
1724,400588321,11/14/14,Marquette,NR,UT Martin,NR,1,0,[1.0],0,1,[0.0]
1725,400588322,11/14/14,DePaul,NR,UIC,NR,1,0,[1.0],0,1,[0.0]
1726,400588324,11/15/14,Butler,NR,Maine,NR,1,0,[1.0],0,1,[0.0]
1727,400588325,11/15/14,Providence,NR,Albany,NR,1,0,[1.0],0,1,[0.0]
1728,400588326,11/16/14,Seton Hall,NR,Mercer,NR,1,0,[1.0],1,1,[0.5]
1729,400588327,11/16/14,Creighton,NR,Chicago State,NR,2,0,[1.0],0,2,[0.0]
1730,400588328,11/17/14,Villanova,12,MD-E Shore,NR,2,0,[1.0],0,2,[0.0]
1731,400588329,11/17/14,St John's,NR,Franklin Pierce,NR,2,0,[1.0], ,,[0.0]
1732,400588330,11/17/14,Providence,NR,Binghamton,NR,2,0,[1.0],0,2,[0.0]
1733,400588331,11/18/14,Xavier,NR,LBSU,NR,2,0,[1.0],1,2,[0.3333333333333333]
419,400588333,11/18/14,OSU,20,Marquette,NR,2,0,[1.0],1,1,[0.5]
1736,400588334,11/18/14,Butler,NR,Chattanooga,NR,2,0,[1.0],1,2,[0.3333333333333333]
1737,400588335,11/19/14,St John's,NR,LIU Brooklyn,NR,3,0,[1.0],0,1,[0.0]
1741,400588336,11/21/14,Nevada,NR,Seton Hall,NR,2,1,[0.6666666666666666],2,0,[1.0]
1742,400588337,11/21/14,Xavier,NR,SF Austin,NR,3,0,[1.0],1,2,[0.3333333333333333]
1749,400588340,11/24/14,Xavier,NR,Murray State,NR,4,0,[1.0],2,2,[0.5]
1025,400588341,11/24/14,VCU,14,Villanova,12,3,1,[0.75],4,0,[1.0]
1750,400588342,11/24/14,Marquette,NR,NJIT,NR,2,2,[0.5],1,4,[0.2]
1752,400588343,11/25/14,Creighton,23,E Illinois,NR,5,0,[1.0],1,4,[0.2]
456,400588344,11/26/14,Minnesota,NR,St John's,NR,3,2,[0.6],4,0,[1.0]
748,400588345,11/26/14,Florida,18,Georgetown,NR,2,2,[0.5],4,0,[1.0]
1764,400588346,11/28/14,Providence,NR,Yale,NR,6,0,[1.0],5,2,[0.7142857142857143]
1045,400588348,11/29/14,Seton Hall,NR,G Washington,NR,5,0,[1.0],3,2,[0.6]
762,400588349,11/30/14,Kentucky,1,Providence,NR,7,0,[1.0],6,1,[0.8571428571428571]
1322,400588350,11/30/14,DePaul,NR,Stanford,NR,3,1,[0.75],4,2,[0.6666666666666666]
1772,400588351,11/30/14,Villanova,12,Delaware,NR,6,0,[1.0],0,5,[0.0]
1775,400588352,12/2/14,Seton Hall,NR,Mt St Mary's,NR,6,0,[1.0],1,4,[0.2]
1060,400588353,12/3/14,La Salle,NR,Villanova,10,4,3,[0.5714285714285714],7,0,[1.0]
489,400588355,12/6/14,Seton Hall,NR,Rutgers,NR,7,0,[1.0],4,4,[0.5]
490,400588356,12/6/14,Marquette,NR,Wisconsin,2,4,4,[0.5],8,1,[0.8888888888888888]
1064,400588357,12/6/14,Villanova,10,Saint Joe's,NR,8,0,[1.0],4,4,[0.5]
496,400588358,12/6/14,Butler,23,Northwestern,NR,7,1,[0.875],5,3,[0.625]
1786,400588360,12/7/14,DePaul,NR,Milwaukee,NR,6,1,[0.8571428571428571],4,5,[0.4444444444444444]
499,400588361,12/7/14,Nebraska,NR,Creighton,NR,5,2,[0.7142857142857143],7,2,[0.7777777777777778]
1785,400588362,12/7/14,Georgetown,NR,Towson,NR,5,2,[0.7142857142857143],7,2,[0.7777777777777778]
1788,400588363,12/8/14,Butler,15,Kennesaw St,NR,8,1,[0.8888888888888888],3,7,[0.3]
1789,400588364,12/8/14,Providence,NR,Brown,NR,6,3,[0.6666666666666666],5,6,[0.45454545454545453]
502,400588365,12/9/14,Illinois,NR,Villanova,7,7,2,[0.7777777777777778],9,0,[1.0]
1077,400588366,12/10/14,Providence,NR,URI,NR,7,3,[0.7],5,3,[0.625]
1796,400588367,12/10/14,St John's,24,Fair Dickinson,NR,7,1,[0.875],3,5,[0.375]
1080,400588368,12/11/14,G Washington,NR,DePaul,NR,6,2,[0.75],6,2,[0.75]
1798,400588369,12/13/14,Georgetown,NR,Radford,NR,6,3,[0.6666666666666666],5,4,[0.5555555555555556]
1799,400588370,12/13/14,Providence,NR,Stony Brook,NR,8,3,[0.7272727272727273],5,5,[0.5]
795,400588371,12/13/14,Missouri,NR,Xavier,NR,5,5,[0.5],8,2,[0.8]
1092,400588372,12/14/14,St John's,24,Fordham,NR,8,1,[0.8888888888888888],3,5,[0.375]
801,400588373,12/14/14,Tennessee,NR,Butler,15,4,3,[0.5714285714285714],8,2,[0.8]
