time	away	score	home
20:00	 	0-0	Jump Ball won by Creighton
19:46	 	0-2	Austin Chatman made Jumper.
19:44	Foul on Trae Anderson.	0-2	 
19:44	Trae Anderson Turnover.	0-2	 
19:39	 	0-2	Toby Hegner missed Three Point Jumper.
19:39	 	0-2	Creighton Offensive Rebound.
19:30	 	0-4	Austin Chatman made Jumper.
19:01	Trae Anderson made Layup.	2-4	 
18:32	Foul on Luke Piotrowski.	2-4	 
18:32	 	2-4	Will Artino missed Free Throw.
18:32	 	2-4	Creighton Deadball Team Rebound.
18:32	 	2-5	Will Artino made Free Throw.
18:10	Trae Anderson Turnover.	2-5	 
18:10	 	2-5	Ricky Kreklow Steal.
18:05	 	2-5	Devin Brooks missed Three Point Jumper.
18:05	 	2-5	Will Artino Offensive Rebound.
17:59	 	2-5	Devin Brooks missed Jumper.
17:59	Trae Anderson Block.	2-5	 
17:59	 	2-5	Creighton Offensive Rebound.
17:56	 	2-8	Austin Chatman made Three Point Jumper. Assisted by Devin Brooks.
17:33	Luke Piotrowski made Jumper.	4-8	 
17:14	 	4-8	Will Artino missed Layup.
17:14	 	4-8	Will Artino Offensive Rebound.
17:09	 	4-8	Will Artino missed Jumper.
17:09	 	4-8	Devin Brooks Offensive Rebound.
16:57	 	4-8	Ricky Kreklow missed Three Point Jumper.
16:57	LeTrell Viser Defensive Rebound.	4-8	 
16:46	 	4-8	Foul on Zach Hanson.
16:44	Reggie Smith missed Three Point Jumper.	4-8	 
16:44	 	4-8	Devin Brooks Defensive Rebound.
16:32	Foul on Chris Olivier.	4-8	 
16:32	 	4-8	Zach Hanson missed Free Throw.
16:32	 	4-8	Creighton Deadball Team Rebound.
16:32	 	4-9	Zach Hanson made Free Throw.
16:22	Chris Olivier made Layup. Assisted by LeTrell Viser.	6-9	 
16:15	 	6-12	Toby Hegner made Three Point Jumper. Assisted by Austin Chatman.
15:49	Foul on Chris Olivier.	6-12	 
15:49	Chris Olivier Turnover.	6-12	 
15:49	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
