	Game_id	PBP_description	sec_remaining	home_score	away_score	home_points_scored	away_points_scored	home_poss	turnover
0	400586117.0	Jump Ball won by Duke	1200.0	0.0	0.0	0.0	0.0	1.0	0.0
1	400586117.0	Tyus Jones Turnover.	1189.0	0.0	0.0	0.0	0.0	1.0	1.0
2	400586117.0	Amadou Sidibe Steal.	1189.0	0.0	0.0	0.0	0.0	0.0	0.0
3	400586117.0	Amadou Sidibe made Jumper.	1178.0	0.0	2.0	0.0	2.0	0.0	0.0
4	400586117.0	Quinn Cook made Three Point Jumper. Assisted by Amile Jefferson.	1159.0	3.0	2.0	3.0	0.0	1.0	0.0
5	400586117.0	Mike Kirkland Jr. missed Jumper.	1122.0	3.0	2.0	0.0	0.0	0.0	0.0
6	400586117.0	Justise Winslow Defensive Rebound.	1122.0	3.0	2.0	0.0	0.0	1.0	0.0
7	400586117.0	Foul on Marcus Gilbert.	1110.0	3.0	2.0	0.0	0.0	0.0	0.0
8	400586117.0	Justise Winslow made Free Throw.	1110.0	4.0	2.0	1.0	0.0	1.0	0.0
9	400586117.0	Justise Winslow made Free Throw.	1110.0	5.0	2.0	1.0	0.0	1.0	0.0
10	400586117.0	Marcus Gilbert missed Jumper.	1085.0	5.0	2.0	0.0	0.0	0.0	0.0
11	400586117.0	Justise Winslow Block.	1085.0	5.0	2.0	0.0	0.0	1.0	0.0
12	400586117.0	Justise Winslow Defensive Rebound.	1085.0	5.0	2.0	0.0	0.0	1.0	0.0
13	400586117.0	Tyus Jones missed Three Point Jumper.	1059.0	5.0	2.0	0.0	0.0	1.0	0.0
14	400586117.0	Amadou Sidibe Defensive Rebound.	1059.0	5.0	2.0	0.0	0.0	0.0	0.0
15	400586117.0	Mike Kirkland Jr. missed Three Point Jumper.	1048.0	5.0	2.0	0.0	0.0	0.0	0.0
16	400586117.0	Tyus Jones Defensive Rebound.	1048.0	5.0	2.0	0.0	0.0	1.0	0.0
17	400586117.0	Justise Winslow made Layup.	1034.0	7.0	2.0	2.0	0.0	1.0	0.0
18	400586117.0	K.J. Rose missed Layup.	1003.0	7.0	2.0	0.0	0.0	0.0	0.0
19	400586117.0	Mike Kirkland Jr. Offensive Rebound.	1003.0	7.0	2.0	0.0	0.0	0.0	0.0
20	400586117.0	Mike Kirkland Jr. made Two Point Tip Shot.	1003.0	7.0	4.0	0.0	2.0	0.0	0.0
21	400586117.0	Justise Winslow made Three Point Jumper. Assisted by Tyus Jones.	988.0	10.0	4.0	3.0	0.0	1.0	0.0
22	400586117.0	Steve Johnston missed Three Point Jumper.	966.0	10.0	4.0	0.0	0.0	0.0	0.0
23	400586117.0	Jahlil Okafor Defensive Rebound.	966.0	10.0	4.0	0.0	0.0	1.0	0.0
24	400586117.0	Foul on Mike Kirkland Jr..	963.0	10.0	4.0	0.0	0.0	0.0	0.0
25	400586117.0	Quinn Cook missed Three Point Jumper.	950.0	10.0	4.0	0.0	0.0	1.0	0.0
26	400586117.0	Marcus Gilbert Defensive Rebound.	950.0	10.0	4.0	0.0	0.0	0.0	0.0
27	400586117.0	Mike Kirkland Jr. missed Layup.	941.0	10.0	4.0	0.0	0.0	0.0	0.0
28	400586117.0	Quinn Cook Defensive Rebound.	941.0	10.0	4.0	0.0	0.0	1.0	0.0
29	400586117.0	Jahlil Okafor made Dunk. Assisted by Quinn Cook.	934.0	12.0	4.0	2.0	0.0	1.0	0.0
30	400586117.0	Official TV Timeout	912.0	12.0	4.0	0.0	0.0	0.0	0.0
31	400586117.0	Coleman Johnson made Layup. Assisted by Marcus Gilbert.	909.0	12.0	6.0	0.0	2.0	0.0	0.0
32	400586117.0	Amile Jefferson missed Jumper.	895.0	12.0	6.0	0.0	0.0	1.0	0.0
33	400586117.0	Malcolm Gilbert Block.	895.0	12.0	6.0	0.0	0.0	0.0	0.0
34	400586117.0	Jahlil Okafor Offensive Rebound.	895.0	12.0	6.0	0.0	0.0	1.0	0.0
35	400586117.0	Jahlil Okafor Turnover.	892.0	12.0	6.0	0.0	0.0	1.0	1.0
36	400586117.0	Malcolm Gilbert missed Jumper.	871.0	12.0	6.0	0.0	0.0	0.0	0.0
37	400586117.0	Justise Winslow Defensive Rebound.	871.0	12.0	6.0	0.0	0.0	1.0	0.0
