time	away	score	home
20:00	Jump Ball won by San Diego St	0-0	 
19:47	J.J. O'Brien missed Jumper.	0-0	 
19:47	J.J. O'Brien Offensive Rebound.	0-0	 
19:39	Winston Shepard missed Three Point Jumper.	0-0	 
19:39	 	0-0	Jahlil Okafor Defensive Rebound.
19:15	 	0-0	Matt Jones missed Jumper.
19:15	Winston Shepard Defensive Rebound.	0-0	 
18:40	Aqeel Quinn Turnover.	0-0	 
18:17	Foul on Skylar Spencer.	0-0	 
18:14	 	0-2	Jahlil Okafor made Jumper. Assisted by Quinn Cook.
17:38	Skylar Spencer missed Layup.	0-2	 
17:38	 	0-2	Jahlil Okafor Block.
17:38	San Diego St Offensive Rebound.	0-2	 
17:34	Aqeel Quinn missed Jumper.	0-2	 
17:34	 	0-2	Justise Winslow Defensive Rebound.
17:29	 	0-4	Justise Winslow made Layup.
16:55	J.J. O'Brien missed Jumper.	0-4	 
16:55	 	0-4	Tyus Jones Defensive Rebound.
16:37	 	0-6	Jahlil Okafor made Jumper.
16:15	J.J. O'Brien missed Three Point Jumper.	0-6	 
16:15	 	0-6	Matt Jones Defensive Rebound.
15:57	 	0-6	Jahlil Okafor missed Jumper.
15:57	J.J. O'Brien Defensive Rebound.	0-6	 
15:57	J.J. O'Brien Turnover.	0-6	 
15:55	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:50	 	0-6	Tyus Jones missed Jumper.
15:50	 	0-6	Jahlil Okafor Offensive Rebound.
15:46	 	0-8	Justise Winslow made Layup. Assisted by Jahlil Okafor.
15:21	Winston Shepard missed Jumper.	0-8	 
15:21	J.J. O'Brien Offensive Rebound.	0-8	 
15:21	J.J. O'Brien made Two Point Tip Shot.	2-8	 
15:06	 	2-8	Tyus Jones missed Layup.
15:06	Skylar Spencer Block.	2-8	 
15:06	Aqeel Quinn Defensive Rebound.	2-8	 
14:59	Aqeel Quinn Turnover.	2-8	 
14:59	 	2-8	Justise Winslow Steal.
14:55	 	2-8	Quinn Cook missed Three Point Jumper.
14:55	Skylar Spencer Defensive Rebound.	2-8	 
14:47	Matt Shrigley missed Three Point Jumper.	2-8	 
14:47	 	2-8	Justise Winslow Defensive Rebound.
14:34	 	2-10	Jahlil Okafor made Jumper. Assisted by Justise Winslow.
14:18	Matt Shrigley made Jumper.	4-10	 
14:04	 	4-13	Quinn Cook made Three Point Jumper. Assisted by Justise Winslow.
13:29	Winston Shepard Turnover.	4-13	 
13:29	 	4-13	Tyus Jones Steal.
13:29	 	4-15	Quinn Cook made Layup. Assisted by Justise Winslow.
13:29	San Diego St  Timeout	San Diego St  Timeout	San Diego St  Timeout
13:28	 	4-15	Foul on Grayson Allen.
13:12	 	4-15	Foul on Amile Jefferson.
13:12	J.J. O'Brien made Free Throw.	5-15	 
13:12	J.J. O'Brien made Free Throw.	6-15	 
13:01	 	6-18	Grayson Allen made Three Point Jumper. Assisted by Marshall Plumlee.
12:48	Trey Kell missed Layup.	6-18	 
12:48	Trey Kell Offensive Rebound.	6-18	 
12:44	 	6-18	Foul on Grayson Allen.
12:31	Angelo Chol made Layup.	8-18	 
12:12	 	8-18	Tyus Jones missed Jumper.
12:12	Trey Kell Defensive Rebound.	8-18	 
12:05	Matt Shrigley made Layup. Assisted by Trey Kell.	10-18	 
11:42	 	10-18	Tyus Jones missed Jumper.
11:42	Malik Pope Defensive Rebound.	10-18	 
11:27	Angelo Chol missed Layup.	10-18	 
11:27	 	10-18	Quinn Cook Defensive Rebound.
11:12	Foul on Matt Shrigley.	10-18	 
