time	away	score	home
20:00	 	0-0	Jump Ball won by Notre Dame
19:44	 	0-0	Zach Auguste missed Jumper.
19:44	Rapheal Davis Defensive Rebound.	0-0	 
19:19	Isaac Haas made Layup. Assisted by Vince Edwards.	2-0	 
19:06	Foul on Isaac Haas.	2-0	 
19:06	 	2-1	Demetrius Jackson made Free Throw.
19:06	 	2-2	Demetrius Jackson made Free Throw.
18:55	A.J. Hammons made Dunk. Assisted by Rapheal Davis.	4-2	 
18:34	 	4-4	Pat Connaughton made Layup.
18:20	Vince Edwards missed Jumper.	4-4	 
18:20	 	4-4	Zach Auguste Defensive Rebound.
18:07	Foul on Rapheal Davis.	4-4	 
17:58	 	4-4	Pat Connaughton missed Three Point Jumper.
17:58	Vince Edwards Defensive Rebound.	4-4	 
17:48	A.J. Hammons missed Three Point Jumper.	4-4	 
17:48	 	4-4	Pat Connaughton Defensive Rebound.
17:39	 	4-4	Steve Vasturia missed Jumper.
17:39	Jon Octeus Defensive Rebound.	4-4	 
17:35	Kendall Stephens missed Three Point Jumper.	4-4	 
17:35	 	4-4	Zach Auguste Defensive Rebound.
17:28	 	4-6	Demetrius Jackson made Jumper.
17:05	Rapheal Davis missed Jumper.	4-6	 
17:05	 	4-6	Pat Connaughton Defensive Rebound.
17:03	Foul on A.J. Hammons.	4-6	 
16:56	 	4-6	Demetrius Jackson missed Jumper.
16:56	Isaac Haas Defensive Rebound.	4-6	 
16:44	 	4-6	Foul on Zach Auguste.
16:43	Kendall Stephens made Three Point Jumper. Assisted by Rapheal Davis.	7-6	 
16:30	 	7-8	Steve Vasturia made Jumper.
16:04	 	7-8	Foul on Martinas Geben.
16:01	Isaac Haas made Jumper. Assisted by Kendall Stephens.	9-8	 
15:30	 	9-8	Demetrius Jackson missed Layup.
15:30	Jon Octeus Defensive Rebound.	9-8	 
15:24	Vince Edwards made Three Point Jumper. Assisted by Jon Octeus.	12-8	 
14:48	 	12-8	Pat Connaughton missed Layup.
14:48	Vince Edwards Defensive Rebound.	12-8	 
14:40	 	12-8	Foul on Steve Vasturia.
14:40	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:40	Isaac Haas made Free Throw.	13-8	 
14:40	Isaac Haas made Free Throw.	14-8	 
14:28	 	14-8	Jerian Grant missed Jumper.
14:28	 	14-8	Notre Dame Deadball Team Rebound.
14:28	Foul on P.J. Thompson.	14-8	 
14:27	 	14-8	Pat Connaughton missed Three Point Jumper.
14:27	Kendall Stephens Defensive Rebound.	14-8	 
14:07	Rapheal Davis made Jumper.	16-8	 
13:55	 	16-10	Zach Auguste made Layup. Assisted by Jerian Grant.
13:39	Kendall Stephens missed Three Point Jumper.	16-10	 
13:39	 	16-10	Pat Connaughton Defensive Rebound.
13:14	 	16-12	Zach Auguste made Jumper.
13:14	Foul on Isaac Haas.	16-12	 
13:14	 	16-12	Zach Auguste missed Free Throw.
13:14	 	16-12	Pat Connaughton Offensive Rebound.
13:06	 	16-12	Jerian Grant missed Jumper.
13:06	A.J. Hammons Defensive Rebound.	16-12	 
12:56	Bryson Scott Turnover.	16-12	 
12:43	 	16-15	Pat Connaughton made Three Point Jumper. Assisted by Zach Auguste.
12:27	Bryson Scott Turnover.	16-15	 
11:59	 	16-17	Austin Burgett made Layup.
11:44	Dakota Mathias missed Layup.	16-17	 
11:44	 	16-17	Pat Connaughton Block.
11:44	 	16-17	Demetrius Jackson Defensive Rebound.
11:39	 	16-19	Demetrius Jackson made Layup.
11:20	A.J. Hammons made Jumper. Assisted by P.J. Thompson.	18-19	 
11:16	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
10:58	Foul on Dakota Mathias.	18-19	 
10:58	 	18-19	Pat Connaughton missed Free Throw.
10:58	 	18-19	Notre Dame Deadball Team Rebound.
10:58	 	18-20	Pat Connaughton made Free Throw.
10:47	 	18-20	Foul on Martinas Geben.
10:43	Dakota Mathias missed Jumper.	18-20	 
10:43	Basil Smotherman Offensive Rebound.	18-20	 
10:38	Basil Smotherman made Layup.	20-20	 
10:04	 	20-20	Demetrius Jackson Turnover.
10:04	Basil Smotherman Steal.	20-20	 
9:58	Basil Smotherman missed Layup.	20-20	 
9:58	 	20-20	Austin Burgett Defensive Rebound.
9:52	 	20-20	Steve Vasturia missed Three Point Jumper.
9:52	Jon Octeus Defensive Rebound.	20-20	 
9:37	 	20-20	Foul on Jerian Grant.
9:33	Kendall Stephens missed Three Point Jumper.	20-20	 
9:33	 	20-20	Jerian Grant Defensive Rebound.
9:15	 	20-20	Zach Auguste missed Layup.
9:15	A.J. Hammons Block.	20-20	 
9:15	A.J. Hammons Defensive Rebound.	20-20	 
9:15	Jump Ball won by Purdue	20-20	 
8:59	Rapheal Davis made Layup. Assisted by A.J. Hammons.	22-20	 
8:36	 	22-22	Steve Vasturia made Layup.
8:21	Jon Octeus made Layup. Assisted by A.J. Hammons.	24-22	 
7:58	 	24-22	Jerian Grant missed Layup.
7:58	Vince Edwards Defensive Rebound.	24-22	 
7:51	Vince Edwards made Layup.	26-22	 
7:37	Foul on Jon Octeus.	26-22	 
7:37	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
7:37	 	26-22	Demetrius Jackson missed Free Throw.
7:37	Kendall Stephens Defensive Rebound.	26-22	 
7:21	A.J. Hammons missed Jumper.	26-22	 
7:21	 	26-22	Steve Vasturia Defensive Rebound.
7:01	Foul on Kendall Stephens.	26-22	 
7:01	 	26-23	Austin Torres made Free Throw.
7:01	 	26-24	Austin Torres made Free Throw.
6:43	A.J. Hammons missed Jumper.	26-24	 
6:43	 	26-24	Notre Dame Deadball Team Rebound.
6:41	Foul on Kendall Stephens.	26-24	 
6:41	 	26-25	Pat Connaughton made Free Throw.
6:41	 	26-26	Pat Connaughton made Free Throw.
6:34	 	26-26	Foul on Demetrius Jackson.
6:34	Jon Octeus made Free Throw.	27-26	 
6:34	Jon Octeus missed Free Throw.	27-26	 
6:34	 	27-26	Pat Connaughton Defensive Rebound.
6:17	 	27-29	Steve Vasturia made Three Point Jumper. Assisted by Pat Connaughton.
5:59	Jon Octeus made Layup.	29-29	 
5:50	 	29-31	Jerian Grant made Layup.
5:48	Purdue  Timeout	Purdue  Timeout	Purdue  Timeout
5:24	A.J. Hammons missed Jumper.	29-31	 
5:24	 	29-31	Notre Dame Defensive Rebound.
5:02	 	29-34	Pat Connaughton made Three Point Jumper. Assisted by Jerian Grant.
4:36	Vince Edwards made Jumper.	31-34	 
4:21	Foul on A.J. Hammons.	31-34	 
4:21	 	31-35	Jerian Grant made Free Throw.
4:21	 	31-36	Jerian Grant made Free Throw.
4:08	Vince Edwards missed Three Point Jumper.	31-36	 
4:08	 	31-36	Pat Connaughton Defensive Rebound.
4:05	Foul on Basil Smotherman.	31-36	 
4:05	 	31-36	Pat Connaughton missed Free Throw.
4:05	 	31-36	Notre Dame Deadball Team Rebound.
4:05	 	31-37	Pat Connaughton made Free Throw.
3:52	Rapheal Davis Turnover.	31-37	 
3:52	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
3:33	 	31-39	Zach Auguste made Layup. Assisted by Steve Vasturia.
2:57	Vince Edwards missed Jumper.	31-39	 
2:57	 	31-39	Zach Auguste Block.
2:57	 	31-39	Pat Connaughton Defensive Rebound.
2:42	Foul on Basil Smotherman.	31-39	 
2:42	 	31-39	Jerian Grant missed Free Throw.
2:42	 	31-39	Notre Dame Deadball Team Rebound.
2:42	 	31-40	Jerian Grant made Free Throw.
2:23	P.J. Thompson missed Three Point Jumper.	31-40	 
2:23	 	31-40	Pat Connaughton Defensive Rebound.
2:17	 	31-42	Steve Vasturia made Layup. Assisted by Pat Connaughton.
1:50	 	31-42	Foul on Zach Auguste.
1:50	A.J. Hammons made Free Throw.	32-42	 
1:50	A.J. Hammons made Free Throw.	33-42	 
1:30	 	33-42	Pat Connaughton missed Three Point Jumper.
1:30	Vince Edwards Defensive Rebound.	33-42	 
1:19	Jon Octeus made Three Point Jumper. Assisted by Basil Smotherman.	36-42	 
1:08	Foul on P.J. Thompson.	36-42	 
1:08	 	36-43	Demetrius Jackson made Free Throw.
1:08	 	36-44	Demetrius Jackson made Free Throw.
1:08	 	36-45	Demetrius Jackson made Free Throw.
0:56	 	36-45	Foul on Steve Vasturia.
0:56	A.J. Hammons missed Free Throw.	36-45	 
