time|away|score|home
19:33| |0-0|Devin Thomas Turnover.
19:32|Ja'Dante' Frye Steal.|0-0| 
19:10|Liam Thomas missed Layup.|0-0| 
19:10|Sam McBeath Offensive Rebound.|0-0| 
19:06|Sam McBeath missed Layup.|0-0| 
19:06| |0-0|Darius Leonard Defensive Rebound.
18:47|Foul on T.J. Carpenter.|0-0| 
18:47| |0-1|Cornelius Hudson made Free Throw.
18:47| |0-2|Cornelius Hudson made Free Throw.
18:47| |0-3|Cornelius Hudson made Free Throw.
18:22|Liam Thomas Turnover.|0-3| 
18:21| |0-3|Cornelius Hudson Steal.
18:02| |0-3|Cornelius Hudson missed Three Point Jumper.
18:02|Sam McBeath Defensive Rebound.|0-3| 
17:45| |0-3|Foul on Cornelius Hudson.
17:38|T.J. Carpenter missed Three Point Jumper.|0-3| 
17:38| |0-3|Cornelius Hudson Defensive Rebound.
17:30| |0-3|Mitchell Wilbekin Turnover.
17:16|Sam McBeath missed Layup.|0-3| 
17:16|Liam Thomas Offensive Rebound.|0-3| 
17:13|Liam Thomas missed Layup.|0-3| 
17:13|Liam Thomas Offensive Rebound.|0-3| 
17:11|Liam Thomas made Layup.|2-3| 
17:04| |2-3|Foul on Codi Miller-McIntyre.
17:04| |2-3|Codi Miller-McIntyre Turnover.
16:48|Liam Thomas made Layup. Assisted by T.J. Carpenter.|4-3| 
16:27| |4-3|Devin Thomas missed Jumper.
16:27|Ja'Dante' Frye Defensive Rebound.|4-3| 
16:15|Ja'Dante' Frye missed Layup.|4-3| 
16:15| |4-3|Konstantinos Mitoglou Block.
16:14| |4-3|Devin Thomas Defensive Rebound.
16:09| |4-3|Cornelius Hudson missed Layup.
16:09| |4-3|Devin Thomas Offensive Rebound.
16:07| |4-5|Devin Thomas made Layup.
15:51|T.J. Carpenter Turnover.|4-5| 
15:51| Official TV Timeout| Official TV Timeout| Official TV Timeout
15:39| |4-8|Mitchell Wilbekin made Three Point Jumper. Assisted by Greg McClinton.
15:31|Richie Lewis Turnover.|4-8| 
15:15| |4-8|Devin Thomas missed Layup.
15:15| |4-8|Wake Forest Offensive Rebound.
15:11| |4-8|Mitchell Wilbekin missed Three Point Jumper.
15:11|T.J. Carpenter Defensive Rebound.|4-8| 
14:48|Liam Thomas made Layup. Assisted by Sam McBeath.|6-8| 
14:26|Foul on Sam McBeath.|6-8| 
14:26| |6-8|Konstantinos Mitoglou missed Free Throw.
14:26| |6-8|Wake Forest Deadball Team Rebound.
14:26| |6-9|Konstantinos Mitoglou made Free Throw.
14:21|Sam McBeath Turnover.|6-9| 
14:20| |6-9|Konstantinos Mitoglou Steal.
14:19|Foul on Sam McBeath.|6-9| 
14:19| |6-10|Codi Miller-McIntyre made Free Throw.
14:19| |6-10|Codi Miller-McIntyre missed Free Throw.
14:19|Luka Kamber Defensive Rebound.|6-10| 
14:08|Liam Thomas made Layup. Assisted by T.J. Carpenter.|8-10| 
13:49| |8-12|Konstantinos Mitoglou made Layup. Assisted by Codi Miller-McIntyre.
13:23|Richie Lewis missed Layup.|8-12| 
13:23| |8-12|Mitchell Wilbekin Defensive Rebound.
13:05| |8-12|Konstantinos Mitoglou missed Layup.
13:05|Liam Thomas Block.|8-12| 
13:04|Richie Lewis Defensive Rebound.|8-12| 
12:55|T.J. Carpenter missed Three Point Jumper.|8-12| 
12:55| |8-12|Codi Miller-McIntyre Defensive Rebound.
12:46|Foul on T.J. Carpenter.|8-12| 
12:30| |8-12|Konstantinos Mitoglou Turnover.
12:30|Travis Julien Steal.|8-12| 
12:19| |8-12|Foul on Aaron Rountree III.
12:15|Ja'Dante' Frye missed Jumper.|8-12| 
12:15| |8-12|Aaron Rountree III Defensive Rebound.
12:07|Foul on Luka Kamber.|8-12| 
11:55| |8-12|Konstantinos Mitoglou missed Three Point Jumper.
11:55| |8-12|Greg McClinton Offensive Rebound.
