time	away	score	home
19:47	 	0-2	Jalen Jones made Dunk. Assisted by Kourtney Roberson.
19:35	Bobby Hain missed Jumper.	0-2	 
19:35	 	0-2	Jalen Jones Defensive Rebound.
19:08	 	0-2	Danuel House missed Three Point Jumper.
19:08	DJ Cole Defensive Rebound.	0-2	 
18:54	 	0-2	Foul on Alex Caruso.
18:50	Shawn Amiker made Jumper. Assisted by DJ Cole.	2-2	 
18:35	 	2-2	Kourtney Roberson Turnover.
18:06	DJ Cole Turnover.	2-2	 
17:51	 	2-2	Danuel House missed Layup.
17:51	Bobby Hain Defensive Rebound.	2-2	 
17:49	 	2-2	Foul on Danuel House.
17:20	Marcus Keene missed Three Point Jumper.	2-2	 
17:20	 	2-2	Kourtney Roberson Defensive Rebound.
17:07	 	2-2	Alex Caruso missed Layup.
17:07	Marcus Keene Defensive Rebound.	2-2	 
17:02	Jalon Plummer missed Three Point Jumper.	2-2	 
17:02	 	2-2	Texas A&M; Defensive Rebound.
16:37	 	2-2	Jalen Jones missed Layup.
16:37	Shawn Amiker Defensive Rebound.	2-2	 
16:31	Marcus Keene Turnover.	2-2	 
16:02	 	2-2	Danuel House missed Jumper.
16:02	Jalon Plummer Defensive Rebound.	2-2	 
15:42	Shawn Amiker made Layup. Assisted by Jalon Plummer.	4-2	 
15:23	 	4-5	Danuel House made Three Point Jumper. Assisted by Jordan Green.
15:14	Foul on Shawn Amiker.	4-5	 
15:14	Shawn Amiker Turnover.	4-5	 
15:14	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
14:55	 	4-5	Alex Robinson Turnover.
14:53	DJ Cole Steal.	4-5	 
14:37	Marcus Keene Turnover.	4-5	 
14:34	 	4-5	Jordan Green Steal.
14:28	 	4-7	Jalen Jones made Jumper. Assisted by Danuel House.
14:08	Shawn Amiker missed Layup.	4-7	 
14:08	 	4-7	Jalen Jones Defensive Rebound.
13:55	 	4-7	Alex Robinson Turnover.
13:55	Shawn Amiker Steal.	4-7	 
13:43	Shawn Amiker made Jumper. Assisted by DJ Cole.	6-7	 
13:24	Foul on DJ Cole.	6-7	 
13:24	 	6-8	Danuel House made Free Throw.
13:24	 	6-8	Danuel House missed Free Throw.
13:24	 	6-8	Tonny Trocha-Morelos Offensive Rebound.
13:09	 	6-8	Tonny Trocha-Morelos missed Jumper.
13:09	 	6-8	Texas A&M; Offensive Rebound.
13:06	 	6-8	Jordan Green missed Three Point Jumper.
13:06	Bobby Hain Defensive Rebound.	6-8	 
12:58	Marcus Keene made Three Point Jumper. Assisted by DJ Cole.	9-8	 
12:44	 	9-8	Jalen Jones Turnover.
12:42	Shaun Stewart Steal.	9-8	 
12:40	Shawn Amiker missed Layup.	9-8	 
12:40	 	9-8	Peyton Allen Defensive Rebound.
12:33	Foul on Bobby Hain.	9-8	 
12:33	 	9-8	Alex Robinson missed Free Throw.
12:33	 	9-8	Texas A&M; Deadball Team Rebound.
12:33	 	9-9	Alex Robinson made Free Throw.
12:24	Bobby Hain missed Three Point Jumper.	9-9	 
12:24	Youngstown St Offensive Rebound.	9-9	 
12:21	 	9-9	Foul on Antwan Space.
12:01	DJ Cole made Three Point Jumper. Assisted by Shaun Stewart.	12-9	 
11:52	 	12-11	Antwan Space made Layup. Assisted by Alex Robinson.
11:52	Foul on Fletcher Larson.	12-11	 
11:52	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:52	 	12-11	Antwan Space missed Free Throw.
11:52	Fletcher Larson Defensive Rebound.	12-11	 
11:51	 	12-11	Foul on Tonny Trocha-Morelos.
11:42	Marcus Keene missed Three Point Jumper.	12-11	 
11:42	 	12-11	Alex Robinson Defensive Rebound.
11:36	 	12-14	Peyton Allen made Three Point Jumper. Assisted by Alex Robinson.
11:21	 	12-14	Foul on Alex Robinson.
11:02	Shaun Stewart made Jumper.	14-14	 
10:53	 	14-14	Alex Robinson Turnover.
10:36	Foul on Shawn Amiker.	14-14	 
10:36	Shawn Amiker Turnover.	14-14	 
10:24	 	14-14	Alex Caruso missed Layup.
10:24	 	14-14	Alex Robinson Offensive Rebound.
10:15	 	14-16	Alex Caruso made Layup.
9:54	 	14-16	Foul on Kourtney Roberson.
9:51	Marcus Keene missed Three Point Jumper.	14-16	 
9:51	 	14-16	Alex Caruso Defensive Rebound.
9:30	 	14-16	Antwan Space Turnover.
9:28	Marcus Keene Steal.	14-16	 
9:26	 	14-16	Foul on Alex Caruso.
9:26	DJ Cole missed Free Throw.	14-16	 
9:26	Youngstown St Deadball Team Rebound.	14-16	 
9:26	DJ Cole made Free Throw.	15-16	 
9:14	 	15-16	Foul on Kourtney Roberson.
9:14	 	15-16	Kourtney Roberson Turnover.
8:46	Shawn Amiker missed Layup.	15-16	 
8:46	 	15-16	Texas A&M; Defensive Rebound.
8:44	Foul on Osandai Vaughn.	15-16	 
8:25	 	15-16	Peyton Allen missed Three Point Jumper.
8:25	Sidney Umude Defensive Rebound.	15-16	 
7:59	Sidney Umude missed Jumper.	15-16	 
7:59	 	15-16	Jalen Jones Defensive Rebound.
7:52	 	15-19	Danuel House made Three Point Jumper. Assisted by Alex Robinson.
7:36	Shaun Stewart missed Three Point Jumper.	15-19	 
7:36	Osandai Vaughn Offensive Rebound.	15-19	 
7:20	Shaun Stewart made Three Point Jumper. Assisted by Marcus Keene.	18-19	 
7:03	 	18-22	Jalen Jones made Three Point Jumper. Assisted by Danuel House.
6:38	Shaun Stewart Turnover.	18-22	 
6:37	 	18-22	Alex Robinson Steal.
6:34	 	18-24	Alex Robinson made Dunk.
6:29	Youngstown St  Timeout	Youngstown St  Timeout	Youngstown St  Timeout
6:12	Foul on Marcus Keene.	18-24	 
6:12	Marcus Keene Turnover.	18-24	 
6:11	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
5:57	 	18-24	Alex Robinson missed Three Point Jumper.
5:57	 	18-24	Tonny Trocha-Morelos Offensive Rebound.
5:39	 	18-24	Danuel House missed Three Point Jumper.
5:39	 	18-24	Jalen Jones Offensive Rebound.
5:17	 	18-24	Alex Robinson missed Jumper.
