time	away	score	home
19:45	 	0-2	Shavon Shields made Jumper. Assisted by Benny Parker.
19:11	Denzel Livingston missed Three Point Jumper.	0-2	 
19:11	 	0-2	Shavon Shields Defensive Rebound.
19:05	 	0-2	Shavon Shields Turnover.
19:04	Shawn Johnson Steal.	0-2	 
18:55	Jontrell Walker missed Three Point Jumper.	0-2	 
18:55	 	0-2	Shavon Shields Defensive Rebound.
18:37	Foul on Kyle Hittle.	0-2	 
18:13	Foul on Winslo Barry.	0-2	 
17:54	 	0-4	Shavon Shields made Layup.
17:54	Foul on Jontrell Walker.	0-4	 
17:54	 	0-5	Shavon Shields made Free Throw.
17:29	Austin Henry missed Jumper.	0-5	 
17:29	 	0-5	Terran Petteway Defensive Rebound.
17:19	 	0-8	Benny Parker made Three Point Jumper. Assisted by Terran Petteway.
16:55	 	0-8	Foul on David Rivers.
16:46	Denzel Livingston missed Layup.	0-8	 
16:45	 	0-8	Terran Petteway Block.
16:44	Denzel Livingston Offensive Rebound.	0-8	 
16:41	Shawn Johnson missed Three Point Jumper.	0-8	 
16:40	 	0-8	Shavon Shields Defensive Rebound.
16:31	 	0-8	Walter Pitchford missed Jumper.
16:30	Denzel Livingston Defensive Rebound.	0-8	 
16:20	Jontrell Walker made Layup.	2-8	 
16:00	 	2-10	Benny Parker made Layup.
15:48	 	2-10	Foul on Shavon Shields.
15:48	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:46	Denzel Livingston made Jumper.	4-10	 
15:18	 	4-10	David Rivers missed Jumper.
15:18	Denzel Livingston Defensive Rebound.	4-10	 
14:55	Shawn Johnson missed Layup.	4-10	 
14:55	 	4-10	Tai Webster Defensive Rebound.
14:53	Foul on Austin Henry.	4-10	 
14:38	 	4-10	Tai Webster missed Three Point Jumper.
14:38	 	4-10	Terran Petteway Offensive Rebound.
14:32	 	4-10	Benny Parker missed Jumper.
14:32	Kyle Hittle Defensive Rebound.	4-10	 
14:26	Jontrell Walker Turnover.	4-10	 
14:05	 	4-10	David Rivers Turnover.
14:05	Denzel Livingston Steal.	4-10	 
13:47	Jontrell Walker made Jumper.	6-10	 
13:27	 	6-10	Tarin Smith missed Three Point Jumper.
13:27	 	6-10	Shavon Shields Offensive Rebound.
13:20	 	6-10	Tarin Smith Turnover.
13:19	Denzel Livingston Steal.	6-10	 
13:09	Denzel Livingston missed Three Point Jumper.	6-10	 
13:09	John Baker Offensive Rebound.	6-10	 
13:03	Mitchell Badillo Turnover.	6-10	 
12:50	 	6-12	Walter Pitchford made Jumper. Assisted by Nick Fuller.
12:31	Kyle Hittle made Three Point Jumper. Assisted by Mitchell Badillo.	9-12	 
12:17	 	9-14	Nick Fuller made Layup. Assisted by Terran Petteway.
12:14	Foul on Jontrell Walker.	9-14	 
12:14	 	9-15	Nick Fuller made Free Throw.
12:02	Shawn Johnson Turnover.	9-15	 
12:01	 	9-15	Tarin Smith Steal.
11:59	 	9-15	Tarin Smith Turnover.
11:58	Mitchell Badillo Steal.	9-15	 
11:53	 	9-15	Foul on Walter Pitchford.
11:53	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
