time|away|score|home
19:28| |0-0|Pat Connaughton missed Three Point Jumper.
19:28|Matt MacDonald Defensive Rebound.|0-0| 
18:57|Xavier Harris missed Layup.|0-0| 
18:57| |0-0|Zach Auguste Block.
18:56| |0-0|Demetrius Jackson Defensive Rebound.
18:46| |0-0|Jerian Grant missed Three Point Jumper.
18:46| |0-0|Zach Auguste Offensive Rebound.
18:44|Foul on Xavier Harris.|0-0| 
18:40| |0-0|Zach Auguste Turnover.
18:12|Matt MacDonald missed Three Point Jumper.|0-0| 
18:12|Xavier Harris Offensive Rebound.|0-0| 
17:46|Mustafaa Jones Turnover.|0-0| 
17:45| |0-0|Jerian Grant Steal.
17:40| |0-3|Pat Connaughton made Three Point Jumper. Assisted by Jerian Grant.
17:10|Matt MacDonald missed Layup.|0-3| 
17:10| |0-3|Zach Auguste Defensive Rebound.
16:56|Foul on Darius Stokes.|0-3| 
16:55| |0-3|Pat Connaughton missed Three Point Jumper.
16:55|Darius Stokes Defensive Rebound.|0-3| 
16:44|Darian Anderson missed Three Point Jumper.|0-3| 
16:44| |0-3|Pat Connaughton Defensive Rebound.
16:35| |0-3|Steve Vasturia missed Three Point Jumper.
16:35| |0-3|Jerian Grant Offensive Rebound.
16:15| |0-5|Pat Connaughton made Dunk. Assisted by Demetrius Jackson.
15:52|Mustafaa Jones missed Jumper.|0-5| 
15:52| |0-5|Zach Auguste Defensive Rebound.
15:44| |0-7|Zach Auguste made Dunk. Assisted by Demetrius Jackson.
15:24|Darian Anderson missed Three Point Jumper.|0-7| 
15:24| |0-7|Zach Auguste Defensive Rebound.
15:14| |0-7|Demetrius Jackson missed Three Point Jumper.
15:14|Darius Stokes Defensive Rebound.|0-7| 
14:58|Darian Anderson Turnover.|0-7| 
14:58| |0-7|Demetrius Jackson Steal.
14:51| |0-7|Steve Vasturia missed Three Point Jumper.
14:51| |0-7|Jerian Grant Offensive Rebound.
14:38| |0-7|Steve Vasturia Turnover.
14:37|Xavier Harris Steal.|0-7| 
14:22|Mustafaa Jones made Three Point Jumper. Assisted by Matt MacDonald.|3-7| 
14:01| |3-7|Pat Connaughton missed Layup.
14:01| |3-7|Zach Auguste Offensive Rebound.
13:58| |3-7|Zach Auguste missed Jumper.
13:58|Xavier Harris Defensive Rebound.|3-7| 
13:41| |3-7|Foul on Pat Connaughton.
13:41| Official TV Timeout| Official TV Timeout| Official TV Timeout
13:18|Mustafaa Jones made Three Point Jumper.|6-7| 
12:41| |6-7|Austin Burgett missed Three Point Jumper.
12:41|Malachi Nix Defensive Rebound.|6-7| 
12:34|Mustafaa Jones missed Three Point Jumper.|6-7| 
12:34|Matt MacDonald Offensive Rebound.|6-7| 
12:11|Darius Stokes Turnover.|6-7| 
11:48| |6-9|Pat Connaughton made Layup. Assisted by Martinas Geben.
11:28|Mustafaa Jones Turnover.|6-9| 
11:27| |6-9|Steve Vasturia Steal.
11:25| |6-11|Jerian Grant made Layup.
11:25|Fairleigh Dickinson  Timeout|Fairleigh Dickinson  Timeout|Fairleigh Dickinson  Timeout
11:08|Xavier Harris made Jumper.|8-11| 
11:07| |8-11|Foul on Jerian Grant.
11:06|Xavier Harris missed Free Throw.|8-11| 
11:06|Fairleigh Dickinson Offensive Rebound.|8-11| 
10:49|Earl Potts Jr made Jumper.|10-11| 
10:27|Foul on Darian Anderson.|10-11| 
10:18|Foul on Darius Stokes.|10-11| 
10:18| |10-12|Steve Vasturia made Free Throw.
10:18| |10-13|Steve Vasturia made Free Throw.
9:46|Mustafaa Jones made Layup.|12-13| 
9:38| |12-13|Steve Vasturia Turnover.
9:22|Marques Townes Turnover.|12-13| 
9:20| |12-13|Zach Auguste Steal.
9:14|Foul on Mustafaa Jones.|12-13| 
8:44| |12-15|Zach Auguste made Jumper. Assisted by Pat Connaughton.
8:30| |12-15|Foul on Steve Vasturia.
8:18|Earl Potts Jr missed Jumper.|12-15| 
8:18| |12-15|Pat Connaughton Defensive Rebound.
8:05| |12-15|Demetrius Jackson missed Jumper.
8:05|Matt MacDonald Defensive Rebound.|12-15| 
7:55| |12-15|Foul on Zach Auguste.
7:55| Official TV Timeout| Official TV Timeout| Official TV Timeout
7:48|Earl Potts Jr made Free Throw.|13-15| 
7:48|Earl Potts Jr made Free Throw.|14-15| 
7:47| |14-15|Foul on Zach Auguste.
7:42| |14-15|Pat Connaughton Turnover.
7:41|Marques Townes Steal.|14-15| 
7:39|Marques Townes missed Jumper.|14-15| 
7:39| |14-15|Jerian Grant Defensive Rebound.
7:27|Foul on Earl Potts Jr.|14-15| 
7:24| |14-17|Jerian Grant made Layup.
7:00|Earl Potts Jr missed Three Point Jumper.|14-17| 
7:00| |14-17|Jerian Grant Defensive Rebound.
6:48| |14-19|Demetrius Jackson made Layup.
6:46|Fairleigh Dickinson  Timeout|Fairleigh Dickinson  Timeout|Fairleigh Dickinson  Timeout
6:27|Malachi Nix made Jumper.|16-19| 
5:52| |16-19|Steve Vasturia missed Three Point Jumper.
5:52|Mustafaa Jones Defensive Rebound.|16-19| 
5:44|Mustafaa Jones missed Layup.|16-19| 
5:44| |16-19|Pat Connaughton Block.
5:43|Matt MacDonald Offensive Rebound.|16-19| 
5:26|Darian Anderson missed Three Point Jumper.|16-19| 
5:26| |16-19|Zach Auguste Defensive Rebound.
5:18|Foul on Malachi Nix.|16-19| 
5:18| |16-19|Zach Auguste missed Free Throw.
5:18| |16-19|Notre Dame Deadball Team Rebound.
5:18| |16-20|Zach Auguste made Free Throw.
4:45|Matt MacDonald missed Layup.|16-20| 
4:45| |16-20|Pat Connaughton Block.
4:45|Fairleigh Dickinson Offensive Rebound.|16-20| 
4:42|Fairleigh Dickinson  Turnover.|16-20| 
4:20| |16-22|Steve Vasturia made Layup.
4:20|Foul on Matt MacDonald.|16-22| 
4:20| |16-23|Steve Vasturia made Free Throw.
4:02|Malachi Nix missed Layup.|16-23| 
4:02| |16-23|Jerian Grant Block.
4:00| |16-23|Steve Vasturia Defensive Rebound.
3:57| |16-25|Demetrius Jackson made Layup. Assisted by Steve Vasturia.
