time|away|score|home
19:38| |0-0|Travis Jorgenson Turnover.
19:38| |0-0|Travis Jorgenson Turnover.
19:37|ShunQuez Stephens Steal.|0-0| 
19:37|ShunQuez Stephens Steal.|0-0| 
19:31|Mario Blessing missed Three Point Jumper.|0-0| 
19:31| |0-0|Quinton Stephens Block.
19:31| |0-0|Quinton Stephens Block.
19:27| |0-0|Demarco Cox Defensive Rebound.
18:59| |0-0|Quinton Stephens missed Three Point Jumper.
18:59| |0-0|Charles Mitchell Offensive Rebound.
18:59| |0-0|Charles Mitchell Offensive Rebound.
18:55| |0-0|Charles Mitchell missed Two Point Tip Shot.
18:55|South Carolina Upstate Defensive Rebound.|0-0| 
18:46|Foul on ShunQuez Stephens.|0-0| 
18:46|ShunQuez Stephens Turnover.|0-0| 
18:27| |0-3|Quinton Stephens made Three Point Jumper. Assisted by Demarco Cox.
18:10|ShunQuez Stephens made Jumper.|2-3| 
18:10|ShunQuez Stephens made Jumper.|2-3| 
17:56| |2-3|Travis Jorgenson missed Three Point Jumper.
17:56|Fred Miller Defensive Rebound.|2-3| 
17:41|Damian Goodwin missed Three Point Jumper.|2-3| 
17:41|Damian Goodwin missed Three Point Jumper.|2-3| 
17:41| |2-3|Quinton Stephens Defensive Rebound.
17:41| |2-3|Quinton Stephens Defensive Rebound.
17:34| |2-3|Travis Jorgenson Turnover.
17:33|ShunQuez Stephens Steal.|2-3| 
17:28|Ty Greene missed Three Point Jumper.|2-3| 
17:28|Damian Goodwin Offensive Rebound.|2-3| 
17:21|Ty Greene made Three Point Jumper. Assisted by Mario Blessing.|5-3| 
16:59|Foul on Ty Greene.|5-3| 
16:45| |5-3|Charles Mitchell Turnover.
16:39|Damian Goodwin missed Layup.|5-3| 
16:39|ShunQuez Stephens Offensive Rebound.|5-3| 
16:30|Damian Goodwin missed Jumper.|5-3| 
16:30|Damian Goodwin missed Jumper.|5-3| 
16:30| |5-3|Charles Mitchell Defensive Rebound.
16:30| |5-3|Charles Mitchell Defensive Rebound.
16:13|Foul on Damian Goodwin.|5-3| 
16:13| |5-3|Marcus Georges-Hunt missed Free Throw.
16:13| |5-3|Georgia Tech Deadball Team Rebound.
16:13| |5-3|Georgia Tech Deadball Team Rebound.
16:13| |5-4|Marcus Georges-Hunt made Free Throw.
15:48|Mario Blessing missed Three Point Jumper.|5-4| 
15:48|Mario Blessing missed Three Point Jumper.|5-4| 
15:48| |5-4|Marcus Georges-Hunt Defensive Rebound.
15:39| |5-4|Quinton Stephens missed Jumper.
15:39| |5-4|Quinton Stephens missed Jumper.
15:39|ShunQuez Stephens Defensive Rebound.|5-4| 
15:39|ShunQuez Stephens Defensive Rebound.|5-4| 
15:25| |5-4|Foul on Demarco Cox.
15:25| Official TV Timeout| Official TV Timeout| Official TV Timeout
15:25|ShunQuez Stephens made Free Throw.|6-4| 
15:25|ShunQuez Stephens made Free Throw.|7-4| 
15:25|ShunQuez Stephens made Free Throw.|7-4| 
14:52| |7-6|Charles Mitchell made Layup. Assisted by Tadric Jackson.
14:52| |7-6|Charles Mitchell made Layup. Assisted by Tadric Jackson.
14:26|Fred Miller missed Jumper.|7-6| 
14:26| |7-6|Robert Sampson Defensive Rebound.
14:26| |7-6|Robert Sampson Defensive Rebound.
14:11| |7-8|Charles Mitchell made Layup. Assisted by Robert Sampson.
13:57|Ty Greene missed Three Point Jumper.|7-8| 
13:57| |7-8|Robert Sampson Defensive Rebound.
13:57| |7-8|Robert Sampson Defensive Rebound.
13:50| |7-10|Tadric Jackson made Layup. Assisted by Josh Heath.
13:49|Foul on Marvin Smith.|7-10| 
13:49| |7-11|Tadric Jackson made Free Throw.
13:23|Ty Greene Turnover.|7-11| 
13:23|Ty Greene Turnover.|7-11| 
13:22| |7-11|Chris Bolden Steal.
13:22| |7-11|Chris Bolden Steal.
13:20| |7-13|Chris Bolden made Layup.
13:20| |7-13|Chris Bolden made Layup.
12:53|Ty Greene missed Three Point Jumper.|7-13| 
12:53|Ty Greene missed Three Point Jumper.|7-13| 
12:53| |7-13|Tadric Jackson Defensive Rebound.
12:53| |7-13|Tadric Jackson Defensive Rebound.
12:42| |7-13|Robert Sampson missed Three Point Jumper.
12:42|Josh Cuthbertson Defensive Rebound.|7-13| 
12:42|Josh Cuthbertson Defensive Rebound.|7-13| 
12:32|Marvin Smith missed Dunk.|7-13| 
12:32|Marvin Smith missed Dunk.|7-13| 
12:32| |7-13|Georgia Tech Deadball Team Rebound.
12:32| |7-13|Georgia Tech Deadball Team Rebound.
12:19|Foul on Josh Cuthbertson.|7-13| 
