time	away	score	home
19:48	 	0-0	James Blackmon Jr. missed Three Point Jumper.
19:48	Terel Hall Defensive Rebound.	0-0	 
19:39	Javaris Jenkins Turnover.	0-0	 
19:38	 	0-0	Robert Johnson Steal.
19:35	Foul on Terel Hall.	0-0	 
19:35	 	0-0	Robert Johnson missed Free Throw.
19:35	 	0-0	Indiana Deadball Team Rebound.
19:35	 	0-1	Robert Johnson made Free Throw.
19:05	Khaleen Pinkett missed Three Point Jumper.	0-1	 
19:05	 	0-1	Yogi Ferrell Defensive Rebound.
18:52	 	0-1	Troy Williams Turnover.
18:34	Javaris Jenkins Turnover.	0-1	 
18:23	 	0-1	Robert Johnson Turnover.
18:21	Saadiq Muhammad Steal.	0-1	 
18:09	Alante Fenner Turnover.	0-1	 
18:08	 	0-1	Robert Johnson Steal.
18:06	 	0-1	Troy Williams missed Jumper.
18:06	Savannah St Defensive Rebound.	0-1	 
18:02	Savannah St  Timeout	Savannah St  Timeout	Savannah St  Timeout
17:50	Demarcus Bryant made Three Point Jumper. Assisted by Terel Hall.	3-1	 
17:25	Foul on Demarcus Bryant.	3-1	 
17:20	 	3-3	Yogi Ferrell made Layup.
17:05	Alante Fenner missed Jumper.	3-3	 
17:05	 	3-3	Robert Johnson Defensive Rebound.
16:57	 	3-6	James Blackmon Jr. made Three Point Jumper. Assisted by Yogi Ferrell.
16:24	Demarcus Bryant missed Three Point Jumper.	3-6	 
16:24	 	3-6	Robert Johnson Defensive Rebound.
16:18	 	3-8	Yogi Ferrell made Jumper.
15:58	Demarcus Bryant missed Three Point Jumper.	3-8	 
15:58	Demarcus Bryant Offensive Rebound.	3-8	 
15:54	Demarcus Bryant missed Jumper.	3-8	 
15:54	 	3-8	Robert Johnson Defensive Rebound.
15:46	 	3-10	Troy Williams made Dunk. Assisted by Robert Johnson.
15:33	Demarcus Bryant made Jumper.	5-10	 
15:23	 	5-10	Robert Johnson Turnover.
15:22	Khaleen Pinkett Steal.	5-10	 
15:19	Saadiq Muhammad made Dunk. Assisted by Khaleen Pinkett.	7-10	 
15:13	 	7-10	Yogi Ferrell Turnover.
15:13	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:10	Demarcus Bryant missed Three Point Jumper.	7-10	 
15:10	Javaris Jenkins Offensive Rebound.	7-10	 
14:55	Javaris Jenkins made Layup. Assisted by Demarcus Bryant.	9-10	 
14:35	Foul on Khaleen Pinkett.	9-10	 
14:22	 	9-10	Robert Johnson missed Three Point Jumper.
14:22	Terel Hall Defensive Rebound.	9-10	 
13:51	Khaleen Pinkett missed Layup.	9-10	 
13:51	 	9-10	Emmitt Holt Block.
13:49	 	9-10	Troy Williams Defensive Rebound.
13:44	 	9-12	Yogi Ferrell made Jumper.
13:18	Saadiq Muhammad missed Layup.	9-12	 
13:18	 	9-12	Troy Williams Defensive Rebound.
13:10	 	9-12	James Blackmon Jr. missed Jumper.
13:10	 	9-12	Emmitt Holt Offensive Rebound.
13:00	 	9-12	Yogi Ferrell missed Jumper.
13:00	Treyvon Francis Block.	9-12	 
12:56	 	9-12	Troy Williams Offensive Rebound.
12:56	Foul on Saadiq Muhammad.	9-12	 
12:30	 	9-12	Emmitt Holt missed Layup.
12:30	 	9-12	Collin Hartman Offensive Rebound.
12:27	 	9-12	Stanford Robinson missed Jumper.
12:27	Brian Pearson Defensive Rebound.	9-12	 
11:53	Alante Fenner missed Three Point Jumper.	9-12	 
11:53	 	9-12	Collin Hartman Defensive Rebound.
11:44	 	9-12	Stanford Robinson Turnover.
11:44	 	9-12	Foul on Stanford Robinson.
11:44	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
11:11	Demarcus Bryant missed Three Point Jumper.	9-12	 
11:11	 	9-12	Emmitt Holt Defensive Rebound.
11:04	 	9-15	Nick Zeisloft made Three Point Jumper. Assisted by Stanford Robinson.
10:40	Demarcus Bryant missed Three Point Jumper.	9-15	 
10:40	 	9-15	Nick Zeisloft Defensive Rebound.
10:29	 	9-17	Emmitt Holt made Layup. Assisted by Stanford Robinson.
10:25	Savannah St  Timeout	Savannah St  Timeout	Savannah St  Timeout
10:02	Alante Fenner missed Layup.	9-17	 
10:02	 	9-17	Emmitt Holt Block.
10:01	Savannah St Offensive Rebound.	9-17	 
9:56	Saadiq Muhammad Turnover.	9-17	 
9:56	 	9-17	Collin Hartman Steal.
9:44	 	9-17	Nick Zeisloft missed Three Point Jumper.
9:44	Terel Hall Defensive Rebound.	9-17	 
9:24	Javaris Jenkins made Three Point Jumper. Assisted by Terel Hall.	12-17	 
8:58	 	12-19	Stanford Robinson made Layup.
8:58	Foul on Treyvon Francis.	12-19	 
8:58	 	12-20	Stanford Robinson made Free Throw.
8:47	Javaris Jenkins missed Jumper.	12-20	 
8:47	 	12-20	Hanner Mosquera-Perea Defensive Rebound.
8:27	 	12-20	Max Hoetzel missed Three Point Jumper.
8:27	Savannah St Defensive Rebound.	12-20	 
8:26	 	12-20	Foul on Hanner Mosquera-Perea.
8:13	Khaleen Pinkett Turnover.	12-20	 
7:42	 	12-22	Hanner Mosquera-Perea made Dunk. Assisted by Yogi Ferrell.
