time	away	score	home
20:00	Jump Ball won by Washington	0-0	 
19:49	Mike Anderson missed Jumper.	0-0	 
19:49	 	0-0	DaVonte Lacy Defensive Rebound.
19:23	 	0-0	DaVonte Lacy missed Jumper.
19:23	Nigel Williams-Goss Defensive Rebound.	0-0	 
19:06	Shawn Kemp Jr. made Jumper.	2-0	 
18:53	 	2-2	Jordan Railey made Jumper.
18:47	Andrew Andrews missed Three Point Jumper.	2-2	 
18:47	 	2-2	Josh Hawkinson Defensive Rebound.
18:35	 	2-2	Dexter Kernich-Drew missed Jumper.
18:35	Jernard Jarreau Defensive Rebound.	2-2	 
18:22	Shawn Kemp Jr. made Layup. Assisted by Nigel Williams-Goss.	4-2	 
18:03	 	4-2	Josh Hawkinson missed Jumper.
18:03	Andrew Andrews Defensive Rebound.	4-2	 
17:51	Andrew Andrews made Layup.	6-2	 
17:25	 	6-2	Jordan Railey Turnover.
17:25	Nigel Williams-Goss Steal.	6-2	 
17:19	Mike Anderson made Layup. Assisted by Nigel Williams-Goss.	8-2	 
17:17	Washington St  Timeout	Washington St  Timeout	Washington St  Timeout
17:10	Foul on Nigel Williams-Goss.	8-2	 
16:40	 	8-5	DaVonte Lacy made Three Point Jumper. Assisted by Ny Redding.
16:19	Andrew Andrews made Three Point Jumper. Assisted by Shawn Kemp Jr..	11-5	 
16:12	 	11-8	Dexter Kernich-Drew made Three Point Jumper. Assisted by Ny Redding.
15:52	 	11-8	Foul on Ny Redding.
15:52	 Official TV Timeout	 Official TV Timeout	 Official TV Timeout
15:52	Andrew Andrews made Free Throw.	12-8	 
15:52	Andrew Andrews made Free Throw.	13-8	 
15:42	 	13-10	Josh Hawkinson made Layup. Assisted by Ny Redding.
15:42	Foul on Jernard Jarreau.	13-10	 
15:42	 	13-11	Josh Hawkinson made Free Throw.
15:29	Shawn Kemp Jr. missed Layup.	13-11	 
15:29	 	13-11	Josh Hawkinson Defensive Rebound.
15:12	 	13-11	DaVonte Lacy missed Jumper.
15:12	Darin Johnson Defensive Rebound.	13-11	 
15:03	Andrew Andrews Turnover.	13-11	 
14:39	 	13-14	Dexter Kernich-Drew made Three Point Jumper. Assisted by Ny Redding.
14:30	Andrew Andrews missed Three Point Jumper.	13-14	 
14:30	 	13-14	Dexter Kernich-Drew Defensive Rebound.
14:21	 	13-17	DaVonte Lacy made Three Point Jumper.
14:03	Nigel Williams-Goss missed Three Point Jumper.	13-17	 
14:03	Washington Offensive Rebound.	13-17	 
13:39	 	13-17	Foul on Dexter Kernich-Drew.
13:39	Darin Johnson missed Free Throw.	13-17	 
13:39	Washington Deadball Team Rebound.	13-17	 
